"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco"
"P08","Totalmente seguro",0.596,0,0.036
"P08","Bastante seguro",0.021,0.483,0
"P08","Algo seguro",0.086,0.074,0.209
"P08","Para nada seguro",0.297,0.443,0.755
"P09","Tiene Decidido que va a ir a votar",0.791,0.45,0.204
"P09","Tiene dudas sobre si va a ir a  votar",0.209,0.476,0.403
"P09","Tiene Decidido que no va a ir a votar",0,0.074,0.393
"P10","Lo votaría",0.708,0.088,0.172
"P10","Puede que lo vote",0.242,0.314,0.138
"P10","Nunca lo votaría",0,0.428,0.334
"P10","No sabe",0.05,0.17,0.356
"P11","Lo votaría",0.454,0.425,0
"P11","Puede que lo vote",0.142,0.096,0.112
"P11","Nunca lo votaría",0.404,0.088,0.335
"P11","No sabe",0,0.391,0.553
