"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","Aun no tengo decidido mi voto"
"P08","Totalmente seguro",0.862,0.763,0.728,0.221
"P08","Bastante seguro",0.109,0.142,0.066,0.042
"P08","Algo seguro",0.018,0.075,0.166,0.159
"P08","Para nada seguro",0.011,0.02,0.04,0.578
"P09","Tiene Decidido que va a ir a votar",0.964,0.923,0.739,0.408
"P09","Tiene dudas sobre si va a ir a  votar",0.028,0.029,0.13,0.275
"P09","Tiene Decidido que no va a ir a votar",0.008,0.048,0.131,0.317
"P10","Lo votaría",0.967,0.257,0.161,0.285
"P10","Puede que lo vote",0.021,0.082,0.218,0.105
"P10","Nunca lo votaría",0.009,0.651,0.558,0.368
"P10","No sabe",0.003,0.01,0.063,0.242
"P11","Lo votaría",0.096,0.699,0.231,0.145
"P11","Puede que lo vote",0.022,0.085,0.176,0.074
"P11","Nunca lo votaría",0.87,0.214,0.484,0.372
"P11","No sabe",0.012,0.002,0.109,0.409
