"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza"
"P08","Totalmente seguro",0.544,0.687
"P08","Bastante seguro",0.139,0.052
"P08","Algo seguro",0.225,0.225
"P08","Para nada seguro",0.092,0.036
"P09","Tiene Decidido que va a ir a votar",0.649,0.867
"P09","Tiene dudas sobre si va a ir a  votar",0.189,0.111
"P09","Tiene Decidido que no va a ir a votar",0.162,0.022
"P10","Lo votaría",0.13,0.131
"P10","Puede que lo vote",0.39,0.168
"P10","Nunca lo votaría",0.445,0.691
"P10","No sabe",0.035,0.01
"P11","Lo votaría",0.039,0.392
"P11","Puede que lo vote",0.28,0.158
"P11","Nunca lo votaría",0.662,0.357
"P11","No sabe",0.019,0.093
