"var","categoria","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos","Javier Milei presidente - José Luis Espert vice por los liberales","Otros candidatos"
"P04","Tengo trabajo estable",0.396,0.471,0.397,0.482,0.499,0.422
"P04","Realizo changas o trabajos de vez en cuando",0.146,0.162,0.364,0.19,0.263,0.241
"P04","No tengo trabajo",0.232,0.215,0.103,0.126,0.15,0.162
"P04","Soy jubilado o pensionado",0.226,0.152,0.136,0.202,0.088,0.175
"P05","Derecha",0.29,0.228,0.218,0.085,0.382,0.144
"P05","Centro derecha",0.262,0.207,0.056,0.049,0.172,0.161
"P05","Centro izquierda",0.07,0.135,0.214,0.402,0.06,0.166
"P05","Izquierda",0.051,0.04,0.092,0.221,0.023,0.072
"P05","No sabe",0.327,0.39,0.42,0.243,0.363,0.457
"P06","Alta",0.262,0.21,0.493,0.625,0.22,0.269
"P06","Media",0.273,0.389,0.334,0.24,0.301,0.389
"P06","Baja",0.465,0.401,0.173,0.135,0.479,0.342
"P07","Estoy de acuerdo",0.197,0.378,0.401,0.684,0.23,0.344
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.544,0.442,0.386,0.198,0.524,0.409
"P07","No estoy de acuerdo",0.189,0.121,0.175,0.085,0.185,0.164
"P07","No sabe",0.07,0.059,0.038,0.033,0.061,0.083
"P08","Del Frente de Todos y el peronismo",0.041,0.092,0.731,0.86,0.064,0.155
"P08","De Cambiemos",0.803,0.591,0.038,0.027,0.081,0.241
"P08","De los Liberales libertarios",0.06,0.104,0.068,0.008,0.643,0.045
"P08","De la Izquierda",0.023,0.009,0.072,0.025,0.024,0.126
"P08","No sabe",0.073,0.204,0.091,0.08,0.188,0.433
"P10","A Alberto Fernández",0.207,0.087,0.583,0.116,0.118,0.007
"P10","A Sergio Massa",0.234,0.225,0.187,0.132,0.064,0.215
"P10","A algún candidato del peronismo",0.466,0.506,0.203,0.105,0.729,0.6
"P10","A algún candidato del kirchnerismo",0.093,0.182,0.027,0.647,0.089,0.178
"P11","A Alberto Fernández",0.155,0.05,0.451,0.033,0,0.007
"P11","A Sergio Massa",0.209,0.037,0.133,0.076,0.064,0.097
"P11","A algún candidato del peronismo",0.491,0.848,0.203,0.04,0.847,0.726
"P11","A Cristina Fernández de Kirchner",0.145,0.065,0.213,0.851,0.089,0.17
"P12","A Horacio Rodriguez Larreta",0.124,0.537,0.141,0.365,0.12,0.09
"P12","A Mauricio Macri",0.52,0.076,0.109,0.07,0.232,0.077
"P12","A Patricia Bullrich",0.295,0.176,0,0,0.466,0.397
"P12","A Facundo Manes",0.024,0.125,0.179,0.202,0.138,0.221
"P12","A Gerardo Morales",0.037,0.086,0.571,0.363,0.044,0.215
"P13","Seguro lo votaria",0.153,0.207,0,0.242,0.502,0.16
"P13","Quizás lo votaría",0.296,0.253,0.483,0.036,0.309,0.192
"P13","Nunca lo votaría",0.551,0.54,0.517,0.722,0.189,0.648
"P14","Lo votaría",0.684,0.169,0.03,0.018,0.103,0.059
"P14","Puede que lo vote",0.179,0.335,0.108,0.022,0.325,0.166
"P14","Nunca lo votaría",0.091,0.423,0.858,0.945,0.486,0.639
"P14","No sabe",0.046,0.073,0.004,0.015,0.086,0.136
"P15","Lo votaría",0.033,0.054,0.246,0.167,0.062,0.052
"P15","Puede que lo vote",0.047,0.11,0.298,0.468,0.092,0.1
"P15","Nunca lo votaría",0.904,0.759,0.305,0.259,0.773,0.682
"P15","No sabe",0.016,0.077,0.151,0.106,0.073,0.166
"P16","Lo votaría",0.047,0.019,0.605,0.212,0.025,0.035
"P16","Puede que lo vote",0.018,0.06,0.198,0.448,0.055,0.132
