"var","categoria","Cristina Fernández de Kirchner presidenta – Sergio Massa vice","Mauricio Macri presidente – María Eugenia Vidal vice","No sabe"
"P04","Tengo trabajo estable",0.496,0.451,0.408
"P04","Realizo changas o trabajos de vez en cuando",0.196,0.168,0.245
"P04","No tengo trabajo",0.119,0.197,0.195
"P04","Soy jubilado o pensionado",0.189,0.184,0.152
"P05","Derecha",0.103,0.318,0.218
"P05","Centro derecha",0.061,0.244,0.141
"P05","Centro izquierda",0.378,0.101,0.115
"P05","Izquierda",0.191,0.032,0.07
"P05","No sabe",0.267,0.305,0.456
"P06","Alta",0.6,0.225,0.277
"P06","Media",0.254,0.275,0.39
"P06","Baja",0.146,0.5,0.333
"P07","Estoy de acuerdo",0.635,0.27,0.306
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.22,0.5,0.449
"P07","No estoy de acuerdo",0.105,0.164,0.173
"P07","No sabe",0.04,0.066,0.072
"P08","Del Frente de Todos y el peronismo",0.811,0.067,0.135
"P08","De Cambiemos",0.052,0.644,0.165
"P08","De los Liberales libertarios",0.017,0.192,0.249
"P08","De la Izquierda",0.043,0.01,0.094
"P08","No sabe",0.077,0.087,0.357
"P10","A Alberto Fernández",0.163,0.088,0.171
"P10","A Sergio Massa",0.135,0.146,0.282
"P10","A algún candidato del peronismo",0.134,0.619,0.402
"P10","A algún candidato del kirchnerismo",0.568,0.147,0.145
"P11","A Alberto Fernández",0.077,0.035,0.172
"P11","A Sergio Massa",0.076,0.152,0.15
"P11","A algún candidato del peronismo",0.094,0.627,0.507
"P11","A Cristina Fernández de Kirchner",0.753,0.186,0.171
"P12","A Horacio Rodriguez Larreta",0.386,0.201,0.339
"P12","A Mauricio Macri",0.193,0.386,0.053
"P12","A Patricia Bullrich",0.091,0.284,0.26
"P12","A Facundo Manes",0.149,0.058,0.218
"P12","A Gerardo Morales",0.181,0.071,0.13
"P13","Seguro lo votaria",0.293,0.175,0.233
"P13","Quizás lo votaría",0.102,0.272,0.312
"P13","Nunca lo votaría",0.605,0.553,0.455
"P14","Lo votaría",0.028,0.433,0.063
"P14","Puede que lo vote",0.041,0.296,0.192
"P14","Nunca lo votaría",0.922,0.219,0.628
"P14","No sabe",0.009,0.052,0.117
"P15","Lo votaría",0.18,0.048,0.06
"P15","Puede que lo vote",0.443,0.043,0.145
"P15","Nunca lo votaría",0.277,0.873,0.681
"P15","No sabe",0.1,0.036,0.114
"P16","Lo votaría",0.249,0.03,0.071
"P16","Puede que lo vote",0.419,0.041,0.084
"P16","Nunca lo votaría",0.213,0.914,0.737
"P16","No sabe",0.119,0.015,0.108
"P17","La votaría",0.742,0.034,0.072
"P17","Puede que la vote",0.125,0.021,0.071
"P17","Nunca la votaría",0.113,0.936,0.754
"P17","No sabe",0.02,0.009,0.103
"P18","Lo votaría",0.038,0.327,0.156
"P18","Puede que lo vote",0.059,0.386,0.247
"P18","Nunca lo votaría",0.859,0.239,0.435
"P18","No sabe",0.044,0.048,0.162
"P19","Lo votaría",0.027,0.163,0.137
"P19","Puede que lo vote",0.112,0.314,0.218
"P19","Nunca lo votaría",0.723,0.44,0.436
"P19","No sabe",0.138,0.083,0.209
"P20","La votaría",0.041,0.501,0.14
"P20","Puede que la vote",0.025,0.285,0.237
"P20","Nunca la votaría",0.902,0.184,0.505
"P20","No sabe",0.032,0.03,0.118
"P21","Lo votaría",0.027,0.175,0.261
"P21","Puede que lo vote",0.042,0.233,0.148
"P21","Nunca lo votaría",0.868,0.537,0.474
"P21","No sabe",0.063,0.055,0.117
"P22","La votaría",0.067,0.288,0.063
"P22","Puede que la vote",0.034,0.347,0.197
"P22","Nunca la votaría",0.837,0.301,0.565
"P22","No sabe",0.062,0.064,0.175
"P23","Lo votaría",0.209,0.034,0.057
"P23","Puede que lo vote",0.402,0.038,0.1
"P23","Nunca lo votaría",0.264,0.905,0.717
"P23","No sabe",0.125,0.023,0.126
"P24","Lo votaría",0.034,0.087,0.041
"P24","Puede que lo vote",0.064,0.226,0.151
"P24","Nunca lo votaría",0.786,0.542,0.512
"P24","No sabe",0.116,0.145,0.296
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.029,0.465,0.064
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.024,0.219,0.176
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.116,0.011,0.055
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.76,0.016,0.035
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.013,0.194,0.299
"P25","Otros candidatos",0.058,0.095,0.371
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.763,0.056,0.039
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.06,0.587,0.08
"P29","Javier Milei – José Luis Espert por los liberales",0.056,0.176,0.317
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.076,0.034,0.085
"P29","Otro candidato",0.045,0.147,0.479
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.066,0.504,0.174
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.566,0.037,0.088
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.019,0.246,0.306
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.083,0.01,0.064
"P31","Otro candidato",0.266,0.203,0.368
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.598,0.055,0.071
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.069,0.65,0.168
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.022,0.202,0.289
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.064,0.003,0.057
"P33","Otro candidato",0.247,0.09,0.415
"P36","Alberto Fernández presidente – Daniel Scioli vice",0.761,0.028,0.062
"P36","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.044,0.766,0.259
"P36","No sabe",0.195,0.206,0.679
"P37","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.743,0.023,0.072
"P37","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.037,0.874,0.242
"P37","No sabe",0.22,0.103,0.686
"P38","Muy buena",0.16,0.005,0.022
"P38","Buena",0.31,0.135,0.047
"P38","Ni buena ni mala",0.335,0.025,0.199
"P38","Mala",0.12,0.043,0.211
"P38","Muy mala",0.065,0.786,0.501
"P38","No sabe",0.01,0.006,0.02
"P39","Muy buena",0.123,0.002,0.026
"P39","Buena",0.337,0.022,0.045
"P39","Ni buena ni mala",0.347,0.029,0.168
"P39","Mala",0.121,0.072,0.178
"P39","Muy mala",0.069,0.87,0.557
"P39","No sabe",0.003,0.005,0.026
"P40","Muy buena",0.614,0.015,0.034
"P40","Buena",0.195,0.002,0.038
"P40","Ni buena ni mala",0.104,0.015,0.101
"P40","Mala",0.032,0.027,0.113
"P40","Muy mala",0.046,0.939,0.671
"P40","No sabe",0.009,0.002,0.043
"P41","Muy buena",0.043,0.279,0.039
"P41","Buena",0.028,0.279,0.08
"P41","Ni buena ni mala",0.043,0.229,0.202
"P41","Mala",0.173,0.111,0.26
"P41","Muy mala",0.702,0.099,0.375
"P41","No sabe",0.011,0.003,0.044
"P42","Muy buena",0.034,0.251,0.117
"P42","Buena",0.042,0.401,0.153
"P42","Ni buena ni mala",0.139,0.207,0.296
"P42","Mala",0.197,0.067,0.134
"P42","Muy mala",0.575,0.07,0.232
"P42","No sabe",0.013,0.004,0.068
"P43","Muy buena",0.128,0.024,0.031
"P43","Buena",0.32,0.025,0.073
"P43","Ni buena ni mala",0.366,0.049,0.223
"P43","Mala",0.099,0.174,0.15
"P43","Muy mala",0.082,0.722,0.451
"P43","No sabe",0.005,0.006,0.072
"P44","Muy buena",0.031,0.117,0.161
"P44","Buena",0.045,0.151,0.128
"P44","Ni buena ni mala",0.092,0.289,0.266
"P44","Mala",0.159,0.17,0.136
"P44","Muy mala",0.63,0.266,0.246
"P44","No sabe",0.043,0.007,0.063
"P45","Muy buena",0.016,0.312,0.099
"P45","Buena",0.02,0.334,0.132
"P45","Ni buena ni mala",0.073,0.195,0.252
