"var","categoria","Lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"P33","Otro candidato",0.087,0.131,0.299,0.412
"P35","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.051,0.084,0.581,0.064
"P35","Mauricio Macri presidente – María Eugenia Vidal vice",0.87,0.651,0.15,0.387
"P35","No sabe",0.079,0.265,0.269,0.549
"P36","Alberto Fernández presidente – Daniel Scioli vice",0.035,0.081,0.481,0.082
"P36","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.708,0.607,0.188,0.489
"P36","No sabe",0.257,0.312,0.331,0.429
"P37","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.035,0.048,0.483,0.08
"P37","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.874,0.719,0.163,0.449
"P37","No sabe",0.091,0.233,0.354,0.471
"P38","Muy buena",0.03,0.032,0.091,0.021
"P38","Buena",0.085,0.092,0.245,0.068
"P38","Ni buena ni mala",0.031,0.085,0.264,0.136
"P38","Mala",0.043,0.064,0.149,0.124
"P38","Muy mala",0.808,0.717,0.242,0.591
"P38","No sabe",0.003,0.01,0.009,0.06
"P39","Muy buena",0.025,0.008,0.079,0
"P39","Buena",0.008,0.025,0.231,0.065
"P39","Ni buena ni mala",0.03,0.102,0.249,0.212
"P39","Mala",0.064,0.088,0.138,0.154
"P39","Muy mala",0.873,0.768,0.299,0.468
"P39","No sabe",0,0.009,0.004,0.101
"P40","Muy buena",0.023,0.012,0.395,0.073
"P40","Buena",0.01,0.009,0.13,0.059
"P40","Ni buena ni mala",0.014,0.077,0.086,0.046
"P40","Mala",0.03,0.037,0.054,0.109
"P40","Muy mala",0.919,0.852,0.324,0.61
"P40","No sabe",0.004,0.013,0.011,0.103
"P41","Muy buena",0.497,0.071,0.039,0.053
"P41","Buena",0.308,0.267,0.041,0.153
"P41","Ni buena ni mala",0.08,0.408,0.086,0.34
"P41","Mala",0.022,0.12,0.233,0.202
"P41","Muy mala",0.091,0.12,0.592,0.118
"P41","No sabe",0.002,0.014,0.009,0.134
"P42","Muy buena",0.341,0.175,0.062,0.117
"P42","Buena",0.384,0.363,0.104,0.207
"P42","Ni buena ni mala",0.17,0.244,0.185,0.408
"P42","Mala",0.058,0.118,0.167,0.042
"P42","Muy mala",0.043,0.079,0.459,0.127
"P42","No sabe",0.004,0.021,0.023,0.099
"P43","Muy buena",0.034,0.007,0.095,0.009
"P43","Buena",0.034,0.05,0.22,0.042
"P43","Ni buena ni mala",0.032,0.085,0.305,0.196
"P43","Mala",0.106,0.224,0.116,0.267
