"var","categoria","Alberto Fernández presidente – Daniel Scioli vice","Horacio Rodríguez Larreta presidente – Gerardo Morales vice","No sabe"
"P04","Tengo trabajo estable",0.488,0.47,0.414
"P04","Realizo changas o trabajos de vez en cuando",0.213,0.16,0.223
"P04","No tengo trabajo",0.109,0.2,0.188
"P04","Soy jubilado o pensionado",0.19,0.17,0.175
"P05","Derecha",0.127,0.282,0.224
"P05","Centro derecha",0.053,0.243,0.137
"P05","Centro izquierda",0.392,0.112,0.142
"P05","Izquierda",0.192,0.033,0.09
"P05","No sabe",0.236,0.33,0.407
"P06","Alta",0.619,0.238,0.305
"P06","Media",0.25,0.316,0.316
"P06","Baja",0.131,0.446,0.379
"P07","Estoy de acuerdo",0.656,0.283,0.332
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.207,0.494,0.427
"P07","No estoy de acuerdo",0.096,0.16,0.171
"P07","No sabe",0.041,0.063,0.07
"P08","Del Frente de Todos y el peronismo",0.851,0.077,0.208
"P08","De Cambiemos",0.042,0.624,0.2
"P08","De los Liberales libertarios",0.019,0.169,0.226
"P08","De la Izquierda",0.038,0.015,0.081
"P08","No sabe",0.05,0.115,0.285
"P10","A Alberto Fernández",0.187,0.055,0.078
"P10","A Sergio Massa",0.142,0.212,0.151
"P10","A algún candidato del peronismo",0.135,0.623,0.257
"P10","A algún candidato del kirchnerismo",0.536,0.11,0.514
"P11","A Alberto Fernández",0.098,0.034,0.022
"P11","A Sergio Massa",0.081,0.141,0.082
"P11","A algún candidato del peronismo",0.103,0.715,0.218
"P11","A Cristina Fernández de Kirchner",0.718,0.11,0.678
"P12","A Horacio Rodriguez Larreta",0.292,0.259,0.11
"P12","A Mauricio Macri",0.09,0.319,0.433
"P12","A Patricia Bullrich",0.144,0.266,0.299
"P12","A Facundo Manes",0.179,0.073,0.103
"P12","A Gerardo Morales",0.295,0.083,0.055
"P13","Seguro lo votaria",0.251,0.201,0.127
"P13","Quizás lo votaría",0.16,0.251,0.365
"P13","Nunca lo votaría",0.589,0.548,0.508
"P14","Lo votaría",0.023,0.363,0.158
"P14","Puede que lo vote",0.048,0.286,0.175
"P14","Nunca lo votaría",0.914,0.283,0.595
"P14","No sabe",0.015,0.068,0.072
"P15","Lo votaría",0.189,0.053,0.064
"P15","Puede que lo vote",0.456,0.069,0.151
"P15","Nunca lo votaría",0.248,0.843,0.681
