"var","categoria","Estoy de acuerdo","Debería realizarse solo en caso de violación o riesgo de vida de la madre","No estoy de acuerdo","No sabe"
"P04","Tengo trabajo estable",0.563,0.355,0.386,0.276
"P04","Realizo changas o trabajos de vez en cuando",0.14,0.276,0.248,0.273
"P04","No tengo trabajo",0.163,0.19,0.184,0.21
"P04","Soy jubilado o pensionado",0.134,0.179,0.182,0.241
"P05","Derecha",0.173,0.226,0.245,0.158
"P05","Centro derecha",0.099,0.183,0.239,0.143
"P05","Centro izquierda",0.33,0.094,0.095,0.129
"P05","Izquierda",0.148,0.062,0.034,0.088
"P05","No sabe",0.25,0.435,0.387,0.482
"P06","Alta",0.452,0.308,0.362,0.248
"P06","Media",0.322,0.31,0.26,0.386
"P06","Baja",0.226,0.382,0.378,0.366
"P08","Del Frente de Todos y el peronismo",0.513,0.256,0.194,0.172
"P08","De Cambiemos",0.216,0.37,0.311,0.299
"P08","De los Liberales libertarios",0.072,0.154,0.211,0.077
"P08","De la Izquierda",0.048,0.024,0.037,0.118
"P08","No sabe",0.151,0.196,0.247,0.334
"P10","A Alberto Fernández",0.152,0.262,0.346,0.12
"P10","A Sergio Massa",0.143,0.121,0.219,0.237
"P10","A algún candidato del peronismo",0.149,0.327,0.144,0.101
"P10","A algún candidato del kirchnerismo",0.556,0.29,0.291,0.542
"P11","A Alberto Fernández",0.079,0.164,0.195,0.04
"P11","A Sergio Massa",0.085,0.046,0.268,0.174
"P11","A algún candidato del peronismo",0.112,0.309,0.183,0.02
"P11","A Cristina Fernández de Kirchner",0.724,0.481,0.354,0.766
"P12","A Horacio Rodriguez Larreta",0.302,0.184,0.319,0.302
"P12","A Mauricio Macri",0.222,0.372,0.296,0.386
"P12","A Patricia Bullrich",0.239,0.3,0.269,0.1
"P12","A Facundo Manes",0.108,0.09,0.062,0.027
"P12","A Gerardo Morales",0.129,0.054,0.054,0.185
"P13","Seguro lo votaria",0.206,0.213,0.163,0.128
"P13","Quizás lo votaría",0.273,0.305,0.273,0.157
"P13","Nunca lo votaría",0.521,0.482,0.564,0.715
"P14","Lo votaría",0.118,0.256,0.231,0.186
"P14","Puede que lo vote",0.132,0.198,0.181,0.157
"P14","Nunca lo votaría",0.692,0.477,0.504,0.51
"P14","No sabe",0.058,0.069,0.084,0.147
"P15","Lo votaría",0.107,0.089,0.068,0.105
"P15","Puede que lo vote",0.303,0.135,0.141,0.114
"P15","Nunca lo votaría",0.503,0.69,0.66,0.633
"P15","No sabe",0.087,0.086,0.131,0.148
"P16","Lo votaría",0.134,0.097,0.12,0.142
"P16","Puede que lo vote",0.303,0.096,0.147,0.088
"P16","Nunca lo votaría",0.465,0.713,0.655,0.589
"P16","No sabe",0.098,0.094,0.078,0.181
"P17","La votaría",0.442,0.187,0.192,0.233
"P17","Puede que la vote",0.1,0.061,0.058,0.061
"P17","Nunca la votaría",0.416,0.695,0.692,0.534
"P17","No sabe",0.042,0.057,0.058,0.172
"P18","Lo votaría",0.124,0.211,0.237,0.163
"P18","Puede que lo vote",0.181,0.266,0.215,0.217
"P18","Nunca lo votaría",0.637,0.416,0.428,0.416
"P18","No sabe",0.058,0.107,0.12,0.204
"P19","Lo votaría",0.09,0.123,0.115,0.126
"P19","Puede que lo vote",0.186,0.233,0.193,0.202
"P19","Nunca lo votaría",0.619,0.477,0.517,0.361
"P19","No sabe",0.105,0.167,0.175,0.311
"P20","La votaría",0.136,0.317,0.284,0.284
"P20","Puede que la vote",0.12,0.2,0.211,0.182
"P20","Nunca la votaría",0.691,0.39,0.423,0.433
"P20","No sabe",0.053,0.093,0.082,0.101
"P21","Lo votaría",0.089,0.175,0.158,0.132
"P21","Puede que lo vote",0.108,0.196,0.15,0.088
"P21","Nunca lo votaría",0.749,0.529,0.556,0.605
"P21","No sabe",0.054,0.1,0.136,0.175
"P22","La votaría",0.127,0.179,0.183,0.102
"P22","Puede que la vote",0.131,0.237,0.176,0.214
"P22","Nunca la votaría",0.67,0.471,0.494,0.462
"P22","No sabe",0.072,0.113,0.147,0.222
"P23","Lo votaría",0.137,0.082,0.089,0.077
"P23","Puede que lo vote",0.291,0.105,0.119,0.088
"P23","Nunca lo votaría",0.475,0.724,0.719,0.598
"P23","No sabe",0.097,0.089,0.073,0.237
"P24","Lo votaría",0.053,0.055,0.08,0.06
"P24","Puede que lo vote",0.131,0.163,0.117,0.142
