"var","categoria","Derecha","Centro derecha","Centro izquierda","Izquierda","No sabe"
"P04","Tengo trabajo estable",0.662,0.354,0.496,0.324,0.337
"P04","Realizo changas o trabajos de vez en cuando",0.112,0.32,0.142,0.195,0.274
"P04","No tengo trabajo",0.13,0.144,0.195,0.136,0.24
"P04","Soy jubilado o pensionado",0.096,0.182,0.167,0.345,0.149
"P06","Alta",0.315,0.219,0.534,0.514,0.332
"P06","Media",0.205,0.309,0.291,0.317,0.383
"P06","Baja",0.48,0.472,0.175,0.169,0.285
"P07","Estoy de acuerdo",0.332,0.249,0.686,0.624,0.274
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.447,0.472,0.201,0.266,0.489
"P07","No estoy de acuerdo",0.176,0.225,0.073,0.054,0.158
"P07","No sabe",0.045,0.054,0.04,0.056,0.079
"P08","Del Frente de Todos y el peronismo",0.278,0.166,0.62,0.629,0.24
"P08","De Cambiemos",0.396,0.505,0.177,0.139,0.253
"P08","De los Liberales libertarios",0.227,0.192,0.066,0.035,0.094
"P08","De la Izquierda",0.029,0.013,0.049,0.136,0.03
"P08","No sabe",0.07,0.124,0.088,0.061,0.383
"P10","A Alberto Fernández",0.332,0.203,0.086,0.145,0.32
"P10","A Sergio Massa",0.262,0.122,0.099,0.074,0.198
"P10","A algún candidato del peronismo",0.278,0.364,0.144,0.175,0.2
"P10","A algún candidato del kirchnerismo",0.128,0.311,0.671,0.606,0.282
"P11","A Alberto Fernández",0.137,0.069,0.062,0.059,0.217
"P11","A Sergio Massa",0.154,0.164,0.071,0.018,0.118
"P11","A algún candidato del peronismo",0.335,0.397,0.113,0.113,0.142
"P11","A Cristina Fernández de Kirchner",0.374,0.37,0.754,0.81,0.523
"P12","A Horacio Rodriguez Larreta",0.209,0.236,0.249,0.186,0.286
"P12","A Mauricio Macri",0.345,0.363,0.167,0.323,0.315
"P12","A Patricia Bullrich",0.29,0.291,0.254,0.325,0.221
"P12","A Facundo Manes",0.07,0.068,0.193,0.1,0.081
"P12","A Gerardo Morales",0.086,0.042,0.137,0.066,0.097
"P13","Seguro lo votaria",0.226,0.151,0.176,0.124,0.232
"P13","Quizás lo votaría",0.357,0.262,0.248,0.413,0.226
"P13","Nunca lo votaría",0.417,0.587,0.576,0.463,0.542
"P14","Lo votaría",0.325,0.33,0.058,0.106,0.157
"P14","Puede que lo vote",0.222,0.236,0.123,0.073,0.156
"P14","Nunca lo votaría",0.411,0.392,0.787,0.768,0.561
"P14","No sabe",0.042,0.042,0.032,0.053,0.126
"P15","Lo votaría",0.106,0.054,0.122,0.103,0.088
"P15","Puede que lo vote",0.125,0.108,0.358,0.332,0.163
"P15","Nunca lo votaría",0.748,0.806,0.456,0.455,0.57
"P15","No sabe",0.021,0.032,0.064,0.11,0.179
"P16","Lo votaría",0.104,0.051,0.143,0.163,0.128
"P16","Puede que lo vote",0.098,0.097,0.371,0.341,0.129
"P16","Nunca lo votaría",0.756,0.812,0.418,0.382,0.576
"P16","No sabe",0.042,0.04,0.068,0.114,0.167
"P17","La votaría",0.165,0.11,0.534,0.593,0.227
"P17","Puede que la vote",0.054,0.056,0.102,0.093,0.078
"P17","Nunca la votaría",0.765,0.805,0.333,0.273,0.581
"P17","No sabe",0.016,0.029,0.031,0.041,0.114
"P18","Lo votaría",0.267,0.268,0.084,0.048,0.175
"P18","Puede que lo vote",0.247,0.343,0.167,0.125,0.211
"P18","Nunca lo votaría",0.423,0.337,0.704,0.791,0.439
"P18","No sabe",0.063,0.052,0.045,0.036,0.175
"P19","Lo votaría",0.175,0.149,0.094,0.063,0.074
