"var","categoria","La votaría","Puede que la vote","Nunca la votaría","No sabe"
"P04","Tengo trabajo estable",0.424,0.457,0.489,0.204
"P04","Realizo changas o trabajos de vez en cuando",0.186,0.18,0.227,0.231
"P04","No tengo trabajo",0.241,0.161,0.135,0.28
"P04","Soy jubilado o pensionado",0.149,0.202,0.149,0.285
"P05","Derecha",0.282,0.201,0.187,0.135
"P05","Centro derecha",0.197,0.27,0.115,0.115
"P05","Centro izquierda",0.133,0.117,0.251,0.069
"P05","Izquierda",0.043,0.043,0.14,0.058
"P05","No sabe",0.345,0.369,0.307,0.623
"P06","Alta",0.278,0.208,0.466,0.258
"P06","Media",0.308,0.339,0.285,0.408
"P06","Baja",0.414,0.453,0.249,0.334
"P07","Estoy de acuerdo",0.324,0.28,0.479,0.263
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.463,0.513,0.341,0.418
"P07","No estoy de acuerdo",0.175,0.14,0.132,0.2
"P07","No sabe",0.038,0.067,0.048,0.119
"P08","Del Frente de Todos y el peronismo",0.198,0.083,0.494,0.188
"P08","De Cambiemos",0.59,0.585,0.141,0.176
"P08","De los Liberales libertarios",0.099,0.173,0.138,0.089
"P08","De la Izquierda",0.012,0.007,0.058,0.052
"P08","No sabe",0.101,0.152,0.169,0.495
"P10","A Alberto Fernández",0.244,0.28,0.16,0.295
"P10","A Sergio Massa",0.176,0.17,0.142,0.152
"P10","A algún candidato del peronismo",0.315,0.425,0.163,0.293
"P10","A algún candidato del kirchnerismo",0.265,0.125,0.535,0.26
"P11","A Alberto Fernández",0.109,0.103,0.097,0.127
"P11","A Sergio Massa",0.208,0.067,0.082,0.1
"P11","A algún candidato del peronismo",0.18,0.545,0.138,0.293
"P11","A Cristina Fernández de Kirchner",0.503,0.285,0.683,0.48
"P12","A Horacio Rodriguez Larreta",0.271,0.211,0.255,0.224
"P12","A Mauricio Macri",0.381,0.249,0.286,0.449
"P12","A Patricia Bullrich",0.265,0.341,0.239,0.054
"P12","A Facundo Manes",0.045,0.102,0.101,0.183
"P12","A Gerardo Morales",0.038,0.097,0.119,0.09
"P13","Seguro lo votaria",0.277,0.163,0.163,0.146
"P13","Quizás lo votaría",0.26,0.29,0.229,0.371
"P13","Nunca lo votaría",0.463,0.547,0.608,0.483
"P14","Lo votaría",0.5,0.311,0.09,0.084
"P14","Puede que lo vote",0.205,0.378,0.098,0.121
"P14","Nunca lo votaría",0.266,0.253,0.787,0.409
"P14","No sabe",0.029,0.058,0.025,0.386
"P15","Lo votaría",0.074,0.04,0.118,0.081
"P15","Puede que lo vote",0.114,0.107,0.274,0.104
"P15","Nunca lo votaría",0.787,0.812,0.533,0.406
"P15","No sabe",0.025,0.041,0.075,0.409
"P16","Lo votaría",0.106,0.033,0.158,0.073
"P16","Puede que lo vote",0.085,0.083,0.258,0.11
"P16","Nunca lo votaría",0.784,0.865,0.508,0.403
"P16","No sabe",0.025,0.019,0.076,0.414
"P17","La votaría",0.189,0.041,0.417,0.173
"P17","Puede que la vote",0.017,0.053,0.105,0.051
"P17","Nunca la votaría",0.789,0.896,0.45,0.42
"P17","No sabe",0.005,0.01,0.028,0.356
"P18","Lo votaría",0.525,0.234,0.075,0.139
"P18","Puede que lo vote",0.246,0.555,0.119,0.149
"P18","Nunca lo votaría",0.179,0.174,0.761,0.248
"P18","No sabe",0.05,0.037,0.045,0.464
"P19","Lo votaría",0.232,0.143,0.065,0.098
"P19","Puede que lo vote",0.328,0.378,0.141,0.099
"P19","Nunca lo votaría",0.339,0.402,0.685,0.266
"P19","No sabe",0.101,0.077,0.109,0.537
"P20","La votaría",0.55,0.412,0.12,0.115
"P20","Puede que la vote",0.192,0.34,0.117,0.127
"P20","Nunca la votaría",0.234,0.206,0.735,0.33
"P20","No sabe",0.024,0.042,0.028,0.428
"P21","Lo votaría",0.15,0.161,0.137,0.074
"P21","Puede que lo vote",0.225,0.252,0.103,0.087
"P21","Nunca lo votaría",0.564,0.539,0.718,0.415
"P21","No sabe",0.061,0.048,0.042,0.424
"P23","Lo votaría",0.102,0.027,0.142,0.042
"P23","Puede que lo vote",0.084,0.079,0.251,0.122
"P23","Nunca lo votaría",0.771,0.863,0.522,0.452
"P23","No sabe",0.043,0.031,0.085,0.384
"P24","Lo votaría",0.147,0.06,0.04,0.016
"P24","Puede que lo vote",0.24,0.28,0.088,0.056
"P24","Nunca lo votaría",0.46,0.523,0.753,0.263
"P24","No sabe",0.153,0.137,0.119,0.665
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.473,0.355,0.087,0.147
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.239,0.247,0.073,0.125
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.026,0.035,0.074,0.073
