"var","categoria","Jorge Macri por Juntos por el Cambio","Martín Lousteau  por Juntos por el Cambio","Ricardo López Murphy  por Juntos por el Cambio","Leandro Santoro por el Frente de Todos","Mariano Recalde por el Frente de Todos","Pedro Rosemblat por el Frente de Todos","Ramiro Marra por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P05","Siempre",0.312,0.226,0.266,0.234,0.232,0.194,0.289,0.235,0.127,0.239
"P05","Casi siempre",0.411,0.416,0.428,0.42,0.48,0.494,0.253,0.454,0.144,0.264
"P05","Casi nunca",0.225,0.295,0.249,0.261,0.228,0.251,0.306,0.228,0.426,0.309
"P05","Nunca, pero esta es una excepción",0.052,0.063,0.057,0.085,0.06,0.061,0.152,0.083,0.303,0.188
"P06","Mucho",0.372,0.252,0.399,0.545,0.553,0.572,0.456,0.369,0.243,0.272
"P06","Bastante",0.399,0.459,0.406,0.314,0.301,0.269,0.287,0.331,0.121,0.19
"P06","Poco",0.178,0.222,0.135,0.101,0.067,0.094,0.15,0.154,0.294,0.217
"P06","Nada",0.036,0.061,0.054,0.036,0.054,0.048,0.098,0.059,0.293,0.221
"P06","No sabe",0.015,0.006,0.006,0.004,0.025,0.017,0.009,0.087,0.049,0.1
"P07","Del Frente de Todos y el peronismo",0.042,0.078,0.049,0.869,0.868,0.808,0.098,0.129,0.233,0.206
"P07","De Juntos por el Cambio",0.851,0.69,0.702,0.031,0.053,0.057,0.048,0.013,0.042,0.082
"P07","De los Liberales libertarios",0.07,0.091,0.179,0.026,0.04,0.036,0.8,0.037,0.075,0.113
"P07","De la Izquierda",0.002,0.016,0.012,0.041,0.015,0.054,0.018,0.728,0.104,0.025
"P07","No sabe",0.035,0.125,0.058,0.033,0.024,0.045,0.036,0.093,0.546,0.574
"P08","A Leandro Santoro",0.473,0.546,0.344,0.924,0.181,0.458,0.5,0.627,0.415,0.587
"P08","A Matias Lammens",0.187,0.27,0.256,0.048,0.097,0.185,0.147,0.186,0.386,0.162
"P08","A Mariano Recalde",0.34,0.184,0.4,0.028,0.722,0.357,0.353,0.187,0.199,0.251
"P09","A Jorge Macri",0.835,0.053,0.074,0.257,0,0.493,0.39,0.437,0.444,0.272
"P09","A Martín Lousteau",0.144,0.92,0.117,0.696,0.669,0.158,0.058,0.298,0.417,0.507
"P09","A Ricardo López Murphy",0.021,0.027,0.809,0.047,0.331,0.349,0.552,0.265,0.139,0.221
"P13","Jorge Macri por Juntos por el Cambio",0.818,0.066,0.362,0.018,0.01,0.069,0.062,0.066,0.056,0.031
"P13","Martín Lousteau  por Juntos por el Cambio",0.067,0.748,0.211,0.038,0.075,0.048,0.046,0.018,0.076,0.055
"P13","Leandro Santoro por el Frente de Todos",0.034,0.029,0.036,0.846,0.599,0.572,0.068,0.05,0.04,0.091
"P13","Ramiro Marra por la Libertad Avanza",0.036,0.061,0.177,0.044,0.121,0.05,0.742,0.016,0.074,0.047
"P13","Al candidato del Frente de Izquierda",0.03,0.018,0.006,0.04,0.055,0.065,0.008,0.718,0.026,0.022
"P13","En blanco",0.002,0.052,0.046,0.003,0.062,0.073,0.008,0.086,0.455,0.083
"P13","No sabe",0.013,0.026,0.162,0.011,0.078,0.123,0.066,0.046,0.273,0.671
"P16","Jorge Macri por Juntos por el Cambio",0.855,0.057,0.095,0.03,0.09,0.055,0.086,0.004,0.051,0.048
"P16","Martín Lousteau  por Juntos por el Cambio",0.058,0.776,0.051,0.031,0.072,0.036,0.051,0.015,0.02,0.048
"P16","Ricardo López Murphy  por Juntos por el Cambio",0.032,0.044,0.709,0.011,0.032,0.054,0.034,0.041,0.015,0.043
"P16","Leandro Santoro por el Frente de Todos",0.013,0.026,0.04,0.875,0.652,0.602,0.03,0.078,0.015,0.068
"P16","Ramiro Marra por la Libertad Avanza",0.029,0.052,0.071,0.022,0.061,0.036,0.75,0.059,0.05,0.053
"P16","Al candidato del Frente de Izquierda",0.001,0.005,0.008,0.01,0.018,0.083,0.011,0.727,0.056,0.009
"P16","En blanco",0,0.01,0.015,0.001,0.034,0.072,0.025,0.057,0.575,0.138
"P16","No sabe",0.012,0.03,0.011,0.02,0.041,0.062,0.013,0.019,0.218,0.593
"P19","Jorge Macri por Juntos por el Cambio",0.942,0.463,0.547,0.025,0.054,0.031,0.074,0.051,0.06,0.108
