"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Rodriguez Larreta/Santilli","Lammens/Marziotta","Tombolini/Gasparini","Solano/Gagliardi"
"Jorge Macri por Juntos por el Cambio",0.224,0.189,0.254,0.131,0.169,0.264,0.369,0.181,0.227,0.235,0.418,0.042,0.124,0.017
"Martín Lousteau  por Juntos por el Cambio",0.126,0.123,0.129,0.065,0.132,0.16,0.141,0.111,0.122,0.134,0.181,0.052,0.178,0.061
"Ricardo López Murphy  por Juntos por el Cambio",0.105,0.121,0.092,0.092,0.084,0.132,0.125,0.098,0.087,0.121,0.163,0.03,0.149,0.055
"Leandro Santoro por el Frente de Todos",0.172,0.164,0.179,0.129,0.18,0.191,0.183,0.16,0.159,0.186,0.031,0.457,0.206,0.217
"Mariano Recalde por el Frente de Todos",0.049,0.044,0.052,0.034,0.063,0.053,0.034,0.032,0.055,0.049,0.008,0.141,0.055,0.015
"Pedro Rosemblat por el Frente de Todos",0.065,0.065,0.064,0.085,0.089,0.038,0.03,0.052,0.064,0.069,0.016,0.184,0.064,0.065
"Ramiro Marra por la Libertad Avanza",0.118,0.169,0.074,0.211,0.141,0.07,0.036,0.138,0.118,0.111,0.121,0.031,0.105,0.18
"Al candidato del Frente de Izquierda",0.03,0.026,0.035,0.04,0.038,0.023,0.016,0.043,0.029,0.027,0.011,0.016,0.054,0.342
"En blanco",0.033,0.034,0.032,0.085,0.023,0.018,0.014,0.05,0.05,0.015,0.014,0.013,0.015,0.017
"No sabe",0.078,0.065,0.089,0.128,0.081,0.051,0.052,0.135,0.089,0.053,0.037,0.034,0.05,0.031
