"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Rodriguez Larreta/Santilli","Lammens/Marziotta","Tombolini/Gasparini","Solano/Gagliardi"
"Jorge Macri por Juntos por el Cambio",0.243,0.203,0.277,0.189,0.185,0.274,0.363,0.228,0.244,0.248,0.421,0.066,0.158,0.08
"Martín Lousteau  por Juntos por el Cambio",0.139,0.14,0.139,0.083,0.154,0.162,0.145,0.116,0.129,0.154,0.19,0.071,0.237,0.124
"Ricardo López Murphy  por Juntos por el Cambio",0.102,0.111,0.095,0.068,0.09,0.127,0.132,0.068,0.089,0.122,0.148,0.04,0.117,0.061
"Leandro Santoro por el Frente de Todos",0.249,0.225,0.269,0.192,0.293,0.252,0.226,0.194,0.239,0.273,0.038,0.695,0.301,0.202
"Ramiro Marra por la Libertad Avanza",0.129,0.183,0.083,0.238,0.134,0.089,0.053,0.181,0.134,0.109,0.135,0.045,0.089,0.154
"Al candidato del Frente de Izquierda",0.034,0.032,0.036,0.041,0.049,0.025,0.011,0.032,0.04,0.03,0.009,0.03,0.034,0.321
"En blanco",0.039,0.04,0.037,0.085,0.032,0.024,0.02,0.082,0.041,0.023,0.028,0.017,0.041,0.021
"No sabe",0.065,0.066,0.064,0.104,0.063,0.047,0.05,0.099,0.084,0.041,0.031,0.036,0.023,0.037
