"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Rodriguez Larreta/Santilli","Lammens/Marziotta","Tombolini/Gasparini","Solano/Gagliardi"
"Jorge Macri por Juntos por el Cambio",0.444,0.431,0.456,0.353,0.379,0.477,0.575,0.419,0.457,0.443,0.76,0.064,0.369,0.153
"Leandro Santoro por el Frente de Todos",0.34,0.31,0.365,0.284,0.404,0.337,0.276,0.277,0.322,0.369,0.062,0.864,0.404,0.509
"En blanco",0.11,0.151,0.075,0.216,0.115,0.088,0.056,0.141,0.104,0.105,0.082,0.041,0.148,0.245
"No sabe",0.106,0.108,0.104,0.147,0.102,0.098,0.093,0.163,0.117,0.083,0.096,0.031,0.079,0.093
