"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Rodriguez Larreta/Santilli","Lammens/Marziotta","Tombolini/Gasparini","Solano/Gagliardi"
"A Jorge Macri",0.462,0.452,0.47,0.442,0.418,0.451,0.539,0.455,0.486,0.448,0.5,0.223,0.321,0.078
"A Martín Lousteau",0.353,0.34,0.364,0.349,0.409,0.35,0.279,0.379,0.366,0.338,0.319,0.668,0.492,0.753
"A Ricardo López Murphy",0.185,0.208,0.166,0.209,0.173,0.199,0.182,0.166,0.148,0.214,0.181,0.109,0.187,0.169
