"var","categoria","Ricardo López Murphy  por Juntos por el Cambio","Leandro Santoro por el Frente de Todos","Ramiro Marra por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P05","Siempre",0.306,0.232,0.296,0.274,0.205,0.24
"P05","Casi siempre",0.442,0.483,0.316,0.419,0.329,0.393
"P05","Casi nunca",0.206,0.234,0.276,0.273,0.302,0.276
"P05","Nunca, pero esta es una excepción",0.046,0.051,0.112,0.034,0.164,0.091
"P06","Mucho",0.391,0.582,0.391,0.433,0.319,0.257
"P06","Bastante",0.425,0.298,0.352,0.316,0.334,0.342
"P06","Poco",0.142,0.097,0.175,0.08,0.208,0.234
"P06","Nada",0.029,0.019,0.074,0.096,0.106,0.138
"P06","No sabe",0.013,0.004,0.008,0.075,0.033,0.029
"P07","Del Frente de Todos y el peronismo",0.07,0.812,0.068,0.183,0.156,0.107
"P07","De Juntos por el Cambio",0.788,0.073,0.189,0.093,0.419,0.51
"P07","De los Liberales libertarios",0.099,0.049,0.709,0.041,0.09,0.053
"P07","De la Izquierda",0.009,0.022,0.002,0.555,0.07,0.017
"P07","No sabe",0.034,0.044,0.032,0.128,0.265,0.313
"P08","A Leandro Santoro",0.587,0.738,0.339,0.173,0.163,0.615
"P08","A Matias Lammens",0.1,0.062,0.219,0.443,0.251,0.09
"P08","A Mariano Recalde",0.313,0.2,0.442,0.384,0.586,0.295
"P09","A Jorge Macri",0.464,0.247,0.578,0.131,0.456,0.517
"P09","A Martín Lousteau",0.272,0.7,0.297,0.699,0.498,0.454
"P09","A Ricardo López Murphy",0.264,0.053,0.125,0.17,0.046,0.029
"P10","Jorge Macri por Juntos por el Cambio",0.439,0.033,0.138,0.036,0.245,0.365
"P10","Martín Lousteau  por Juntos por el Cambio",0.172,0.063,0.065,0.135,0.236,0.236
"P10","Ricardo López Murphy  por Juntos por el Cambio",0.28,0.01,0.069,0.009,0.042,0.022
"P10","Leandro Santoro por el Frente de Todos",0.022,0.558,0.025,0.041,0.044,0.026
"P10","Mariano Recalde por el Frente de Todos",0.009,0.137,0.029,0.064,0.012,0.013
"P10","Pedro Rosemblat por el Frente de Todos",0.017,0.149,0.012,0.133,0.09,0.023
"P10","Ramiro Marra por la Libertad Avanza",0.035,0.024,0.627,0.031,0.037,0.034
"P10","Al candidato del Frente de Izquierda",0.003,0.005,0,0.529,0.022,0.012
"P10","En blanco",0.002,0.002,0.011,0.01,0.172,0.018
"P10","No sabe",0.021,0.019,0.024,0.012,0.1,0.251
"P13","Jorge Macri por Juntos por el Cambio",0.519,0.034,0.153,0.04,0.264,0.338
"P13","Martín Lousteau  por Juntos por el Cambio",0.237,0.074,0.07,0.193,0.255,0.227
"P13","Leandro Santoro por el Frente de Todos",0.044,0.759,0.078,0.056,0.064,0.029
"P13","Ramiro Marra por la Libertad Avanza",0.09,0.053,0.622,0.069,0.04,0.04
"P13","Al candidato del Frente de Izquierda",0.017,0.037,0.017,0.578,0.024,0.023
"P13","En blanco",0.035,0.011,0.009,0.022,0.226,0.044
"P13","No sabe",0.058,0.032,0.051,0.042,0.127,0.299
"P16","Jorge Macri por Juntos por el Cambio",0.441,0.058,0.173,0.054,0.23,0.325
"P16","Martín Lousteau  por Juntos por el Cambio",0.177,0.078,0.079,0.184,0.248,0.257
"P16","Ricardo López Murphy  por Juntos por el Cambio",0.264,0.016,0.034,0.037,0.043,0.033
"P16","Leandro Santoro por el Frente de Todos",0.034,0.782,0.048,0.058,0.088,0.035
