"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Rodriguez Larreta/Santilli","Lammens/Marziotta","Tombolini/Gasparini","Solano/Gagliardi"
"Ricardo López Murphy por Juntos por el Cambio",0.429,0.445,0.415,0.323,0.37,0.476,0.544,0.396,0.42,0.444,0.716,0.066,0.43,0.137
"Leandro Santoro por el Frente de Todos",0.341,0.303,0.374,0.302,0.4,0.339,0.273,0.279,0.332,0.364,0.069,0.868,0.381,0.429
"En blanco",0.119,0.151,0.091,0.198,0.136,0.089,0.071,0.141,0.14,0.099,0.096,0.044,0.13,0.307
"No sabe",0.111,0.101,0.12,0.177,0.094,0.096,0.112,0.184,0.108,0.093,0.119,0.022,0.059,0.127
