"var","categoria","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos","No sabe"
"P04","Tengo trabajo estable",0.516,0.47,0.425
"P04","Realizo changas o trabajos de vez en cuando",0.187,0.154,0.244
"P04","No tengo trabajo",0.096,0.186,0.212
"P04","Soy jubilado o pensionado",0.201,0.19,0.119
"P05","Derecha",0.111,0.302,0.221
"P05","Centro derecha",0.055,0.278,0.097
"P05","Centro izquierda",0.438,0.081,0.151
"P05","Izquierda",0.169,0.046,0.086
"P05","No sabe",0.227,0.293,0.445
"P06","Alta",0.598,0.23,0.39
"P06","Media",0.26,0.275,0.323
"P06","Baja",0.142,0.495,0.287
"P07","Estoy de acuerdo",0.684,0.262,0.346
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.187,0.484,0.41
"P07","No estoy de acuerdo",0.078,0.191,0.161
"P07","No sabe",0.051,0.063,0.083
"P08","Del Frente de Todos y el peronismo",0.786,0.048,0.24
"P08","De Cambiemos",0.041,0.605,0.164
"P08","De los Liberales libertarios",0.021,0.24,0.208
"P08","De la Izquierda",0.052,0.018,0.06
"P08","No sabe",0.1,0.089,0.328
"P10","A Alberto Fernández",0.147,0.048,0.197
"P10","A Sergio Massa",0.148,0.062,0.155
"P10","A algún candidato del peronismo",0.134,0.865,0.258
"P10","A algún candidato del kirchnerismo",0.571,0.025,0.39
"P11","A Alberto Fernández",0.076,0.084,0.164
"P11","A Sergio Massa",0.088,0.062,0.035
"P11","A algún candidato del peronismo",0.082,0.82,0.307
"P11","A Cristina Fernández de Kirchner",0.754,0.034,0.494
"P12","A Horacio Rodriguez Larreta",0.255,0.205,0.24
"P12","A Mauricio Macri",0.067,0.376,0.358
"P12","A Patricia Bullrich",0.096,0.298,0.133
"P12","A Facundo Manes",0.291,0.058,0.17
"P12","A Gerardo Morales",0.291,0.063,0.099
"P13","Seguro lo votaria",0.19,0.197,0.203
"P13","Quizás lo votaría",0.2,0.274,0.291
"P13","Nunca lo votaría",0.61,0.529,0.506
"P14","Lo votaría",0.024,0.424,0.076
"P14","Puede que lo vote",0.04,0.312,0.16
"P14","Nunca lo votaría",0.909,0.216,0.639
"P14","No sabe",0.027,0.048,0.125
"P15","Lo votaría",0.209,0.041,0.056
"P15","Puede que lo vote",0.507,0.051,0.135
"P15","Nunca lo votaría",0.197,0.881,0.651
"P15","No sabe",0.087,0.027,0.158
"P16","Lo votaría",0.239,0.03,0.1
"P16","Puede que lo vote",0.427,0.03,0.155
"P16","Nunca lo votaría",0.221,0.918,0.603
"P16","No sabe",0.113,0.022,0.142
"P17","La votaría",0.69,0.023,0.216
"P17","Puede que la vote",0.125,0.025,0.089
"P17","Nunca la votaría",0.14,0.94,0.615
"P17","No sabe",0.045,0.012,0.08
"P18","Lo votaría",0.033,0.328,0.1
"P18","Puede que lo vote",0.066,0.381,0.171
"P18","Nunca lo votaría",0.845,0.25,0.563
"P18","No sabe",0.056,0.041,0.166
"P19","Lo votaría",0.032,0.167,0.085
"P19","Puede que lo vote",0.12,0.324,0.13
"P19","Nunca lo votaría",0.715,0.42,0.532
"P19","No sabe",0.133,0.089,0.253
"P20","La votaría",0.021,0.531,0.078
"P20","Puede que la vote",0.039,0.297,0.146
"P20","Nunca la votaría",0.905,0.144,0.623
"P20","No sabe",0.035,0.028,0.153
"P21","Lo votaría",0.034,0.215,0.22
"P21","Puede que lo vote",0.038,0.236,0.149
"P21","Nunca lo votaría",0.874,0.496,0.475
"P21","No sabe",0.054,0.053,0.156
"P22","La votaría",0.049,0.273,0.061
"P22","Puede que la vote",0.056,0.36,0.164
"P22","Nunca la votaría",0.824,0.305,0.606
"P22","No sabe",0.071,0.062,0.169
"P23","Lo votaría",0.232,0.037,0.062
"P23","Puede que lo vote",0.426,0.039,0.131
"P23","Nunca lo votaría",0.232,0.905,0.621
"P23","No sabe",0.11,0.019,0.186
"P24","Lo votaría",0.023,0.096,0.044
"P24","Puede que lo vote",0.069,0.248,0.119
"P24","Nunca lo votaría",0.783,0.537,0.569
"P24","No sabe",0.125,0.119,0.268
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.014,0.435,0.102
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.016,0.207,0.114
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.108,0.007,0.071
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.772,0.006,0.187
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.014,0.21,0.246
"P25","Otros candidatos",0.076,0.135,0.28
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.766,0.039,0.217
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.035,0.544,0.115
"P29","Javier Milei – José Luis Espert por los liberales",0.057,0.219,0.228
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.078,0.032,0.086
"P29","Otro candidato",0.064,0.166,0.354
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.069,0.469,0.151
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.596,0.031,0.135
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.03,0.28,0.259
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.079,0.017,0.055
"P31","Otro candidato",0.226,0.203,0.4
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.723,0.048,0.082
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.047,0.64,0.088
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.016,0.217,0.27
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.056,0.007,0.057
"P33","Otro candidato",0.158,0.088,0.503
"P35","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.877,0.04,0.233
"P35","Mauricio Macri presidente – María Eugenia Vidal vice",0.052,0.825,0.169
"P35","No sabe",0.071,0.135,0.598
"P36","Alberto Fernández presidente – Daniel Scioli vice",0.809,0.011,0.167
"P36","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.039,0.78,0.144
"P36","No sabe",0.152,0.209,0.689
"P38","Muy buena",0.176,0.005,0.035
"P38","Buena",0.332,0.14,0.061
"P38","Ni buena ni mala",0.306,0.014,0.317
"P38","Mala",0.126,0.079,0.176
"P38","Muy mala",0.051,0.757,0.391
"P38","No sabe",0.009,0.005,0.02
"P39","Muy buena",0.116,0.004,0.046
"P39","Buena",0.338,0.011,0.101
"P39","Ni buena ni mala",0.352,0.034,0.214
"P39","Mala",0.132,0.094,0.165
"P39","Muy mala",0.059,0.854,0.445
"P39","No sabe",0.003,0.003,0.029
"P40","Muy buena",0.606,0.008,0.15
"P40","Buena",0.178,0.003,0.088
"P40","Ni buena ni mala",0.094,0.013,0.125
"P40","Mala",0.059,0.043,0.12
"P40","Muy mala",0.058,0.93,0.488
"P40","No sabe",0.005,0.003,0.029
"P41","Muy buena",0.058,0.27,0.059
"P41","Buena",0.016,0.293,0.082
"P41","Ni buena ni mala",0.058,0.213,0.209
"P41","Mala",0.174,0.105,0.246
"P41","Muy mala",0.689,0.117,0.368
"P41","No sabe",0.005,0.002,0.036
"P42","Muy buena",0.015,0.272,0.066
"P42","Buena",0.036,0.372,0.123
"P42","Ni buena ni mala",0.139,0.21,0.286
"P42","Mala",0.202,0.069,0.185
"P42","Muy mala",0.595,0.068,0.276
"P42","No sabe",0.013,0.009,0.064
"P43","Muy buena",0.136,0.027,0.041
"P43","Buena",0.368,0.039,0.073
"P43","Ni buena ni mala",0.341,0.081,0.296
"P43","Mala",0.076,0.17,0.172
"P43","Muy mala",0.073,0.68,0.347
"P43","No sabe",0.006,0.003,0.071
"P44","Muy buena",0.04,0.12,0.126
"P44","Buena",0.058,0.172,0.119
"P44","Ni buena ni mala",0.083,0.282,0.253
"P44","Mala",0.133,0.173,0.153
"P44","Muy mala",0.668,0.234,0.273
"P44","No sabe",0.018,0.019,0.076
"P45","Muy buena",0.014,0.32,0.065
"P45","Buena",0.018,0.342,0.116
"P45","Ni buena ni mala",0.074,0.206,0.273
"P45","Mala",0.161,0.063,0.152
"P45","Muy mala",0.725,0.064,0.338
"P45","No sabe",0.008,0.005,0.056
"P46","Muy buena",0.132,0.052,0.045
"P46","Buena",0.397,0.053,0.104
"P46","Ni buena ni mala",0.288,0.086,0.264
"P46","Mala",0.072,0.149,0.167
"P46","Muy mala",0.104,0.651,0.358
"P46","No sabe",0.007,0.009,0.062
"P47","Muy buena",0.022,0.069,0.039
"P47","Buena",0.066,0.17,0.052
"P47","Ni buena ni mala",0.197,0.379,0.283
"P47","Mala",0.175,0.123,0.16
"P47","Muy mala",0.476,0.195,0.289
"P47","No sabe",0.064,0.064,0.177
