"var","categoria","Estoy de acuerdo","Debería realizarse solo en caso de violación o riesgo de vida de la madre","No estoy de acuerdo","No sabe"
"P04","Tengo trabajo estable",0.567,0.384,0.348,0.298
"P04","Realizo changas o trabajos de vez en cuando",0.152,0.253,0.25,0.263
"P04","No tengo trabajo",0.152,0.209,0.202,0.191
"P04","Soy jubilado o pensionado",0.129,0.154,0.2,0.248
"P05","Derecha",0.188,0.231,0.262,0.17
"P05","Centro derecha",0.123,0.192,0.166,0.121
"P05","Centro izquierda",0.325,0.101,0.087,0.108
"P05","Izquierda",0.142,0.053,0.05,0.079
"P05","No sabe",0.222,0.423,0.435,0.522
"P06","Alta",0.481,0.301,0.358,0.287
"P06","Media",0.283,0.315,0.31,0.343
"P06","Baja",0.236,0.384,0.332,0.37
"P08","Del Frente de Todos y el peronismo",0.479,0.229,0.173,0.143
"P08","De Cambiemos",0.225,0.378,0.308,0.242
"P08","De los Liberales libertarios",0.087,0.17,0.262,0.138
"P08","De la Izquierda",0.055,0.015,0.02,0.128
"P08","No sabe",0.154,0.208,0.237,0.349
"P10","A Alberto Fernández",0.141,0.258,0.341,0.249
"P10","A Sergio Massa",0.134,0.138,0.151,0.135
"P10","A algún candidato del peronismo",0.15,0.35,0.153,0.126
"P10","A algún candidato del kirchnerismo",0.575,0.254,0.355,0.49
"P11","A Alberto Fernández",0.083,0.186,0.242,0.172
"P11","A Sergio Massa",0.063,0.099,0.162,0.126
"P11","A algún candidato del peronismo",0.123,0.295,0.183,0.083
"P11","A Cristina Fernández de Kirchner",0.731,0.42,0.413,0.619
"P12","A Horacio Rodriguez Larreta",0.3,0.201,0.263,0.223
"P12","A Mauricio Macri",0.265,0.357,0.389,0.438
"P12","A Patricia Bullrich",0.212,0.289,0.254,0.208
"P12","A Facundo Manes",0.123,0.087,0.056,0.036
"P12","A Gerardo Morales",0.1,0.066,0.038,0.095
"P13","Seguro lo votaria",0.211,0.217,0.247,0.2
"P13","Quizás lo votaría",0.217,0.321,0.26,0.226
"P13","Nunca lo votaría",0.572,0.462,0.493,0.574
"P14","Lo votaría",0.12,0.254,0.259,0.232
"P14","Puede que lo vote",0.149,0.216,0.209,0.159
"P14","Nunca lo votaría",0.68,0.439,0.423,0.484
"P14","No sabe",0.051,0.091,0.109,0.125
"P15","Lo votaría",0.119,0.087,0.053,0.068
"P15","Puede que lo vote",0.296,0.124,0.131,0.112
"P15","Nunca lo votaría",0.494,0.695,0.672,0.604
"P15","No sabe",0.091,0.094,0.144,0.216
"P16","Lo votaría",0.134,0.088,0.12,0.142
"P16","Puede que lo vote",0.271,0.104,0.117,0.114
"P16","Nunca lo votaría",0.498,0.701,0.656,0.589
"P16","No sabe",0.097,0.107,0.107,0.155
"P17","La votaría",0.411,0.163,0.154,0.202
"P17","Puede que la vote",0.087,0.074,0.057,0.083
"P17","Nunca la votaría",0.454,0.705,0.698,0.563
"P17","No sabe",0.048,0.058,0.091,0.152
"P18","Lo votaría",0.13,0.199,0.208,0.147
"P18","Puede que lo vote",0.184,0.265,0.214,0.218
"P18","Nunca lo votaría",0.629,0.415,0.44,0.39
"P18","No sabe",0.057,0.121,0.138,0.245
"P19","Lo votaría",0.079,0.116,0.116,0.127
"P19","Puede que lo vote",0.184,0.229,0.183,0.143
"P19","Nunca lo votaría",0.621,0.468,0.488,0.418
"P19","No sabe",0.116,0.187,0.213,0.312
"P20","La votaría",0.142,0.306,0.314,0.243
