"var","categoria","Derecha","Centro derecha","Centro izquierda","Izquierda","No sabe"
"P04","Tengo trabajo estable",0.659,0.392,0.503,0.301,0.332
"P04","Realizo changas o trabajos de vez en cuando",0.12,0.289,0.131,0.177,0.294
"P04","No tengo trabajo",0.132,0.14,0.218,0.158,0.233
"P04","Soy jubilado o pensionado",0.089,0.179,0.148,0.364,0.141
"P06","Alta",0.346,0.224,0.527,0.54,0.339
"P06","Media",0.212,0.299,0.296,0.257,0.378
"P06","Baja",0.442,0.477,0.177,0.203,0.283
"P07","Estoy de acuerdo",0.339,0.305,0.677,0.619,0.243
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.415,0.475,0.21,0.232,0.464
"P07","No estoy de acuerdo",0.194,0.169,0.075,0.09,0.196
"P07","No sabe",0.052,0.051,0.038,0.059,0.097
"P08","Del Frente de Todos y el peronismo",0.264,0.14,0.591,0.494,0.224
"P08","De Cambiemos",0.359,0.536,0.17,0.169,0.256
"P08","De los Liberales libertarios",0.255,0.183,0.066,0.085,0.135
"P08","De la Izquierda",0.03,0.014,0.044,0.151,0.023
"P08","No sabe",0.092,0.127,0.129,0.101,0.362
"P10","A Alberto Fernández",0.332,0.194,0.085,0.12,0.299
"P10","A Sergio Massa",0.252,0.097,0.09,0.093,0.161
"P10","A algún candidato del peronismo",0.248,0.482,0.156,0.164,0.193
"P10","A algún candidato del kirchnerismo",0.168,0.227,0.669,0.623,0.347
"P11","A Alberto Fernández",0.172,0.051,0.064,0.071,0.238
"P11","A Sergio Massa",0.13,0.12,0.054,0.026,0.12
"P11","A algún candidato del peronismo",0.309,0.48,0.096,0.118,0.154
"P11","A Cristina Fernández de Kirchner",0.389,0.349,0.786,0.785,0.488
"P12","A Horacio Rodriguez Larreta",0.231,0.206,0.207,0.246,0.292
"P12","A Mauricio Macri",0.368,0.367,0.214,0.407,0.325
"P12","A Patricia Bullrich",0.261,0.301,0.228,0.223,0.226
"P12","A Facundo Manes",0.089,0.076,0.201,0.08,0.066
"P12","A Gerardo Morales",0.051,0.05,0.15,0.044,0.091
"P13","Seguro lo votaria",0.28,0.14,0.164,0.141,0.267
"P13","Quizás lo votaría",0.278,0.299,0.216,0.3,0.273
"P13","Nunca lo votaría",0.442,0.561,0.62,0.559,0.46
"P14","Lo votaría",0.298,0.315,0.06,0.162,0.177
"P14","Puede que lo vote",0.27,0.25,0.111,0.087,0.171
"P14","Nunca lo votaría",0.385,0.362,0.796,0.707,0.514
"P14","No sabe",0.047,0.073,0.033,0.044,0.138
"P15","Lo votaría",0.113,0.07,0.115,0.097,0.078
"P15","Puede que lo vote",0.122,0.114,0.381,0.283,0.143
"P15","Nunca lo votaría",0.72,0.766,0.426,0.496,0.595
"P15","No sabe",0.045,0.05,0.078,0.124,0.184
"P16","Lo votaría",0.122,0.053,0.135,0.146,0.119
"P16","Puede que lo vote",0.104,0.068,0.356,0.293,0.131
"P16","Nunca lo votaría",0.721,0.828,0.409,0.455,0.585
"P16","No sabe",0.053,0.051,0.1,0.106,0.165
"P17","La votaría",0.147,0.096,0.506,0.483,0.213
"P17","Puede que la vote",0.057,0.056,0.109,0.09,0.078
"P17","Nunca la votaría",0.764,0.822,0.345,0.371,0.59
"P17","No sabe",0.032,0.026,0.04,0.056,0.119
"P18","Lo votaría",0.245,0.252,0.074,0.099,0.159
"P18","Puede que lo vote",0.256,0.362,0.157,0.105,0.206
"P18","Nunca lo votaría",0.437,0.325,0.715,0.742,0.439
"P18","No sabe",0.062,0.061,0.054,0.054,0.196
"P19","Lo votaría",0.134,0.131,0.092,0.089,0.081
"P19","Puede que lo vote",0.203,0.309,0.164,0.099,0.189
"P19","Nunca lo votaría",0.579,0.453,0.636,0.688,0.433
"P19","No sabe",0.084,0.107,0.108,0.124,0.297
"P20","La votaría",0.353,0.454,0.104,0.166,0.17
"P20","Puede que la vote",0.212,0.242,0.104,0.057,0.19
"P20","Nunca la votaría",0.383,0.245,0.762,0.742,0.459
"P20","No sabe",0.052,0.059,0.03,0.035,0.181
"P21","Lo votaría",0.287,0.15,0.06,0.108,0.157
"P21","Puede que lo vote",0.186,0.232,0.081,0.091,0.155
"P21","Nunca lo votaría",0.469,0.544,0.828,0.752,0.491
"P21","No sabe",0.058,0.074,0.031,0.049,0.197
"P22","La votaría",0.206,0.18,0.09,0.084,0.136
"P22","Puede que la vote",0.217,0.333,0.127,0.091,0.202
"P22","Nunca la votaría",0.516,0.395,0.733,0.738,0.452
"P22","No sabe",0.061,0.092,0.05,0.087,0.21
"P23","Lo votaría",0.066,0.062,0.192,0.142,0.077
"P23","Puede que lo vote",0.106,0.077,0.353,0.279,0.125
"P23","Nunca lo votaría",0.782,0.797,0.371,0.459,0.606
"P23","No sabe",0.046,0.064,0.084,0.12,0.192
"P24","Lo votaría",0.088,0.065,0.076,0.038,0.04
"P24","Puede que lo vote",0.163,0.25,0.131,0.077,0.126
"P24","Nunca lo votaría",0.609,0.555,0.685,0.778,0.519
"P24","No sabe",0.14,0.13,0.108,0.107,0.315
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.264,0.35,0.085,0.15,0.206
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.142,0.188,0.085,0.057,0.137
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.046,0.021,0.061,0.047,0.072
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.132,0.09,0.576,0.507,0.196
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.296,0.169,0.034,0.072,0.166
"P25","Otros candidatos",0.12,0.182,0.159,0.167,0.223
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.161,0.102,0.578,0.511,0.25
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.328,0.482,0.117,0.151,0.255
"P29","Javier Milei – José Luis Espert por los liberales",0.266,0.169,0.076,0.103,0.198
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.057,0.033,0.076,0.141,0.044
"P29","Otro candidato",0.188,0.214,0.153,0.094,0.253
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.298,0.389,0.154,0.164,0.259
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.128,0.095,0.412,0.288,0.196
