"var","categoria","Tengo trabajo estable","Realizo changas o trabajos de vez en cuando","No tengo trabajo","Soy jubilado o pensionado"
"P05","Derecha",0.319,0.118,0.15,0.12
"P05","Centro derecha",0.139,0.209,0.116,0.179
"P05","Centro izquierda",0.206,0.108,0.208,0.169
"P05","Izquierda",0.061,0.073,0.075,0.206
"P05","No sabe",0.275,0.492,0.451,0.326
"P06","Alta",0.365,0.395,0.368,0.385
"P06","Media",0.307,0.336,0.297,0.259
"P06","Baja",0.328,0.269,0.335,0.356
"P07","Estoy de acuerdo",0.496,0.275,0.319,0.316
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.335,0.458,0.438,0.378
"P07","No estoy de acuerdo",0.125,0.186,0.175,0.202
"P07","No sabe",0.044,0.081,0.068,0.104
"P08","Del Frente de Todos y el peronismo",0.34,0.301,0.238,0.328
"P08","De Cambiemos",0.301,0.233,0.293,0.388
"P08","De los Liberales libertarios",0.154,0.17,0.189,0.071
"P08","De la Izquierda",0.043,0.03,0.038,0.04
"P08","No sabe",0.162,0.266,0.242,0.173
"P10","A Alberto Fernández",0.142,0.287,0.314,0.13
"P10","A Sergio Massa",0.164,0.101,0.083,0.143
"P10","A algún candidato del peronismo",0.204,0.218,0.216,0.168
"P10","A algún candidato del kirchnerismo",0.49,0.394,0.387,0.559
"P11","A Alberto Fernández",0.074,0.225,0.255,0.063
"P11","A Sergio Massa",0.086,0.061,0.107,0.082
"P11","A algún candidato del peronismo",0.171,0.197,0.178,0.143
"P11","A Cristina Fernández de Kirchner",0.669,0.517,0.46,0.712
"P12","A Horacio Rodriguez Larreta",0.252,0.227,0.27,0.193
"P12","A Mauricio Macri",0.291,0.401,0.397,0.349
"P12","A Patricia Bullrich",0.255,0.257,0.254,0.261
"P12","A Facundo Manes",0.108,0.047,0.045,0.131
"P12","A Gerardo Morales",0.094,0.068,0.034,0.066
"P13","Seguro lo votaria",0.193,0.262,0.234,0.231
"P13","Quizás lo votaría",0.267,0.293,0.339,0.217
"P13","Nunca lo votaría",0.54,0.445,0.427,0.552
"P14","Lo votaría",0.176,0.176,0.211,0.288
"P14","Puede que lo vote",0.203,0.15,0.203,0.164
"P14","Nunca lo votaría",0.565,0.552,0.482,0.477
"P14","No sabe",0.056,0.122,0.104,0.071
"P15","Lo votaría",0.096,0.091,0.075,0.105
"P15","Puede que lo vote",0.215,0.188,0.114,0.213
"P15","Nunca lo votaría",0.614,0.566,0.66,0.585
"P15","No sabe",0.075,0.155,0.151,0.097
"P16","Lo votaría",0.098,0.145,0.1,0.137
"P16","Puede que lo vote",0.197,0.182,0.108,0.162
"P16","Nunca lo votaría",0.626,0.52,0.672,0.597
"P16","No sabe",0.079,0.153,0.12,0.104
"P17","La votaría",0.258,0.293,0.197,0.29
"P17","Puede que la vote",0.079,0.095,0.08,0.045
"P17","Nunca la votaría",0.618,0.509,0.627,0.621
"P17","No sabe",0.045,0.103,0.096,0.044
"P18","Lo votaría",0.171,0.14,0.174,0.205
"P18","Puede que lo vote",0.23,0.182,0.225,0.249
"P18","Nunca lo votaría",0.528,0.511,0.469,0.443
"P18","No sabe",0.071,0.167,0.132,0.103
"P19","Lo votaría",0.106,0.083,0.096,0.125
"P19","Puede que lo vote",0.209,0.172,0.18,0.224
"P19","Nunca lo votaría",0.553,0.529,0.535,0.447
"P19","No sabe",0.132,0.216,0.189,0.204
"P20","La votaría",0.227,0.196,0.254,0.315
"P20","Puede que la vote",0.176,0.154,0.204,0.164
"P20","Nunca la votaría",0.536,0.495,0.44,0.427
"P20","No sabe",0.061,0.155,0.102,0.094
"P21","Lo votaría",0.159,0.177,0.233,0.068
"P21","Puede que lo vote",0.146,0.154,0.201,0.127
"P21","Nunca lo votaría",0.627,0.503,0.441,0.704
