"var","categoria","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos","Javier Milei presidente – José Luis Espert por los liberales","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda","Otro candidato"
"P04","Tengo trabajo estable",0.472,0.449,0.475,0.601,0.436
"P04","Realizo changas o trabajos de vez en cuando",0.159,0.227,0.226,0.14,0.185
"P04","No tengo trabajo",0.157,0.125,0.232,0.126,0.193
"P04","Soy jubilado o pensionado",0.212,0.199,0.067,0.133,0.186
"P05","Derecha",0.254,0.132,0.378,0.093,0.167
"P05","Centro derecha",0.239,0.07,0.196,0.021,0.149
"P05","Centro izquierda",0.115,0.371,0.053,0.368,0.203
"P05","Izquierda",0.058,0.123,0.036,0.342,0.1
"P05","No sabe",0.334,0.304,0.337,0.176,0.381
"P06","Alta",0.283,0.577,0.259,0.552,0.367
"P06","Media",0.301,0.257,0.243,0.302,0.353
"P06","Baja",0.416,0.166,0.498,0.146,0.28
"P07","Estoy de acuerdo",0.324,0.586,0.222,0.718,0.396
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.453,0.263,0.5,0.149,0.359
"P07","No estoy de acuerdo",0.163,0.107,0.209,0.051,0.16
"P07","No sabe",0.06,0.044,0.069,0.082,0.085
"P08","Del Frente de Todos y el peronismo",0.086,0.802,0.047,0.302,0.314
"P08","De Cambiemos",0.677,0.068,0.175,0.093,0.294
"P08","De los Liberales libertarios",0.071,0.023,0.624,0.047,0.063
"P08","De la Izquierda",0.017,0.018,0.028,0.404,0.028
"P08","No sabe",0.149,0.089,0.126,0.154,0.301
"P10","A Alberto Fernández",0.051,0.215,0.181,0.138,0.068
"P10","A Sergio Massa",0.315,0.126,0.225,0.181,0.106
"P10","A algún candidato del peronismo",0.395,0.158,0.402,0.176,0.248
"P10","A algún candidato del kirchnerismo",0.239,0.501,0.192,0.505,0.578
"P11","A Alberto Fernández",0.045,0.141,0.13,0.114,0.038
"P11","A Sergio Massa",0.081,0.072,0.239,0.109,0.065
"P11","A algún candidato del peronismo",0.393,0.117,0.476,0.087,0.242
"P11","A Cristina Fernández de Kirchner",0.481,0.67,0.155,0.69,0.655
"P12","A Horacio Rodriguez Larreta",0.313,0.159,0.102,0.132,0.102
"P12","A Mauricio Macri",0.319,0.427,0.505,0.22,0.366
"P12","A Patricia Bullrich",0.234,0.117,0.317,0.2,0.313
"P12","A Facundo Manes",0.063,0.199,0.059,0.299,0.111
"P12","A Gerardo Morales",0.071,0.098,0.017,0.149,0.108
"P13","Seguro lo votaria",0.189,0.107,0.446,0.099,0.144
"P13","Quizás lo votaría",0.265,0.344,0.354,0.336,0.234
"P13","Nunca lo votaría",0.546,0.549,0.2,0.565,0.622
"P14","Lo votaría",0.399,0.049,0.197,0.043,0.185
"P14","Puede que lo vote",0.265,0.049,0.333,0.08,0.135
"P14","Nunca lo votaría",0.28,0.861,0.401,0.841,0.58
"P14","No sabe",0.056,0.041,0.069,0.036,0.1
"P15","Lo votaría",0.064,0.192,0.058,0.083,0.067
"P15","Puede que lo vote",0.081,0.466,0.081,0.253,0.186
"P15","Nunca lo votaría",0.804,0.245,0.794,0.542,0.614
"P15","No sabe",0.051,0.097,0.067,0.122,0.133
"P16","Lo votaría",0.05,0.345,0.043,0.066,0.044
"P16","Puede que lo vote",0.075,0.399,0.06,0.221,0.173
"P16","Nunca lo votaría",0.826,0.157,0.855,0.529,0.648
"P16","No sabe",0.049,0.099,0.042,0.184,0.135
"P17","La votaría",0.083,0.707,0.039,0.319,0.256
"P17","Puede que la vote",0.03,0.102,0.053,0.181,0.085
"P17","Nunca la votaría",0.86,0.157,0.886,0.392,0.572
"P17","No sabe",0.027,0.034,0.022,0.108,0.087
"P18","Lo votaría",0.47,0.041,0.108,0.085,0.063
"P18","Puede que lo vote",0.35,0.091,0.264,0.064,0.228
"P18","Nunca lo votaría",0.141,0.79,0.546,0.758,0.575
"P18","No sabe",0.039,0.078,0.082,0.093,0.134
"P19","Lo votaría",0.185,0.049,0.089,0.075,0.074
