"var","categoria","A Horacio Rodriguez Larreta","A Mauricio Macri","A Patricia Bullrich","A Facundo Manes","A Gerardo Morales"
"P04","Tengo trabajo estable",0.485,0.398,0.462,0.561,0.596
"P04","Realizo changas o trabajos de vez en cuando",0.162,0.202,0.172,0.091,0.161
"P04","No tengo trabajo",0.215,0.224,0.19,0.096,0.088
"P04","Soy jubilado o pensionado",0.138,0.176,0.176,0.252,0.155
"P05","Derecha",0.257,0.291,0.274,0.268,0.189
"P05","Centro derecha",0.235,0.297,0.324,0.235,0.188
"P05","Centro izquierda",0.088,0.064,0.091,0.23,0.211
"P05","Izquierda",0.041,0.049,0.035,0.036,0.024
"P05","No sabe",0.379,0.299,0.276,0.231,0.388
"P06","Alta",0.289,0.312,0.191,0.219,0.271
"P06","Media",0.359,0.264,0.289,0.419,0.465
"P06","Baja",0.352,0.424,0.52,0.362,0.264
"P07","Estoy de acuerdo",0.358,0.224,0.237,0.395,0.396
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.411,0.516,0.555,0.478,0.446
"P07","No estoy de acuerdo",0.18,0.189,0.164,0.104,0.086
"P07","No sabe",0.051,0.071,0.044,0.023,0.072
"P13","Seguro lo votaria",0.335,0.207,0.182,0.17,0.088
"P13","Quizás lo votaría",0.212,0.337,0.254,0.28,0.282
"P13","Nunca lo votaría",0.453,0.456,0.564,0.55,0.63
"P14","Lo votaría",0.339,0.775,0.5,0.109,0.107
"P14","Puede que lo vote",0.362,0.083,0.338,0.402,0.345
"P14","Nunca lo votaría",0.256,0.118,0.15,0.47,0.412
"P14","No sabe",0.043,0.024,0.012,0.019,0.136
"P15","Lo votaría",0.056,0.044,0.033,0.052,0.028
"P15","Puede que lo vote",0.07,0.069,0.043,0.149,0.072
"P15","Nunca lo votaría",0.798,0.873,0.91,0.797,0.786
"P15","No sabe",0.076,0.014,0.014,0.002,0.114
"P16","Lo votaría",0.033,0.04,0.029,0.033,0.048
"P16","Puede que lo vote",0.105,0.044,0.036,0.146,0.082
"P16","Nunca lo votaría",0.832,0.894,0.932,0.761,0.791
"P16","No sabe",0.03,0.022,0.003,0.06,0.079
"P17","La votaría",0.06,0.034,0.027,0.037,0.048
"P17","Puede que la vote",0.061,0.023,0.022,0.147,0.062
"P17","Nunca la votaría",0.861,0.94,0.948,0.805,0.87
"P17","No sabe",0.018,0.003,0.003,0.011,0.02
"P18","Lo votaría",0.649,0.309,0.233,0.283,0.225
"P18","Puede que lo vote",0.194,0.365,0.495,0.369,0.403
"P18","Nunca lo votaría",0.124,0.289,0.243,0.296,0.268
"P18","No sabe",0.033,0.037,0.029,0.052,0.104
"P19","Lo votaría",0.176,0.128,0.124,0.631,0.188
"P19","Puede que lo vote",0.337,0.281,0.355,0.252,0.382
"P19","Nunca lo votaría",0.397,0.493,0.446,0.079,0.34
"P19","No sabe",0.09,0.098,0.075,0.038,0.09
"P20","La votaría",0.301,0.551,0.818,0.191,0.186
"P20","Puede que la vote",0.309,0.242,0.09,0.332,0.347
"P20","Nunca la votaría",0.289,0.178,0.078,0.41,0.412
"P20","No sabe",0.101,0.029,0.014,0.067,0.055
"P21","Lo votaría",0.104,0.095,0.12,0.061,0.015
"P21","Puede que lo vote",0.239,0.256,0.282,0.198,0.232
"P21","Nunca lo votaría",0.604,0.581,0.558,0.643,0.652
"P21","No sabe",0.053,0.068,0.04,0.098,0.101
"P22","La votaría",0.342,0.305,0.306,0.131,0.158
"P22","Puede que la vote",0.305,0.324,0.389,0.401,0.435
"P22","Nunca la votaría",0.303,0.312,0.274,0.367,0.319
"P22","No sabe",0.05,0.059,0.031,0.101,0.088
"P23","Lo votaría",0.051,0.049,0.021,0.05,0.032
"P23","Puede que lo vote",0.038,0.056,0.039,0.153,0.071
"P23","Nunca lo votaría",0.85,0.877,0.923,0.725,0.854
"P23","No sabe",0.061,0.018,0.017,0.072,0.043
"P24","Lo votaría",0.121,0.087,0.073,0.283,0.111
"P24","Puede que lo vote",0.292,0.223,0.298,0.299,0.289
"P24","Nunca lo votaría",0.454,0.6,0.534,0.308,0.421
"P24","No sabe",0.133,0.09,0.095,0.11,0.179
