"var","categoria","Del Frente de Todos y el peronismo","De Cambiemos","De los Liberales libertarios","De la Izquierda","No sabe"
"P04","Tengo trabajo estable",0.485,0.446,0.453,0.491,0.358
"P04","Realizo changas o trabajos de vez en cuando",0.207,0.167,0.242,0.166,0.284
"P04","No tengo trabajo",0.142,0.182,0.231,0.181,0.223
"P04","Soy jubilado o pensionado",0.166,0.205,0.074,0.162,0.135
"P05","Derecha",0.183,0.259,0.363,0.171,0.099
"P05","Centro derecha",0.07,0.282,0.19,0.057,0.099
"P05","Centro izquierda",0.351,0.105,0.081,0.211,0.119
"P05","Izquierda",0.141,0.05,0.05,0.348,0.044
"P05","No sabe",0.255,0.304,0.316,0.213,0.639
"P06","Alta",0.56,0.261,0.246,0.421,0.357
"P06","Media",0.25,0.321,0.262,0.291,0.395
"P06","Baja",0.19,0.418,0.492,0.288,0.248
"P07","Estoy de acuerdo",0.595,0.291,0.224,0.552,0.297
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.285,0.491,0.438,0.148,0.401
"P07","No estoy de acuerdo",0.09,0.165,0.279,0.083,0.189
"P07","No sabe",0.03,0.053,0.059,0.217,0.113
"P14","Lo votaría",0.053,0.499,0.122,0.146,0.051
"P14","Puede que lo vote",0.051,0.265,0.391,0.09,0.122
"P14","Nunca lo votaría",0.857,0.204,0.423,0.736,0.586
"P14","No sabe",0.039,0.032,0.064,0.028,0.241
"P15","Lo votaría",0.188,0.041,0.049,0.118,0.055
"P15","Puede que lo vote",0.426,0.065,0.075,0.16,0.12
"P15","Nunca lo votaría",0.291,0.862,0.818,0.632,0.538
"P15","No sabe",0.095,0.032,0.058,0.09,0.287
"P16","Lo votaría",0.259,0.035,0.061,0.15,0.049
"P16","Puede que lo vote",0.378,0.063,0.054,0.168,0.114
"P16","Nunca lo votaría",0.254,0.877,0.848,0.556,0.564
"P16","No sabe",0.109,0.025,0.037,0.126,0.273
"P17","La votaría",0.686,0.038,0.076,0.186,0.103
"P17","Puede que la vote",0.12,0.039,0.054,0.126,0.075
"P17","Nunca la votaría",0.158,0.915,0.844,0.574,0.603
"P17","No sabe",0.036,0.008,0.026,0.114,0.219
"P18","Lo votaría",0.059,0.363,0.128,0.169,0.084
"P18","Puede que lo vote",0.07,0.369,0.316,0.097,0.186
