"var","categoria","Alberto Fernández presidente – Daniel Scioli vice","Horacio Rodríguez Larreta presidente – Gerardo Morales vice","No sabe"
"P04","Tengo trabajo estable",0.501,0.48,0.428
"P04","Realizo changas o trabajos de vez en cuando",0.21,0.153,0.214
"P04","No tengo trabajo",0.108,0.18,0.212
"P04","Soy jubilado o pensionado",0.181,0.187,0.146
"P05","Derecha",0.135,0.288,0.224
"P05","Centro derecha",0.058,0.259,0.141
"P05","Centro izquierda",0.411,0.108,0.134
"P05","Izquierda",0.158,0.053,0.078
"P05","No sabe",0.238,0.292,0.423
"P06","Alta",0.599,0.252,0.336
"P06","Media",0.24,0.305,0.309
"P06","Baja",0.161,0.443,0.355
"P07","Estoy de acuerdo",0.66,0.286,0.327
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.203,0.469,0.425
"P07","No estoy de acuerdo",0.082,0.179,0.176
"P07","No sabe",0.055,0.066,0.072
"P08","Del Frente de Todos y el peronismo",0.804,0.068,0.177
"P08","De Cambiemos",0.044,0.615,0.204
"P08","De los Liberales libertarios",0.032,0.194,0.251
"P08","De la Izquierda",0.042,0.026,0.054
"P08","No sabe",0.078,0.097,0.314
"P10","A Alberto Fernández",0.185,0.041,0.072
"P10","A Sergio Massa",0.13,0.176,0.183
"P10","A algún candidato del peronismo",0.143,0.648,0.282
"P10","A algún candidato del kirchnerismo",0.542,0.135,0.463
"P11","A Alberto Fernández",0.115,0.03,0.049
"P11","A Sergio Massa",0.068,0.116,0.086
"P11","A algún candidato del peronismo",0.096,0.69,0.295
"P11","A Cristina Fernández de Kirchner",0.721,0.164,0.57
"P12","A Horacio Rodriguez Larreta",0.133,0.251,0.109
"P12","A Mauricio Macri",0.161,0.357,0.421
"P12","A Patricia Bullrich",0.15,0.254,0.305
"P12","A Facundo Manes",0.334,0.069,0.099
"P12","A Gerardo Morales",0.222,0.069,0.066
"P13","Seguro lo votaria",0.138,0.204,0.211
"P13","Quizás lo votaría",0.249,0.266,0.299
"P13","Nunca lo votaría",0.613,0.53,0.49
"P14","Lo votaría",0.028,0.397,0.147
"P14","Puede que lo vote",0.051,0.294,0.189
"P14","Nunca lo votaría",0.887,0.253,0.565
"P14","No sabe",0.034,0.056,0.099
"P15","Lo votaría",0.175,0.048,0.074
"P15","Puede que lo vote",0.462,0.069,0.144
"P15","Nunca lo votaría",0.25,0.853,0.664
"P15","No sabe",0.113,0.03,0.118
"P16","Lo votaría",0.291,0.028,0.05
"P16","Puede que lo vote",0.445,0.041,0.109
"P16","Nunca lo votaría",0.158,0.898,0.722
"P16","No sabe",0.106,0.033,0.119
"P17","La votaría",0.7,0.03,0.172
"P17","Puede que la vote",0.123,0.042,0.068
"P17","Nunca la votaría",0.136,0.913,0.689
"P17","No sabe",0.041,0.015,0.071
"P18","Lo votaría",0.034,0.385,0.061
"P18","Puede que lo vote",0.06,0.402,0.182
"P18","Nunca lo votaría",0.838,0.175,0.613
"P18","No sabe",0.068,0.038,0.144
"P19","Lo votaría",0.03,0.196,0.059
"P19","Puede que lo vote",0.11,0.333,0.151
"P19","Nunca lo votaría",0.72,0.369,0.577
"P19","No sabe",0.14,0.102,0.213
"P20","La votaría",0.025,0.471,0.194
"P20","Puede que la vote",0.036,0.271,0.196
"P20","Nunca la votaría",0.89,0.222,0.491
"P20","No sabe",0.049,0.036,0.119
"P21","Lo votaría",0.041,0.176,0.251
"P21","Puede que lo vote",0.035,0.239,0.16
"P21","Nunca lo votaría",0.844,0.525,0.47
"P21","No sabe",0.08,0.06,0.119
"P22","La votaría",0.045,0.279,0.086
"P22","Puede que la vote",0.058,0.362,0.176
"P22","Nunca la votaría",0.824,0.282,0.591
"P22","No sabe",0.073,0.077,0.147
"P23","Lo votaría",0.245,0.042,0.044
"P23","Puede que lo vote",0.416,0.047,0.118
"P23","Nunca lo votaría",0.22,0.882,0.687
"P23","No sabe",0.119,0.029,0.151
"P24","Lo votaría",0.027,0.117,0.022
"P24","Puede que lo vote",0.078,0.278,0.098
"P24","Nunca lo votaría",0.757,0.461,0.664
"P24","No sabe",0.138,0.144,0.216
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.014,0.412,0.167
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.008,0.287,0.044
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.16,0.006,0.021
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.745,0.013,0.18
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.015,0.163,0.292
"P25","Otros candidatos",0.058,0.119,0.296
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.752,0.052,0.195
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.048,0.535,0.169
"P29","Javier Milei – José Luis Espert por los liberales",0.064,0.186,0.258
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.068,0.044,0.072
"P29","Otro candidato",0.068,0.183,0.306
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.063,0.568,0.079
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.664,0.028,0.066
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.026,0.217,0.335
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.065,0.018,0.061
"P31","Otro candidato",0.182,0.169,0.459
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.639,0.071,0.117
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.053,0.591,0.206
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.029,0.18,0.295
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.051,0.009,0.052
"P33","Otro candidato",0.228,0.149,0.33
"P35","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.893,0.049,0.188
"P35","Mauricio Macri presidente – María Eugenia Vidal vice",0.05,0.81,0.267
"P35","No sabe",0.057,0.141,0.545
"P37","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.803,0.028,0.125
"P37","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.017,0.857,0.258
"P37","No sabe",0.18,0.115,0.617
"P38","Muy buena",0.178,0.006,0.028
"P38","Buena",0.355,0.137,0.051
"P38","Ni buena ni mala",0.34,0.043,0.22
"P38","Mala",0.077,0.107,0.173
"P38","Muy mala",0.041,0.702,0.511
"P38","No sabe",0.009,0.005,0.017
"P39","Muy buena",0.14,0.004,0.021
"P39","Buena",0.388,0.008,0.048
"P39","Ni buena ni mala",0.341,0.046,0.186
"P39","Mala",0.095,0.124,0.154
"P39","Muy mala",0.034,0.814,0.565
"P39","No sabe",0.002,0.004,0.026
"P40","Muy buena",0.613,0.008,0.121
"P40","Buena",0.187,0.009,0.062
"P40","Ni buena ni mala",0.104,0.022,0.093
"P40","Mala",0.048,0.066,0.096
"P40","Muy mala",0.042,0.893,0.602
"P40","No sabe",0.006,0.002,0.026
"P41","Muy buena",0.071,0.251,0.094
"P41","Buena",0.026,0.276,0.119
"P41","Ni buena ni mala",0.064,0.213,0.206
"P41","Mala",0.188,0.12,0.202
"P41","Muy mala",0.642,0.138,0.35
"P41","No sabe",0.009,0.002,0.029
"P42","Muy buena",0.017,0.304,0.05
"P42","Buena",0.038,0.405,0.113
"P42","Ni buena ni mala",0.142,0.196,0.293
"P42","Mala",0.206,0.054,0.186
"P42","Muy mala",0.575,0.032,0.305
"P42","No sabe",0.022,0.009,0.053
"P43","Muy buena",0.124,0.034,0.041
"P43","Buena",0.33,0.05,0.084
"P43","Ni buena ni mala",0.358,0.096,0.24
"P43","Mala",0.086,0.196,0.134
"P43","Muy mala",0.086,0.619,0.447
"P43","No sabe",0.016,0.005,0.054
"P44","Muy buena",0.049,0.091,0.152
"P44","Buena",0.055,0.146,0.159
"P44","Ni buena ni mala",0.103,0.286,0.236
"P44","Mala",0.131,0.208,0.118
"P44","Muy mala",0.632,0.248,0.278
"P44","No sabe",0.03,0.021,0.057
"P45","Muy buena",0.014,0.317,0.1
"P45","Buena",0.024,0.338,0.143
"P45","Ni buena ni mala",0.078,0.216,0.25
"P45","Mala",0.163,0.065,0.137
"P45","Muy mala",0.707,0.055,0.328
"P45","No sabe",0.014,0.009,0.042
"P46","Muy buena",0.152,0.052,0.027
"P46","Buena",0.394,0.061,0.088
"P46","Ni buena ni mala",0.284,0.108,0.221
"P46","Mala",0.066,0.169,0.149
"P46","Muy mala",0.098,0.596,0.465
"P46","No sabe",0.006,0.014,0.05
"P47","Muy buena",0.025,0.086,0.021
"P47","Buena",0.065,0.191,0.043
"P47","Ni buena ni mala",0.218,0.399,0.255
"P47","Mala",0.164,0.116,0.173
"P47","Muy mala",0.457,0.146,0.348
"P47","No sabe",0.071,0.062,0.16
