"var","categoria","Alta","Media","Baja"
"P22","No sabe",0.108,0.152,0.101
"P23","Lo votaría",0.138,0.074,0.078
"P23","Puede que lo vote",0.264,0.163,0.065
"P23","Nunca lo votaría",0.471,0.63,0.776
"P23","No sabe",0.127,0.133,0.081
"P24","Lo votaría",0.053,0.069,0.061
"P24","Puede que lo vote",0.107,0.181,0.171
"P24","Nunca lo votaría",0.658,0.51,0.609
"P24","No sabe",0.182,0.24,0.159
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.151,0.199,0.298
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.092,0.151,0.151
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.077,0.048,0.033
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.437,0.205,0.126
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.107,0.145,0.236
"P25","Otros candidatos",0.136,0.252,0.156
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.435,0.255,0.169
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.202,0.259,0.36
"P29","Javier Milei – José Luis Espert por los liberales",0.116,0.161,0.258
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.084,0.062,0.031
"P29","Otro candidato",0.163,0.263,0.182
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.194,0.265,0.328
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.33,0.188,0.109
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.139,0.167,0.306
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.066,0.047,0.02
"P31","Otro candidato",0.271,0.333,0.237
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.379,0.213,0.118
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.195,0.296,0.44
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.13,0.153,0.252
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.056,0.032,0.013
"P33","Otro candidato",0.24,0.306,0.177
"P35","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.511,0.284,0.174
"P35","Mauricio Macri presidente – María Eugenia Vidal vice",0.269,0.389,0.59
"P35","No sabe",0.22,0.327,0.236
"P36","Alberto Fernández presidente – Daniel Scioli vice",0.441,0.231,0.134
"P36","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.252,0.399,0.499
"P36","No sabe",0.307,0.37,0.367
"P37","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.436,0.253,0.119
"P37","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.253,0.404,0.62
"P37","No sabe",0.311,0.343,0.261
"P38","Muy buena",0.097,0.042,0.038
"P38","Buena",0.262,0.117,0.108
"P38","Ni buena ni mala",0.247,0.191,0.115
"P38","Mala",0.126,0.145,0.095
"P38","Muy mala",0.263,0.485,0.635
"P38","No sabe",0.005,0.02,0.009
"P39","Muy buena",0.07,0.036,0.033
"P39","Buena",0.195,0.111,0.067
"P39","Ni buena ni mala",0.258,0.162,0.096
"P39","Mala",0.136,0.156,0.09
"P39","Muy mala",0.332,0.52,0.705
"P39","No sabe",0.009,0.015,0.009
"P40","Muy buena",0.373,0.14,0.104
"P40","Buena",0.102,0.093,0.035
"P40","Ni buena ni mala",0.078,0.088,0.043
"P40","Mala",0.075,0.09,0.05
"P40","Muy mala",0.359,0.575,0.761
"P40","No sabe",0.013,0.014,0.007
"P41","Muy buena",0.126,0.115,0.199
"P41","Buena",0.108,0.144,0.21
"P41","Ni buena ni mala",0.129,0.183,0.201
"P41","Mala",0.156,0.187,0.162
"P41","Muy mala",0.47,0.356,0.214
"P41","No sabe",0.011,0.015,0.014
"P42","Muy buena",0.101,0.128,0.189
"P42","Buena",0.137,0.217,0.268
"P42","Ni buena ni mala",0.156,0.293,0.21
"P42","Mala",0.17,0.121,0.125
"P42","Muy mala",0.405,0.221,0.179
"P42","No sabe",0.031,0.02,0.029
"P43","Muy buena",0.083,0.053,0.045
"P43","Buena",0.189,0.156,0.072
"P43","Ni buena ni mala",0.309,0.216,0.117
"P43","Mala",0.128,0.152,0.156
"P43","Muy mala",0.263,0.402,0.586
"P43","No sabe",0.028,0.021,0.024
"P44","Muy buena",0.072,0.07,0.155
"P44","Buena",0.081,0.136,0.165
"P44","Ni buena ni mala",0.165,0.251,0.25
"P44","Mala",0.15,0.164,0.155
"P44","Muy mala",0.491,0.35,0.24
"P44","No sabe",0.041,0.029,0.035
"P45","Muy buena",0.104,0.152,0.226
"P45","Buena",0.121,0.199,0.241
"P45","Ni buena ni mala",0.138,0.227,0.213
"P45","Mala",0.124,0.119,0.107
"P45","Muy mala",0.486,0.281,0.199
"P45","No sabe",0.027,0.022,0.014
"P46","Muy buena",0.098,0.05,0.062
"P46","Buena",0.262,0.146,0.071
"P46","Ni buena ni mala",0.236,0.222,0.129
"P46","Mala",0.105,0.15,0.149
"P46","Muy mala",0.273,0.406,0.569
"P46","No sabe",0.026,0.026,0.02
"P47","Muy buena",0.048,0.041,0.051
"P47","Buena",0.078,0.135,0.112
"P47","Ni buena ni mala",0.23,0.361,0.325
"P47","Mala",0.157,0.134,0.153
"P47","Muy mala",0.394,0.226,0.261
"P47","No sabe",0.093,0.103,0.098
