"var","categoria","Al Frente de todos","A Juntos","Al Frente de Izquierda","Al Partido Avanza libertad","A “Vamos con vos""","Votaría en blanco o anularía"
"P08","Si",0.853,0.938,0.762,0.793,0.856,0.433
"P08","Puede ser",0.115,0.033,0.052,0.137,0.144,0.319
"P08","No",0.032,0.029,0.186,0.07,0,0.248
"P34","Gran excedente habitual",0.001,0.004,0,0.007,0,0
"P34","Gran excedente excepcional",0.008,0.004,0,0.001,0.017,0
"P34","Pequeño excedente habitual",0.024,0.058,0.033,0.007,0,0.007
"P34","Pequeño excedente excepcional",0.051,0.035,0.124,0.045,0.01,0.006
"P34","Alcanza gastos familia",0.124,0.105,0.065,0.135,0.052,0.038
"P34","No alcanza gastos familia",0.204,0.179,0.295,0.168,0.133,0.216
"P34","Solo NBFamiliares",0.259,0.234,0.112,0.289,0.4,0.269
"P34","No alcanza NBFamiliares",0.313,0.373,0.365,0.305,0.373,0.412
"P34","No sabe",0.016,0.008,0.006,0.043,0.015,0.052
"P35","Muy buena",0.031,0.036,0.034,0.043,0.017,0.002
"P35","Buena",0.178,0.126,0.031,0.089,0.01,0.017
"P35","Ni buena ni mala",0.437,0.365,0.342,0.349,0.169,0.39
"P35","Mala",0.253,0.289,0.365,0.368,0.548,0.318
"P35","Muy mala",0.092,0.169,0.222,0.151,0.199,0.258
"P35","No sabe",0.009,0.015,0.006,0,0.057,0.015
"P36","Mejor",0.192,0.041,0.141,0.014,0.052,0.071
"P36","Igual",0.444,0.187,0.238,0.214,0.19,0.23
"P36","Peor",0.316,0.748,0.536,0.702,0.729,0.644
"P36","No sabe",0.048,0.024,0.085,0.07,0.029,0.055
"P37","Mejor",0.313,0.037,0.086,0.047,0.022,0.017
"P37","Igual",0.3,0.199,0.294,0.163,0.428,0.2
"P37","Peor",0.227,0.669,0.595,0.599,0.487,0.511
"P37","No sabe",0.16,0.095,0.025,0.191,0.063,0.272
"P46","Muy buena",0.304,0.062,0.029,0.014,0.008,0.032
"P46","Buena",0.34,0.051,0.056,0.015,0.077,0.141
"P46","Ni buena ni mala",0.181,0.131,0.361,0.138,0.283,0.327
"P46","Mala",0.062,0.137,0.192,0.154,0.155,0.121
"P46","Muy mala",0.08,0.606,0.346,0.679,0.301,0.34
"P46","No sabe",0.033,0.013,0.016,0,0.176,0.039
"P47","Muy buena",0.565,0.065,0.028,0.02,0.048,0.072
"P47","Buena",0.183,0.019,0.045,0.013,0.255,0.032
"P47","Ni buena ni mala",0.095,0.055,0.102,0.072,0.04,0.308
"P47","Mala",0.049,0.041,0.09,0.035,0.19,0.109
"P47","Muy mala",0.096,0.816,0.601,0.86,0.448,0.387
"P47","No sabe",0.012,0.004,0.134,0,0.019,0.092
"P48","Muy buena",0.015,0.265,0.027,0.005,0.199,0.04
"P48","Buena",0.044,0.195,0.008,0.143,0,0.084
"P48","Ni buena ni mala",0.108,0.217,0.073,0.279,0.116,0.298
"P48","Mala",0.158,0.142,0.249,0.245,0.208,0.187
"P48","Muy mala",0.663,0.168,0.643,0.328,0.457,0.38
"P48","No sabe",0.012,0.013,0,0,0.02,0.011
"P49","Muy buena",0.049,0.427,0.05,0.116,0.187,0.071
"P49","Buena",0.069,0.253,0.03,0.053,0.313,0.219
"P49","Ni buena ni mala",0.205,0.162,0.344,0.312,0.312,0.38
"P49","Mala",0.262,0.06,0.243,0.06,0.117,0.052
"P49","Muy mala",0.368,0.076,0.301,0.325,0.034,0.269
"P49","No sabe",0.047,0.022,0.032,0.134,0.037,0.009
"P50","Muy buena",0.098,0.046,0.019,0.003,0.008,0.043
"P50","Buena",0.296,0.038,0.033,0.01,0.155,0.056
"P50","Ni buena ni mala",0.373,0.114,0.257,0.212,0.25,0.281
"P50","Mala",0.071,0.152,0.199,0.244,0.23,0.177
"P50","Muy mala",0.102,0.641,0.492,0.531,0.337,0.389
"P50","No sabe",0.06,0.009,0,0,0.02,0.054
"P59","Muy buena",0.052,0.224,0.028,0.038,0.161,0.052
"P59","Buena",0.065,0.288,0.013,0.198,0.042,0.15
"P59","Ni buena ni mala",0.253,0.302,0.446,0.272,0.422,0.269
"P59","Mala",0.209,0.041,0.138,0.096,0.289,0.188
"P59","Muy mala",0.286,0.085,0.369,0.233,0,0.24
"P59","No sabe",0.135,0.06,0.006,0.163,0.086,0.101
"P61","Muy buena",0.034,0.079,0,0.038,0,0.051
"P61","Buena",0.037,0.193,0,0.038,0.007,0.014
"P61","Ni buena ni mala",0.259,0.34,0.297,0.326,0.506,0.305
"P61","Mala",0.164,0.03,0.074,0.049,0.061,0.158
"P61","Muy mala",0.222,0.114,0.312,0.236,0.141,0.23
"P61","No sabe",0.284,0.244,0.317,0.313,0.285,0.242
