"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.063,0.068,0.059,0.045,0.089,0.037,0.053,0,0.072,0.077,0.121,0.038,0.01,0.083,0.034,0,0,0,6
"Buena",0.11,0.111,0.109,0.085,0.059,0.175,0.15,0.238,0.11,0.065,0.126,0.14,0.011,0.099,0.144,0,0,0,6
"Ni buena ni mala",0.237,0.263,0.215,0.255,0.165,0.288,0.328,0.347,0.188,0.248,0.306,0.328,0.106,0.243,0.248,0,0,0,6
"Mala",0.291,0.269,0.309,0.047,0.396,0.262,0.239,0.27,0.341,0.245,0.244,0.229,0.632,0.342,0.275,0,0,0,6
"Muy mala",0.291,0.274,0.306,0.568,0.291,0.238,0.181,0.104,0.289,0.361,0.201,0.26,0.241,0.233,0.295,0,0,0,6
"No sabe",0.008,0.015,0.002,0,0,0,0.049,0.041,0,0.004,0.002,0.005,0,0,0.004,0,0,0,6
"Positiva",0.173,0.179,0.168,0.13,0.148,0.212,0.203,0.238,0.182,0.142,0.247,0.178,0.021,0.182,0.178,0,0,0,4
"Neutra",0.237,0.263,0.215,0.255,0.165,0.288,0.328,0.347,0.188,0.248,0.306,0.328,0.106,0.243,0.248,0,0,0,4
"Negativa",0.582,0.543,0.615,0.615,0.687,0.5,0.42,0.374,0.63,0.606,0.445,0.489,0.873,0.575,0.57,0,0,0,4
"No sabe",0.008,0.015,0.002,0,0,0,0.049,0.041,0,0.004,0.002,0.005,0,0,0.004,0,0,0,4
