"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.253,0.298,0.21,0.366,0.28,0.177,0.215,0.426,0.243,0.203,0.179,0.436,0.044,0.022,0.472,0,0,0,6
"Buena",0.151,0.135,0.166,0.094,0.138,0.148,0.24,0.03,0.175,0.167,0.122,0.368,0.091,0.019,0.264,0,0,0,6
"Ni buena ni mala",0.125,0.101,0.148,0.111,0.135,0.14,0.083,0.195,0.159,0.064,0.201,0.087,0.011,0.111,0.133,0,0,0,6
"Mala",0.115,0.104,0.125,0.108,0.076,0.142,0.185,0.205,0.092,0.109,0.153,0.031,0.236,0.181,0.037,0,0,0,6
"Muy mala",0.337,0.329,0.345,0.286,0.347,0.389,0.259,0.124,0.312,0.439,0.325,0.078,0.618,0.667,0.063,0,0,0,6
"No sabe",0.019,0.033,0.006,0.035,0.024,0.004,0.018,0.02,0.019,0.018,0.02,0,0,0,0.031,0,0,0,6
"Positiva",0.404,0.433,0.376,0.46,0.418,0.325,0.455,0.456,0.418,0.37,0.301,0.804,0.135,0.041,0.736,0,0,0,4
"Neutra",0.125,0.101,0.148,0.111,0.135,0.14,0.083,0.195,0.159,0.064,0.201,0.087,0.011,0.111,0.133,0,0,0,4
"Negativa",0.452,0.433,0.47,0.394,0.423,0.531,0.444,0.329,0.404,0.548,0.478,0.109,0.854,0.848,0.1,0,0,0,4
"No sabe",0.019,0.033,0.006,0.035,0.024,0.004,0.018,0.02,0.019,0.018,0.02,0,0,0,0.031,0,0,0,4
