"var","categoria","Inseguridad y narcotráfico","Altos impuestos y tarifas","Educación y estado de las escuelas","Inflación","Estado de la salud","Corrupción","Pobreza","Medio ambiente, incendios y contaminación","Falta de trabajo","No sabe"
"P10","Gran excedente habitual",0.009,0,0.023,0.03,0.03,0.007,0,0,0,0
"P10","Gran excedente excepcional",0,0,0.005,0,0,0,0,0,0,0
"P10","Pequeño excedente habitual",0.045,0,0.02,0.027,0.03,0.094,0.115,0,0,0
"P10","Pequeño excedente excepcional",0.04,0,0.022,0.046,0,0.017,0.039,0,0,0
"P10","Alcanza gastos familia",0.063,0,0.104,0.145,0.099,0.31,0.039,1,0,0
"P10","No alcanza gastos familia",0.129,0,0.097,0.034,0.3,0.207,0.049,0,0.83,0.488
"P10","Solo NBFamiliares",0.25,0,0.271,0.348,0.253,0.137,0.697,0,0.17,0.512
"P10","No alcanza NBFamiliares",0.464,0,0.458,0.37,0.288,0.167,0.061,0,0,0
"P10","No sabe",0,0,0,0,0,0.061,0,0,0,0
"P11","Muy buena",0.077,0,0.09,0.042,0.087,0.011,0,0,0,0
"P11","Buena",0.175,0,0.18,0.054,0.045,0.06,0.049,0,0.294,0
"P11","Ni buena ni mala",0.397,0,0.394,0.434,0.428,0.335,0.404,1,0.065,0.72
"P11","Mala",0.211,0,0.164,0.251,0.077,0.158,0.508,0,0,0
"P11","Muy mala",0.128,0,0.172,0.219,0.343,0.336,0.039,0,0.641,0.28
"P11","No sabe",0.012,0,0,0,0.02,0.1,0,0,0,0
"P12","Muy buena",0.122,0,0.298,0.156,0.185,0.423,0.359,0,0.641,0
"P12","Buena",0.09,0,0.157,0.135,0.102,0.157,0.066,1,0.17,0.488
"P12","Ni buena ni mala",0.133,0,0.095,0.091,0,0.16,0,0,0,0
"P12","Mala",0.239,0,0.107,0.13,0.149,0.127,0.04,0,0,0
"P12","Muy mala",0.416,0,0.307,0.488,0.564,0.033,0.535,0,0.189,0.512
"P12","No sabe",0,0,0.036,0,0,0.1,0,0,0,0
"P13","Muy buena",0.006,0,0.051,0.09,0.031,0,0.039,0,0,0
"P13","Buena",0.126,0,0.223,0.147,0.206,0.052,0,0,0.641,0
"P13","Ni buena ni mala",0.484,0,0.37,0.408,0.193,0.261,0.832,1,0.17,0
"P13","Mala",0.256,0,0.192,0.243,0.252,0.39,0.08,0,0,0.209
"P13","Muy mala",0.12,0,0.164,0.103,0.318,0.197,0.049,0,0.124,0.791
"P13","No sabe",0.008,0,0,0.009,0,0.1,0,0,0.065,0
"P15","Muy buena",0.089,0,0.191,0.106,0.03,0.039,0,0,0.17,0
"P15","Buena",0.228,0,0.319,0.196,0.174,0.032,0.139,0,0,0
"P15","Ni buena ni mala",0.357,0,0.316,0.361,0.297,0.397,0.376,0,0.706,0
"P15","Mala",0.192,0,0.059,0.252,0.1,0.073,0.485,1,0,0.488
"P15","Muy mala",0.095,0,0.11,0.079,0.399,0.35,0,0,0,0
"P15","No sabe",0.039,0,0.005,0.006,0,0.109,0,0,0.124,0.512
"P16","Gobierno nacional",0.403,0,0.34,0.515,0.575,0.15,0.476,0,0.235,0
"P16","Gobierno provincial",0.424,0,0.511,0.32,0.405,0.677,0.485,0,0.641,1
"P16","No sabe",0.173,0,0.149,0.165,0.02,0.173,0.039,1,0.124,0
"P17","El anterior gobierno de Arabela Carreras",0.36,0,0.753,0.445,0.765,0.587,0.777,0,1,0.726
"P17","El actual gobierno de Alberto Weretilneck",0.395,0,0.147,0.365,0.235,0.413,0.223,0,0,0.143
"P17","No sabe",0.245,0,0.1,0.19,0,0,0,0,0,0.131
"P18","El anterior gobierno de Alberto Fernández",0.276,0,0.149,0.516,0.143,0.331,0.243,0,0.924,0
"P18","El actual gobierno de Javier Milei",0.67,0,0.839,0.484,0.857,0.043,0.757,0,0.076,0
"P18","No sabe",0.054,0,0.012,0,0,0.626,0,0,0,0
"P19","Muy buena",0.021,0,0,0.042,0,0,0,0,0.17,0
"P19","Buena",0.105,0,0.162,0.183,0.02,0.153,0.041,1,0,0.209
"P19","Ni buena ni mala",0.349,0,0.486,0.279,0.147,0.256,0.039,0,0,0
"P19","Mala",0.322,0,0.164,0.394,0.151,0.385,0.552,0,0.706,0.28
"P19","Muy mala",0.203,0,0.188,0.102,0.651,0.11,0.368,0,0.124,0
"P19","No sabe",0,0,0,0,0.031,0.096,0,0,0,0.511
"P20","Muy buena",0.029,0,0.097,0.051,0.031,0,0,0,0,0
"P20","Buena",0.09,0,0.097,0.064,0,0.009,0,1,0,0
"P20","Ni buena ni mala",0.28,0,0.263,0.354,0.047,0.279,0,0,0,0
"P20","Mala",0.406,0,0.29,0.426,0.291,0.267,0.62,0,0.876,0.209
"P20","Muy mala",0.195,0,0.253,0.099,0.631,0.244,0.38,0,0.124,0.28
"P20","No sabe",0,0,0,0.006,0,0.201,0,0,0,0.511
"P21","Muy buena",0.008,0,0,0,0,0,0,0,0,0
"P21","Buena",0.106,0,0.206,0.15,0.144,0.039,0,0,0.065,0
"P21","Ni buena ni mala",0.385,0,0.313,0.349,0.17,0.296,0.295,0,0.17,0
"P21","Mala",0.371,0,0.341,0.346,0.42,0.334,0.386,1,0.641,0.488
"P21","Muy mala",0.117,0,0.14,0.15,0.266,0.27,0.319,0,0.124,0
"P21","No sabe",0.013,0,0,0.005,0,0.061,0,0,0,0.512
"P22","Muy de acuerdo",0.393,0,0.436,0.477,0.365,0.073,0.337,0,0.189,0
"P22","De acuerdo",0.135,0,0.238,0.238,0.22,0.134,0.178,0,0.17,0
"P22","Ni de acuerdo ni en desacuerdo",0.281,0,0.21,0.095,0.121,0.295,0.127,1,0.641,0.209
"P22","En desacuerdo",0.133,0,0.048,0.156,0.024,0.245,0.039,0,0,0
"P22","Muy en desacuerdo",0.042,0,0.034,0.004,0.239,0.173,0.319,0,0,0.28
"P22","No sabe",0.016,0,0.034,0.03,0.031,0.08,0,0,0,0.511
"P23","El estado nacional",0.147,0,0.106,0.124,0.16,0.239,0.319,0,0,0
"P23","El estado provincial",0.55,0,0.495,0.549,0.357,0.163,0.487,0,0.235,0.511
"P23","Ambos de forma coordinada",0.233,0,0.33,0.243,0.35,0.383,0.154,1,0.765,0.28
"P23","No sabe",0.07,0,0.069,0.084,0.133,0.215,0.04,0,0,0.209
"P28","Muy buena",0.009,0,0.042,0,0,0,0,0,0,0
"P28","Buena",0.022,0,0.059,0,0,0.007,0,0,0,0
"P28","Ni buena ni mala",0.356,0,0.649,0.357,0.092,0.184,0.08,1,0.641,0
"P28","Mala",0.309,0,0.197,0.598,0.195,0.079,0.871,0,0.359,0.719
"P28","Muy mala",0.285,0,0.053,0.03,0.713,0.311,0.049,0,0,0.281
"P28","No sabe",0.019,0,0,0.015,0,0.419,0,0,0,0
"P29","Peor",0.844,0,0.367,0.538,0.78,0.407,0.621,1,0.189,0.791
"P29","Igual",0.068,0,0.403,0.151,0.22,0.486,0.379,0,0.811,0
"P29","Mejor",0.041,0,0.217,0.057,0,0,0,0,0,0
"P29","No sabe",0.047,0,0.013,0.254,0,0.107,0,0,0,0.209
"P30","Peor",0.816,0,0.388,0.533,0.814,0.498,0.52,0,0.191,0.79
"P30","Igual",0.047,0,0.235,0.259,0.108,0.39,0,1,0,0
"P30","Mejor",0.047,0,0.301,0.032,0.078,0.023,0.32,0,0.809,0
"P30","No sabe",0.09,0,0.076,0.176,0,0.089,0.16,0,0,0.21
"P31","Javier Milei",0.338,0,0.43,0.298,0.361,0.6,0.401,0,0.641,0.486
"P31","Los gobernadores",0.567,0,0.522,0.628,0.639,0.217,0.599,1,0.188,0.514
"P31","No sabe",0.095,0,0.048,0.074,0,0.183,0,0,0.171,0
"P32","Muy buena",0.169,0,0.155,0.063,0,0.052,0,0,0.636,0
"P32","Buena",0.169,0,0.284,0.219,0.269,0.024,0.158,0,0.364,0
"P32","Ni buena ni mala",0.296,0,0.313,0.348,0.165,0.273,0.392,0,0,0.505
"P32","Mala",0.228,0,0.103,0.326,0.243,0.228,0.441,1,0,0.21
"P32","Muy mala",0.069,0,0.145,0.038,0.323,0.414,0.009,0,0,0.285
"P32","No sabe",0.069,0,0,0.006,0,0.009,0,0,0,0
"P33","Muy buena",0.053,0,0.067,0.094,0.02,0.011,0,0,0.13,0.51
"P33","Buena",0.088,0,0.077,0.112,0.053,0.094,0.095,0,0.797,0
"P33","Ni buena ni mala",0.22,0,0.238,0.28,0.254,0.07,0.125,1,0.073,0.209
"P33","Mala",0.332,0,0.303,0.32,0.179,0.296,0.209,0,0,0
"P33","Muy mala",0.307,0,0.315,0.189,0.494,0.468,0.571,0,0,0.281
"P33","No sabe",0,0,0,0.005,0,0.061,0,0,0,0
"P34","Muy buena",0.178,0,0.145,0.138,0.111,0.007,0,0,0,0
"P34","Buena",0.132,0,0.23,0.183,0.164,0.101,0.158,0,0,0
"P34","Ni buena ni mala",0.235,0,0.241,0.306,0.421,0.11,0.375,1,0.175,0
"P34","Mala",0.251,0,0.19,0.225,0.03,0.301,0.095,0,0.073,0.493
"P34","Muy mala",0.162,0,0.189,0.114,0.225,0.401,0.372,0,0.752,0
"P34","No sabe",0.042,0,0.005,0.034,0.049,0.08,0,0,0,0.507
"P35","Muy buena",0.017,0,0.107,0.044,0.081,0,0,0,0,0
"P35","Buena",0.151,0,0.087,0.033,0.104,0.131,0.113,0,0,0
"P35","Ni buena ni mala",0.307,0,0.41,0.433,0.283,0.318,0.359,1,0.794,0.212
"P35","Mala",0.275,0,0.149,0.173,0.049,0.225,0.229,0,0.076,0.28
"P35","Muy mala",0.18,0,0.154,0.209,0.483,0.265,0.174,0,0.13,0
"P35","No sabe",0.07,0,0.093,0.108,0,0.061,0.125,0,0,0.508
"P36","Muy buena",0.434,0,0.287,0.463,0.332,0.016,0.322,0,0.113,0
"P36","Buena",0.147,0,0.13,0.106,0.062,0.008,0.172,0,0,0
"P36","Ni buena ni mala",0.042,0,0.081,0.014,0.149,0.214,0,0,0.07,0
"P36","Mala",0.084,0,0.166,0.187,0.183,0.087,0,1,0,0
"P36","Muy mala",0.29,0,0.324,0.23,0.229,0.613,0.506,0,0.817,0.478
"P36","No sabe",0.003,0,0.012,0,0.045,0.062,0,0,0,0.522
"P37","Muy buena",0.075,0,0.2,0.073,0.074,0.05,0,1,0.195,0
"P37","Buena",0.092,0,0.07,0.066,0.105,0.24,0.395,0,0.622,0.478
"P37","Ni buena ni mala",0.132,0,0.038,0.048,0,0.177,0,0,0,0
"P37","Mala",0.2,0,0.294,0.312,0.222,0.406,0.099,0,0.07,0
"P37","Muy mala",0.498,0,0.398,0.495,0.599,0.064,0.506,0,0.113,0.522
"P37","No sabe",0.003,0,0,0.006,0,0.063,0,0,0,0
"P38","Muy buena",0.103,0,0.086,0.13,0.123,0.02,0,0,0,0
"P38","Buena",0.223,0,0.117,0.172,0.12,0.106,0.28,0,0.07,0
"P38","Ni buena ni mala",0.23,0,0.176,0.222,0.151,0.092,0.215,0,0,0
"P38","Mala",0.163,0,0.134,0.163,0.332,0.15,0.066,1,0,0
"P38","Muy mala",0.277,0,0.487,0.313,0.274,0.578,0.439,0,0.93,1
"P38","No sabe",0.004,0,0,0,0,0.054,0,0,0,0
"P39","Muy buena",0.423,0,0.258,0.42,0.332,0.032,0.265,0,0,0
"P39","Buena",0.097,0,0.075,0.144,0.062,0.019,0.229,0,0.183,0
"P39","Ni buena ni mala",0.129,0,0.128,0.039,0.247,0.21,0,0,0,0
"P39","Mala",0.061,0,0.182,0.129,0.085,0.054,0.111,1,0,0
"P39","Muy mala",0.287,0,0.357,0.239,0.274,0.631,0.395,0,0.817,1
"P39","No sabe",0.003,0,0,0.029,0,0.054,0,0,0,0
"P40","Muy buena",0.174,0,0.282,0.244,0.124,0.389,0.325,0,0.622,0.196
"P40","Buena",0.062,0,0.221,0.061,0.121,0.133,0.07,1,0,0
