"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Cornejo","Petri","De Marchi","Parisi","Carmona","Guillén"
"Totalmente seguro",0.618,0.675,0.565,0.648,0.592,0.618,0.63,0.6,0.595,0.672,0.634,0.624,0.614,0.497,0.727,0.691,0.589,0.576,0.784,0.84,0.436
"Bastante seguro",0.156,0.158,0.153,0.141,0.136,0.174,0.199,0.152,0.159,0.156,0.178,0.168,0.197,0.174,0.113,0.157,0.196,0.23,0.046,0.065,0.035
"Algo seguro",0.109,0.084,0.133,0.122,0.142,0.064,0.074,0.093,0.132,0.097,0.131,0.125,0.126,0.125,0.065,0.086,0.138,0.094,0.107,0.054,0.035
"Para nada seguro",0.117,0.083,0.149,0.089,0.13,0.144,0.097,0.155,0.114,0.075,0.057,0.083,0.063,0.204,0.095,0.066,0.077,0.1,0.063,0.041,0.494
