"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Cornejo","Petri","De Marchi","Parisi","Carmona","Guillén"
"Si",0.412,0.399,0.424,0.338,0.461,0.43,0.396,0.369,0.432,0.435,0.424,0.329,0.451,0.441,0.411,0.496,0.404,0.382,0.544,0.222,0.093
"No",0.588,0.601,0.576,0.662,0.539,0.57,0.604,0.631,0.568,0.565,0.576,0.671,0.549,0.559,0.589,0.504,0.596,0.618,0.456,0.778,0.907
