"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Cornejo","Petri","De Marchi","Parisi","Carmona","Guillén"
"Alfredo Cornejo a gobernador y Hebe Casado a vicegobernador por Cambia Mendoza",0.345,0.317,0.371,0.242,0.357,0.414,0.419,0.314,0.344,0.389,0.226,0.236,0.636,0.375,0.275,0.708,0.4,0.136,0.095,0.029,0.04
"Omar De Marchi a gobernador y Daniel Orozco a vicegobernador por La Unión Mendocina",0.296,0.355,0.239,0.309,0.313,0.324,0.192,0.356,0.24,0.295,0.33,0.265,0.202,0.316,0.345,0.127,0.337,0.64,0.196,0.237,0.213
"Omar Parisi a gobernador y Lucas Ilardo a vicegobernador por Elegí Mendoza",0.161,0.134,0.186,0.168,0.161,0.125,0.196,0.126,0.177,0.183,0.337,0.404,0.084,0.115,0.064,0.082,0.143,0.112,0.614,0.588,0.152
"Mario Vadillo a gobernador y Emanuel Fugazzotto a vicegobernador por el Partido Verde",0.044,0.03,0.057,0.025,0.039,0.052,0.079,0.041,0.048,0.042,0.021,0.021,0.017,0.138,0.066,0.022,0.036,0.017,0.026,0.024,0.069
"Lautaro Giménez a gobernador y Noelia Barbeito a vicegobernadora por el Frente de Izquierda",0.074,0.079,0.071,0.132,0.066,0.027,0.05,0.085,0.085,0.045,0.057,0.06,0.028,0.006,0.134,0.031,0.031,0.063,0.034,0.107,0.067
"En blanco",0.08,0.085,0.076,0.124,0.064,0.058,0.064,0.078,0.106,0.046,0.029,0.014,0.033,0.05,0.116,0.03,0.053,0.032,0.035,0.015,0.459
