"var","categoria","Mucho","Bastante","Poco","Nada","No sabe"
"P06","Siempre",0.294,0.138,0.151,0.094,0.166
"P06","Casi siempre",0.307,0.416,0.185,0.164,0.344
"P06","Casi nunca",0.247,0.322,0.45,0.293,0.156
"P06","Nunca, pero esta es una excepción",0.152,0.124,0.214,0.449,0.334
"P09","Alfredo Cornejo a gobernador y Hebe Casado a vicegobernador por Cambia Mendoza",0.335,0.313,0.297,0.119,0.095
"P09","Omar De Marchi a gobernador y Daniel Orozco a vicegobernador por La Unión Mendocina",0.265,0.252,0.233,0.196,0.319
"P09","Omar Parisi a gobernador y Lucas Ilardo a vicegobernador por Elegí Mendoza",0.178,0.132,0.104,0.101,0.095
"P09","Mario Vadillo a gobernador y Emanuel Fugazzotto a vicegobernador por el Partido Verde",0.03,0.03,0.041,0.077,0.003
"P09","Lautaro Giménez a gobernador y Noelia Barbeito a vicegobernadora por el Frente de Izquierda",0.066,0.059,0.067,0.054,0.049
"P09","En blanco",0.039,0.087,0.093,0.078,0.079
"P09","No sabe",0.087,0.127,0.165,0.375,0.36
"P12","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.456,0.427,0.486,0.609,0.412
"P12","Con políticas muy estudiadas y progresivas para que las transformaciones de fondo necesarias se puedan realizar",0.212,0.211,0.18,0.059,0.107
"P12","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.211,0.2,0.116,0.069,0.064
"P12","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.052,0.081,0.061,0.143,0.01
"P12","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.023,0.038,0.031,0.018,0.102
"P12","No sabe",0.046,0.043,0.126,0.102,0.305
"P13","Totalmente seguro",0.693,0.604,0.526,0.429,0.725
"P13","Bastante seguro",0.155,0.17,0.175,0.122,0.015
"P13","Algo seguro",0.084,0.143,0.116,0.122,0.008
"P13","Para nada seguro",0.068,0.083,0.183,0.327,0.252
"P14","Tiene Decidido que va a ir a votar",0.923,0.911,0.794,0.53,0.733
"P14","Tiene dudas sobre si va a ir a  votar",0.06,0.06,0.136,0.307,0.128
"P14","Tiene Decidido que no va a ir a votar",0.017,0.029,0.07,0.163,0.139
"P15","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.289,0.21,0.188,0.089,0.151
"P15","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.293,0.326,0.367,0.157,0.069
"P15","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.361,0.398,0.319,0.396,0.465
"P15","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.007,0.018,0.031,0.029,0.096
"P15","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.007,0.004,0.017,0.002,0.067
"P15","En blanco",0.014,0.002,0.019,0.095,0.045
"P15","No sabe",0.029,0.042,0.059,0.232,0.107
"P18","Lo votaría",0.349,0.309,0.33,0.142,0.369
"P18","Puede que lo vote",0.155,0.215,0.18,0.164,0.064
"P18","Nunca lo votaría",0.448,0.366,0.42,0.592,0.433
"P18","No sabe",0.048,0.11,0.07,0.102,0.134
"P19","Lo votaría",0.261,0.252,0.221,0.203,0.397
"P19","Puede que lo vote",0.162,0.23,0.244,0.145,0.073
"P19","Nunca lo votaría",0.513,0.424,0.48,0.539,0.328
"P19","No sabe",0.064,0.094,0.055,0.113,0.202
"P20","Lo votaría",0.228,0.135,0.117,0.161,0.115
"P20","Puede que lo vote",0.106,0.173,0.184,0.125,0.207
"P20","Nunca lo votaría",0.595,0.617,0.596,0.574,0.433
"P20","No sabe",0.071,0.075,0.103,0.14,0.245
"P21","Lo votaría",0.085,0.099,0.096,0.194,0.186
"P21","Puede que lo vote",0.116,0.181,0.128,0.052,0.145
"P21","Nunca lo votaría",0.71,0.604,0.607,0.504,0.424
"P21","No sabe",0.089,0.116,0.169,0.25,0.245
"P22","Lo votaría",0.071,0.102,0.088,0.121,0.148
"P22","Puede que lo vote",0.093,0.169,0.141,0.075,0.077
"P22","Nunca lo votaría",0.774,0.627,0.665,0.628,0.496
"P22","No sabe",0.062,0.102,0.106,0.176,0.279
"P23","Si",0.465,0.421,0.305,0.36,0.343
"P23","No",0.535,0.579,0.695,0.64,0.657
"P09_imputada","Alfredo Cornejo a gobernador y Hebe Casado a vicegobernador por Cambia Mendoza",0.376,0.349,0.375,0.22,0.104
"P09_imputada","Omar De Marchi a gobernador y Daniel Orozco a vicegobernador por La Unión Mendocina",0.285,0.289,0.263,0.344,0.522
"P09_imputada","Omar Parisi a gobernador y Lucas Ilardo a vicegobernador por Elegí Mendoza",0.187,0.146,0.134,0.175,0.114
"P09_imputada","Mario Vadillo a gobernador y Emanuel Fugazzotto a vicegobernador por el Partido Verde",0.037,0.034,0.052,0.077,0.106
"P09_imputada","Lautaro Giménez a gobernador y Noelia Barbeito a vicegobernadora por el Frente de Izquierda",0.075,0.077,0.083,0.054,0.049
"P09_imputada","En blanco",0.04,0.105,0.093,0.13,0.105
"P15_imputada","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.294,0.217,0.211,0.102,0.173
"P15_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.312,0.346,0.381,0.166,0.069
"P15_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.365,0.41,0.323,0.607,0.543
"P15_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.007,0.021,0.031,0.029,0.095
"P15_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.007,0.004,0.035,0.002,0.075
"P15_imputada","En blanco",0.015,0.002,0.019,0.094,0.045
