"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País","En blanco"
"P05","Mucho",0.474,0.376,0.346,0.123,0.208,0.308
"P05","Bastante",0.314,0.375,0.349,0.342,0.097,0.042
"P05","Poco",0.148,0.2,0.132,0.239,0.442,0.166
"P05","Nada",0.033,0.04,0.115,0.104,0.011,0.383
"P05","No sabe",0.031,0.009,0.058,0.192,0.242,0.101
"P06","Siempre",0.267,0.225,0.176,0.287,0.132,0.132
"P06","Casi siempre",0.32,0.408,0.32,0.222,0.165,0.536
"P06","Casi nunca",0.3,0.245,0.273,0.41,0.277,0.166
"P06","Nunca, pero esta es una excepción",0.113,0.122,0.231,0.081,0.426,0.166
"P12","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.285,0.402,0.648,0.253,0.219,0.466
"P12","Con políticas muy estudiadas y progresivas para que las transformaciones de fondo necesarias se puedan realizar",0.138,0.342,0.11,0.093,0.026,0
"P12","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.384,0.12,0.096,0.014,0.169,0.248
"P12","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.123,0.053,0.06,0.048,0,0.008
"P12","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.025,0.024,0.015,0.345,0.093,0.067
"P12","No sabe",0.045,0.059,0.071,0.247,0.493,0.211
"P13","Totalmente seguro",0.651,0.584,0.659,0.435,0.324,0.49
"P13","Bastante seguro",0.157,0.184,0.131,0.286,0.193,0
"P13","Algo seguro",0.105,0.13,0.095,0.014,0.176,0.052
"P13","Para nada seguro",0.087,0.102,0.115,0.265,0.307,0.458
"P14","Tiene Decidido que va a ir a votar",0.893,0.859,0.867,0.866,0.832,0.406
"P14","Tiene dudas sobre si va a ir a  votar",0.079,0.086,0.091,0.095,0.145,0.333
"P14","Tiene Decidido que no va a ir a votar",0.028,0.055,0.042,0.039,0.023,0.261
"P18","Lo votaría",0.173,0.52,0.262,0.182,0.192,0.056
"P18","Puede que lo vote",0.116,0.208,0.171,0.296,0.31,0.265
"P18","Nunca lo votaría",0.664,0.215,0.464,0.37,0.421,0.338
"P18","No sabe",0.047,0.057,0.103,0.152,0.077,0.341
"P19","Lo votaría",0.323,0.155,0.312,0.041,0.14,0.176
"P19","Puede que lo vote",0.167,0.177,0.215,0.356,0.298,0.143
"P19","Nunca lo votaría",0.438,0.585,0.4,0.555,0.406,0.337
"P19","No sabe",0.072,0.083,0.073,0.048,0.156,0.344
"P20","Lo votaría",0.417,0.076,0.11,0.03,0.042,0.083
"P20","Puede que lo vote",0.16,0.134,0.137,0.422,0.176,0.131
"P20","Nunca lo votaría",0.375,0.712,0.638,0.393,0.649,0.612
"P20","No sabe",0.048,0.078,0.115,0.155,0.133,0.174
"P21","Lo votaría",0.152,0.08,0.1,0,0.098,0.011
"P21","Puede que lo vote",0.166,0.138,0.109,0.372,0.026,0.166
"P21","Nunca lo votaría",0.557,0.679,0.643,0.528,0.744,0.565
"P21","No sabe",0.125,0.103,0.148,0.1,0.132,0.258
"P22","Lo votaría",0.19,0.043,0.071,0.231,0.013,0
"P22","Puede que lo vote",0.154,0.145,0.072,0.498,0.105,0.142
"P22","Nunca lo votaría",0.554,0.751,0.73,0.216,0.746,0.667
"P22","No sabe",0.102,0.061,0.127,0.055,0.136,0.191
"P23","Si",0.447,0.438,0.392,0.34,0.064,0.238
"P23","No",0.553,0.562,0.608,0.66,0.936,0.762
"P09_imputada","Alfredo Cornejo a gobernador y Hebe Casado a vicegobernador por Cambia Mendoza",0.126,0.625,0.288,0.199,0.347,0.534
"P09_imputada","Omar De Marchi a gobernador y Daniel Orozco a vicegobernador por La Unión Mendocina",0.318,0.186,0.394,0.013,0.24,0.005
"P09_imputada","Omar Parisi a gobernador y Lucas Ilardo a vicegobernador por Elegí Mendoza",0.404,0.09,0.082,0.01,0.144,0.099
"P09_imputada","Mario Vadillo a gobernador y Emanuel Fugazzotto a vicegobernador por el Partido Verde",0.031,0.024,0.053,0.136,0.123,0.056
"P09_imputada","Lautaro Giménez a gobernador y Noelia Barbeito a vicegobernadora por el Frente de Izquierda",0.082,0.027,0.074,0.326,0.114,0
"P09_imputada","En blanco",0.039,0.048,0.109,0.316,0.032,0.306
