"var","categoria","Si","Puede ser","No"
"P11","A Tolosa Paz por el Frente de todos",0.352,0.313,0.178
"P11","A Santilli y Manes por Juntos",0.449,0.209,0.171
"P11","A Del Caño por el Frente de Izquierda",0.031,0.043,0.047
"P11","A Espert por Avanza libertad",0.086,0.036,0.013
"P11","A Randazo por “Vamos con vos""",0.011,0.052,0.027
"P11","A Hotton por “+Valores”",0.014,0.044,0.047
"P11","Votaría en blanco o anularía",0.057,0.303,0.517
