"var","categoria","Mejor","Igual","Peor","No sabe"
"P11","A Tolosa Paz por el Frente de todos",0.803,0.425,0.099,0.442
"P11","A Santilli y Manes por Juntos",0.094,0.375,0.583,0.248
"P11","A Del Caño por el Frente de Izquierda",0.007,0.04,0.038,0.023
"P11","A Espert por Avanza libertad",0.017,0.043,0.134,0.048
"P11","A Randazo por “Vamos con vos""",0.023,0.011,0.026,0.003
"P11","A Hotton por “+Valores”",0.019,0,0.03,0.021
"P11","Votaría en blanco o anularía",0.037,0.106,0.09,0.215
