"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires"
"Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.231,0.23,0.232,0.149,0.254,0.272,0.234,0.249,0.227,0.217,0.482,0.039,0.173,0.184,0.216,0.277,0.27
"Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.067,0.057,0.075,0.081,0.068,0.063,0.047,0.051,0.049,0.105,0.133,0.012,0.055,0.068,0.039,0.043,0.079
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.248,0.239,0.257,0.157,0.197,0.33,0.385,0.214,0.25,0.282,0.072,0.495,0.21,0.274,0.214,0.236,0.243
"Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.095,0.087,0.103,0.07,0.093,0.098,0.132,0.086,0.095,0.105,0.038,0.16,0.144,0.087,0.09,0.071,0.108
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.196,0.248,0.147,0.34,0.219,0.104,0.069,0.211,0.207,0.166,0.108,0.224,0.204,0.21,0.219,0.182,0.177
"Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.022,0.02,0.023,0.027,0.03,0.013,0.008,0.016,0.018,0.033,0.021,0.009,0.03,0.031,0.011,0.027,0.018
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.025,0.018,0.032,0.022,0.033,0.021,0.018,0.023,0.029,0.023,0.028,0.012,0.074,0.042,0.031,0.013,0.011
"Otros",0.034,0.041,0.027,0.047,0.036,0.025,0.022,0.046,0.032,0.024,0.044,0.013,0.033,0.029,0.04,0.048,0.033
"En blanco",0.03,0.024,0.036,0.045,0.019,0.031,0.032,0.037,0.038,0.013,0.03,0.01,0.039,0.024,0.059,0.042,0.022
"No sabe",0.052,0.036,0.068,0.062,0.051,0.043,0.053,0.067,0.055,0.032,0.044,0.026,0.038,0.051,0.081,0.061,0.039
