"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires"
"Tiene Decidido que va a ir a votar",0.88,0.881,0.879,0.861,0.895,0.903,0.837,0.842,0.873,0.925,0.889,0.912,0.817,0.88,0.885,0.891,0.877
"Tiene dudas sobre si va a ir a  votar",0.08,0.075,0.086,0.105,0.068,0.071,0.092,0.093,0.091,0.055,0.077,0.064,0.115,0.073,0.08,0.036,0.093
"Tiene Decidido que no va a ir a votar",0.04,0.044,0.035,0.034,0.037,0.026,0.071,0.065,0.036,0.02,0.034,0.024,0.068,0.047,0.035,0.073,0.03
