"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P05","Mucho",0.476,0.347,0.39,0.251
"P05","Bastante",0.317,0.379,0.291,0.325
"P05","Poco",0.169,0.232,0.247,0.334
"P05","Nada",0.028,0.034,0.066,0.064
"P05","No sabe",0.01,0.008,0.006,0.026
"P06","Siempre",0.306,0.273,0.226,0.202
"P06","Casi siempre",0.439,0.431,0.39,0.403
"P06","Casi nunca",0.197,0.217,0.296,0.23
"P06","Nunca, pero esta es una excepción",0.058,0.079,0.088,0.165
"P08","Unión por la Patria",0.708,0.105,0.122,0.097
"P08","Juntos por el Cambio",0.147,0.639,0.226,0.334
"P08","Liberales",0.026,0.19,0.376,0.162
"P08","Izquierda",0.032,0.007,0.089,0.021
"P08","Otro",0.04,0.025,0.086,0.093
"P08","No sabe",0.047,0.034,0.101,0.293
"P09","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.63,0.015,0.052,0.08
"P09","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.184,0.007,0.056,0.028
"P09","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.05,0.515,0.21,0.303
"P09","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.014,0.224,0.019,0.039
"P09","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.038,0.205,0.471,0.249
"P09","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.02,0.004,0.055,0.03
"P09","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.018,0.012,0.023,0.069
"P09","Otros",0.023,0.006,0.036,0.054
"P09","En blanco",0.005,0.002,0.058,0.018
"P09","No sabe",0.018,0.01,0.02,0.13
"P18","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.52,0.063,0.055,0.078
"P18","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.201,0.03,0.075,0.044
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.066,0.425,0.313,0.262
"P18","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.06,0.261,0.063,0.071
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.055,0.17,0.29,0.216
"P18","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.035,0.007,0.025,0.014
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.017,0.02,0.019,0.069
"P18","Otros",0.023,0.006,0.044,0.065
"P18","En blanco",0.01,0.005,0.098,0.024
"P18","No sabe",0.013,0.013,0.018,0.157
"P25","Totalmente seguro",0.66,0.651,0.698,0.517
"P25","Bastante seguro",0.173,0.188,0.135,0.128
"P25","Algo seguro",0.103,0.112,0.091,0.147
"P25","Para nada seguro",0.064,0.049,0.076,0.208
"P26","Tiene Decidido que va a ir a votar",0.925,0.919,0.878,0.841
"P26","Tiene dudas sobre si va a ir a  votar",0.058,0.052,0.073,0.102
"P26","Tiene Decidido que no va a ir a votar",0.017,0.029,0.049,0.057
"P27","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.781,0.025,0.074,0.085
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.066,0.632,0.234,0.322
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.048,0.228,0.478,0.262
"P27","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.042,0.006,0.081,0.021
"P27","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.021,0.032,0.038,0.085
"P27","Otros",0.024,0.042,0.024,0.074
"P27","En blanco",0.004,0.012,0.056,0.017
"P27","No sabe",0.014,0.023,0.015,0.134
"P28","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.808,0.02,0.08,0.088
"P28","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.072,0.62,0.077,0.148
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.044,0.274,0.536,0.34
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.027,0.005,0.08,0.011
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.017,0.018,0.047,0.076
"P28","Otros",0.016,0.024,0.057,0.127
"P28","En blanco",0.004,0.017,0.099,0.016
"P28","No sabe",0.012,0.022,0.024,0.194
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.876,0.08,0.103,0.067
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.068,0.834,0.451,0.445
"P33","En blanco",0.04,0.048,0.42,0.068
"P33","No sabe",0.016,0.038,0.026,0.42
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.193,0.629,0.233,0.319
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.071,0.299,0.461,0.284
"P34","En blanco",0.577,0.038,0.286,0.051
"P34","No sabe",0.159,0.034,0.02,0.346
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.215,0.597,0.084,0.079
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.059,0.334,0.523,0.372
"P36","En blanco",0.553,0.033,0.361,0.057
"P36","No sabe",0.173,0.036,0.032,0.492
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.881,0.092,0.097,0.083
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.06,0.547,0.566,0.359
