"var","categoria","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P05","Mucho",0.375,0.34,0.513,0.35
"P05","Bastante",0.369,0.355,0.298,0.337
"P05","Poco",0.209,0.236,0.164,0.243
"P05","Nada",0.031,0.06,0.021,0.06
"P05","No sabe",0.016,0.009,0.004,0.01
"P06","Siempre",0.3,0.241,0.296,0.221
"P06","Casi siempre",0.419,0.424,0.419,0.498
"P06","Casi nunca",0.217,0.238,0.217,0.205
"P06","Nunca, pero esta es una excepción",0.064,0.097,0.068,0.076
"P08","Unión por la Patria",0.186,0.125,0.63,0.372
"P08","Juntos por el Cambio",0.685,0.254,0.166,0.29
"P08","Liberales",0.046,0.483,0.036,0.038
"P08","Izquierda",0.02,0.014,0.065,0.023
"P08","Otro",0.026,0.06,0.045,0.072
"P08","No sabe",0.037,0.064,0.058,0.205
"P09","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.121,0.043,0.529,0.355
"P09","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.031,0.013,0.204,0.092
"P09","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.496,0.252,0.088,0.244
"P09","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.253,0.038,0.017,0.017
"P09","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.046,0.604,0.034,0.036
"P09","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.018,0.004,0.04,0.019
"P09","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.011,0.011,0.024,0.063
"P09","Otros",0.013,0.013,0.022,0.06
"P09","En blanco",0,0.001,0.033,0.017
"P09","No sabe",0.011,0.021,0.009,0.097
"P18","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.136,0.067,0.413,0.32
"P18","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.05,0.042,0.226,0.095
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.373,0.371,0.077,0.186
"P18","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.301,0.08,0.056,0.051
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.084,0.373,0.061,0.072
"P18","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.014,0.005,0.042,0.019
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.012,0.023,0.028,0.044
"P18","Otros",0.01,0.014,0.04,0.055
"P18","En blanco",0.008,0.014,0.046,0.025
"P18","No sabe",0.012,0.011,0.011,0.133
"P25","Totalmente seguro",0.633,0.683,0.706,0.522
"P25","Bastante seguro",0.184,0.151,0.17,0.162
"P25","Algo seguro",0.122,0.105,0.065,0.133
"P25","Para nada seguro",0.061,0.061,0.059,0.183
"P26","Tiene Decidido que va a ir a votar",0.913,0.915,0.918,0.864
"P26","Tiene dudas sobre si va a ir a  votar",0.051,0.066,0.058,0.074
"P26","Tiene Decidido que no va a ir a votar",0.036,0.019,0.024,0.062
"P27","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.155,0.046,0.671,0.415
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.631,0.283,0.095,0.25
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.069,0.616,0.045,0.035
"P27","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.024,0.004,0.072,0.022
"P27","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.04,0.021,0.025,0.064
"P27","Otros",0.047,0.018,0.037,0.06
"P27","En blanco",0.012,0.001,0.041,0.015
"P27","No sabe",0.022,0.011,0.014,0.139
"P28","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.143,0.045,0.691,0.444
"P28","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.689,0.133,0.05,0.134
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.069,0.75,0.037,0.044
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.022,0.004,0.06,0.025
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.019,0.022,0.04,0.064
"P28","Otros",0.024,0.022,0.042,0.108
"P28","En blanco",0.015,0.006,0.066,0.013
"P28","No sabe",0.019,0.018,0.014,0.168
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.25,0.075,0.702,0.448
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.679,0.713,0.09,0.232
"P33","En blanco",0.032,0.152,0.201,0.034
"P33","No sabe",0.039,0.06,0.007,0.286
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.723,0.288,0.137,0.257
