"var","categoria","Siempre","Casi siempre","Casi nunca","Nunca, pero esta es una excepción"
"P05","Mucho",0.56,0.334,0.221,0.182
"P05","Bastante",0.21,0.438,0.291,0.235
"P05","Poco",0.165,0.178,0.384,0.262
"P05","Nada",0.045,0.037,0.091,0.258
"P05","No sabe",0.02,0.013,0.013,0.063
"P08","Unión por la Patria",0.337,0.291,0.218,0.141
"P08","Juntos por el Cambio",0.351,0.385,0.291,0.237
"P08","Liberales",0.133,0.128,0.194,0.175
"P08","Izquierda",0.038,0.033,0.031,0.045
"P08","Otro",0.054,0.051,0.07,0.072
"P08","No sabe",0.087,0.112,0.196,0.33
"P09","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.284,0.247,0.193,0.151
"P09","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.08,0.074,0.054,0.044
"P09","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.26,0.281,0.222,0.175
"P09","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.101,0.099,0.096,0.072
"P09","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.155,0.167,0.235,0.289
"P09","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.032,0.019,0.02,0.015
"P09","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.019,0.032,0.028,0.012
"P09","Otros",0.021,0.033,0.038,0.053
"P09","En blanco",0.012,0.016,0.046,0.077
"P09","No sabe",0.036,0.032,0.068,0.112
"P18","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.265,0.222,0.169,0.167
"P18","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.098,0.098,0.084,0.051
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.266,0.26,0.214,0.167
"P18","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.116,0.152,0.122,0.117
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.151,0.13,0.21,0.234
"P18","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.022,0.018,0.031,0.019
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.018,0.027,0.026,0.055
"P18","Otros",0.02,0.024,0.041,0.018
"P18","En blanco",0.021,0.024,0.038,0.059
"P18","No sabe",0.023,0.045,0.065,0.113
"P25","Totalmente seguro",0.715,0.608,0.552,0.571
"P25","Bastante seguro",0.117,0.204,0.164,0.129
"P25","Algo seguro",0.095,0.104,0.151,0.089
"P25","Para nada seguro",0.073,0.084,0.133,0.211
"P26","Tiene Decidido que va a ir a votar",0.92,0.908,0.833,0.791
"P26","Tiene dudas sobre si va a ir a  votar",0.053,0.068,0.123,0.093
"P26","Tiene Decidido que no va a ir a votar",0.027,0.024,0.044,0.116
"P27","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.343,0.304,0.232,0.178
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.322,0.343,0.3,0.287
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.185,0.194,0.275,0.299
"P27","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.037,0.028,0.03,0.042
"P27","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.027,0.033,0.039,0.061
"P27","Otros",0.032,0.039,0.052,0.028
"P27","En blanco",0.028,0.015,0.021,0.045
"P27","No sabe",0.026,0.044,0.051,0.06
"P28","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.355,0.314,0.233,0.195
"P28","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.279,0.3,0.255,0.261
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.219,0.233,0.312,0.351
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.028,0.024,0.025,0.016
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.021,0.032,0.044,0.032
"P28","Otros",0.031,0.036,0.058,0.032
"P28","En blanco",0.039,0.026,0.025,0.038
"P28","No sabe",0.028,0.035,0.048,0.075
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.4,0.357,0.293,0.268
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.457,0.49,0.451,0.456
"P33","En blanco",0.089,0.099,0.16,0.124
