"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero","Comarca Andina","Alto Valle","Valle medio","Valle inferior","Linea sur/meseta","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Muy positiva",0.237,0.224,0.252,0.277,0.217,0.229,0.244,0.193,0.265,0.243,0.268,0.201,0.423,0.241,0.342,0.259,0.028,0.322,0.204,0.09,0.2,0.412,0.303,0.325,0.101,0.055,0.208
"Positiva",0.234,0.257,0.207,0.194,0.192,0.324,0.272,0.168,0.248,0.291,0.296,0.131,0.179,0.197,0.133,0.406,0.369,0.224,0.209,0.32,0.333,0.161,0.296,0.224,0.228,0.123,0.1
"Neutral",0.274,0.289,0.257,0.302,0.258,0.267,0.286,0.312,0.23,0.305,0.225,0.285,0.212,0.28,0.299,0.233,0.158,0.136,0.33,0.476,0.286,0.119,0.177,0.292,0.355,0.415,0.378
"Algo negativa",0.035,0.03,0.04,0.014,0.047,0.033,0.038,0.008,0.064,0.017,0.013,0.076,0.111,0.039,0.06,0,0,0.087,0.014,0.039,0.014,0.01,0.009,0.016,0.119,0,0.047
"Negativa",0.044,0.044,0.045,0.108,0.017,0.027,0.045,0.067,0.048,0.008,0.04,0.077,0.025,0.04,0.033,0,0.171,0.015,0.073,0.047,0.011,0,0.037,0.001,0.076,0.026,0.081
"No sabe",0.176,0.156,0.199,0.105,0.269,0.12,0.115,0.252,0.145,0.136,0.158,0.23,0.05,0.203,0.133,0.102,0.274,0.216,0.17,0.028,0.156,0.298,0.178,0.142,0.121,0.381,0.186
