"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P06","Tiene Decidido que va a ir a votar",0.904,0.911,0.891,0.948
"P06","Tiene dudas sobre si va a ir a  votar",0.081,0.065,0.057,0.052
"P06","Tiene Decidido que no va a ir a votar",0.015,0.024,0.052,0
"P07","Mucho",0.532,0.457,0.533,0.415
"P07","Bastante",0.259,0.258,0.236,0.234
"P07","Poco",0.143,0.235,0.152,0.16
"P07","Nada",0.048,0.05,0.079,0.139
"P07","No sabe",0.018,0,0,0.052
"P08","Siempre",0.237,0.302,0.316,0.309
"P08","Casi siempre",0.336,0.266,0.203,0.219
"P08","Casi nunca",0.271,0.287,0.361,0.321
"P08","Nunca, pero esta es una excepción",0.156,0.145,0.12,0.151
"P13","Unión por la Patria",0.755,0.087,0,0.13
"P13","Juntos por el Cambio ",0.032,0.275,0.116,0.022
"P13","Juntos Somos Río Negro",0.121,0.146,0.056,0.062
"P13","Liberales",0.004,0.36,0.758,0.433
"P13","Izquierda",0.016,0.029,0.015,0.304
"P13","Otro",0.011,0.01,0,0.033
"P13","No sabe",0.061,0.093,0.055,0.016
"P14","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.83,0.063,0.005,0.107
"P14","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.037,0.343,0.03,0
"P14","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.05,0.028,0.023,0.06
"P14","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.065,0.507,0.927,0.762
"P14","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.008,0.004,0,0
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.006,0.014,0.015,0
"P14","En blanco",0,0.002,0,0.006
"P14","No sabe",0.004,0.039,0,0.065
"P18","Totalmente seguro",0.719,0.768,0.772,0.675
"P18","Bastante seguro",0.147,0.083,0.196,0.15
"P18","Algo seguro",0.059,0.066,0.027,0.163
"P18","Para nada seguro",0.075,0.083,0.005,0.012
"P22","Sí",0.154,0.868,0.966,0.811
"P22","No",0.846,0.132,0.034,0.189
"P23","Martín Soria a Diputado Nacional por Unión por la Patria",0.341,0.08,0.033,0.012
"P23","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.172,0.415,0.008,0.042
"P23","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.317,0.088,0.149,0.193
"P23","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.014,0.233,0.352,0.55
"P23","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.016,0,0.01,0.011
"P23","En blanco",0.038,0.073,0.244,0.015
"P23","No sabe",0.102,0.111,0.204,0.177
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.28,0.36,0.013,0.148
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.063,0.604,0.793,0.534
"P28","En blanco",0.425,0,0.194,0
"P28","No sabe",0.232,0.036,0,0.318
"P29","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.898,0.111,0.006,0.043
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.053,0.734,0.915,0.736
"P29","En blanco",0.038,0.111,0.079,0
"P29","No sabe",0.011,0.044,0,0.221
"P30","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.18,0.491,0.72,0.633
"P30","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.117,0.198,0.13,0.138
"P30","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.547,0.143,0,0.028
"P30","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.104,0.1,0.019,0.153
"P30","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.025,0.02,0.089,0
"P30","No sabe",0.027,0.048,0.042,0.048
"P31","No estaba enterado del tema",0.164,0.13,0.043,0.191
"P31","Un tema de la vida privada de él",0.175,0.073,0.106,0.032
"P31","Un hecho vergonzoso de exclusiva responsabilidad de él",0.52,0.128,0.154,0.034
"P31","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.052,0.235,0.246,0.08
"P31","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.046,0.434,0.451,0.663
"P31","No sabe",0.043,0,0,0
"P32","Si",0.815,0.688,0.796,0.788
"P32","No",0.185,0.312,0.204,0.212
"P33","Sergio Massa",0.829,0.126,0.017,0.075
"P33","Patria Bullrich",0.045,0.339,0,0.033
"P33","Javier Milei",0.049,0.354,0.92,0.577
"P33","Myriam Bregman",0.058,0.126,0,0.167
"P33","Juan Schiaretti",0.019,0.055,0.063,0.148
"P34","Ha aumentado significativamente",0.234,0.039,0.034,0.044
"P34","Ha aumentado ligeramente",0.26,0.209,0.057,0.037
"P34","Se mantiene igual",0.333,0.225,0.322,0.308
"P34","Ha disminuido ligeramente",0.125,0.206,0.221,0.3
"P34","Ha disminuido significativamente",0.048,0.321,0.366,0.311
"P35","No, ninguna dificultad",0.545,0.324,0.125,0.064
"P35","Alguna dificultad ocasional",0.276,0.355,0.335,0.624
"P35","Sí, dificultades frecuentes",0.179,0.321,0.54,0.312
"P36","Sí, absolutamente",0.686,0.366,0.408,0.392
"P36","Sí, en cierta medida",0.275,0.428,0.154,0.318
"P36","No, en absoluto",0.039,0.206,0.438,0.29
"P37","Reducir la inflación",0.493,0.215,0.302,0.383
"P37","Implementar reformas fiscales",0.073,0.148,0.116,0.124
"P37","Establecer políticas de control de precios",0.291,0.048,0.17,0.073
"P37","Reducir el gasto público",0.092,0.505,0.26,0.408
"P37","Estimular la inversión extranjera",0.021,0.084,0.144,0.012
"P37","Aumentar los subsidios a los servicios públicos",0.03,0,0.008,0
"P38","Muy positiva",0.302,0.131,0.132,0.236
"P38","Positiva",0.316,0.141,0.08,0.131
"P38","Neutral",0.214,0.36,0.477,0.114
"P38","Algo negativa",0.01,0.095,0.045,0.024
"P38","Negativa",0.027,0.04,0.106,0.089
"P38","No sabe",0.131,0.233,0.16,0.406
"P39","Muy positiva",0.661,0.072,0.042,0.09
"P39","Positiva",0.199,0.202,0.159,0.498
"P39","Neutral",0.111,0.304,0.303,0.1
"P39","Algo negativa",0.011,0.099,0.281,0
"P39","Negativa",0,0.227,0.181,0.297
"P39","No sabe",0.018,0.096,0.034,0.015
"P40","Muy positiva",0.439,0.111,0.118,0
"P40","Positiva",0.288,0.153,0.078,0.064
"P40","Neutral",0.113,0.292,0.242,0.096
"P40","Algo negativa",0.04,0.183,0.141,0.193
"P40","Negativa",0.046,0.193,0.282,0.406
"P40","No sabe",0.074,0.068,0.139,0.241
"P41","Muy positiva",0.628,0.273,0.279,0.431
"P41","Positiva",0.229,0.141,0.314,0.258
"P41","Neutral",0.051,0.266,0.169,0.18
"P41","Algo negativa",0.033,0.124,0.087,0.009
"P41","Negativa",0.012,0.191,0.145,0.041
"P41","No sabe",0.047,0.005,0.006,0.081
"P42","Muy positiva",0.606,0.209,0.394,0.104
"P42","Positiva",0.275,0.129,0.167,0.105
"P42","Neutral",0.04,0.346,0.305,0.47
"P42","Algo negativa",0.034,0.092,0.034,0.008
"P42","Negativa",0.008,0.121,0.095,0.313
