"var","categoria","Siempre","Casi siempre","Casi nunca","Nunca, pero esta es una excepción"
"P38","Muy positiva",0.325,0.272,0.112,0.254
"P38","Positiva",0.202,0.352,0.242,0.117
"P38","Neutral",0.288,0.195,0.304,0.375
"P38","Algo negativa",0.029,0.045,0.044,0.018
"P38","Negativa",0.012,0.024,0.09,0.093
"P38","No sabe",0.144,0.112,0.208,0.143
"P39","Muy positiva",0.38,0.534,0.349,0.415
"P39","Positiva",0.116,0.207,0.257,0.224
"P39","Neutral",0.206,0.08,0.257,0.279
"P39","Algo negativa",0.054,0.049,0.105,0
"P39","Negativa",0.18,0.091,0.027,0.082
"P39","No sabe",0.064,0.039,0.005,0
"P40","Muy positiva",0.269,0.364,0.226,0.341
"P40","Positiva",0.214,0.27,0.166,0.185
"P40","Neutral",0.157,0.109,0.193,0.213
"P40","Algo negativa",0.101,0.108,0.14,0.064
"P40","Negativa",0.185,0.106,0.175,0.1
"P40","No sabe",0.074,0.043,0.1,0.097
"P41","Muy positiva",0.477,0.5,0.477,0.554
"P41","Positiva",0.154,0.342,0.256,0.085
"P41","Neutral",0.106,0.047,0.066,0.296
"P41","Algo negativa",0.091,0.044,0.084,0.019
"P41","Negativa",0.159,0.041,0.029,0.046
"P41","No sabe",0.013,0.026,0.088,0
"P42","Muy positiva",0.43,0.543,0.525,0.367
"P42","Positiva",0.145,0.233,0.227,0.239
"P42","Neutral",0.206,0.134,0.064,0.285
"P42","Algo negativa",0.071,0.026,0.044,0.026
"P42","Negativa",0.093,0.064,0.059,0.083
"P42","No sabe",0.055,0,0.081,0
"P43","Lo votaría",0.476,0.613,0.479,0.56
"P43","Puede que lo vote",0.048,0.087,0.121,0.013
"P43","Nunca lo votaría",0.437,0.298,0.302,0.427
"P43","No sabe",0.039,0.002,0.098,0
"P44","Lo votaría",0.155,0.07,0.157,0.17
"P44","Puede que lo vote",0.15,0.101,0.188,0.096
"P44","Nunca lo votaría",0.603,0.806,0.553,0.632
"P44","No sabe",0.092,0.023,0.102,0.102
"P45","Lo votaría",0.111,0.032,0.12,0.032
"P45","Puede que lo vote",0.202,0.159,0.107,0.098
"P45","Nunca lo votaría",0.542,0.623,0.566,0.665
"P45","No sabe",0.145,0.186,0.207,0.205
"P46","Lo votaría",0.402,0.205,0.337,0.149
"P46","Puede que lo vote",0.141,0.04,0.133,0.026
"P46","Nunca lo votaría",0.401,0.734,0.525,0.65
"P46","No sabe",0.056,0.021,0.005,0.175
"P47","Lo votaría",0.071,0.04,0.07,0.034
"P47","Puede que lo vote",0.188,0.235,0.183,0.159
"P47","Nunca lo votaría",0.563,0.584,0.608,0.599
"P47","No sabe",0.178,0.141,0.139,0.208
"P48","Si",0.465,0.516,0.381,0.192
"P48","No",0.535,0.484,0.619,0.808
"PRESIDENTE","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.374,0.389,0.359,0.322
"PRESIDENTE","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.184,0.297,0.219,0.122
"PRESIDENTE","Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza",0.323,0.192,0.317,0.277
"PRESIDENTE","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.016,0.041,0.019,0.057
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.013,0.039,0.018,0.012
"PRESIDENTE","En blanco",0.005,0.006,0.039,0.015
"PRESIDENTE","No sabe",0.085,0.036,0.029,0.195
"DIPUTADOS","Martín Soria a Diputado Nacional por Unión por la Patria",0.484,0.489,0.349,0.388
"DIPUTADOS","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.151,0.09,0.098,0.163
"DIPUTADOS","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.169,0.184,0.211,0.18
"DIPUTADOS","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.099,0.111,0.195,0.134
"DIPUTADOS","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0,0.015,0.009,0.005
"DIPUTADOS","En blanco",0.06,0.067,0.037,0.043
"DIPUTADOS","No sabe",0.037,0.044,0.101,0.087
"P14_imputada","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.388,0.363,0.32,0.39
"P14_imputada","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.184,0.282,0.201,0.169
"P14_imputada","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.061,0.098,0.103,0.055
"P14_imputada","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.352,0.183,0.327,0.317
"P14_imputada","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.008,0.041,0.019,0.059
"P14_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.007,0.029,0.014,0.008
"P14_imputada","En blanco",0,0.004,0.016,0.002
"PRESIDENTE_imputada","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.413,0.409,0.368,0.407
"PRESIDENTE_imputada","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.19,0.3,0.22,0.169
