"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero","Comarca Andina","Alto Valle","Valle medio","Valle inferior","Linea sur/meseta","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.575,0.512,0.644,0.525,0.488,0.67,0.766,0.576,0.562,0.599,0.804,0.268,0.376,0.667,0.303,0.958,0.027,0.657,0.55,0.417,0.576,0.635,0.917,0.916,0.11,0.07,0.164
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.217,0.242,0.189,0.256,0.219,0.176,0.207,0.157,0.241,0.25,0.036,0.545,0.353,0.192,0.412,0,0.434,0.214,0.206,0.232,0.27,0.195,0.046,0.079,0.856,0.8,0.255
"En blanco",0.131,0.159,0.101,0.156,0.178,0.097,0.005,0.113,0.157,0.107,0.072,0.156,0.14,0.068,0.196,0.042,0.154,0.072,0.152,0.331,0.057,0.086,0.003,0.005,0.027,0.115,0.374
"No sabe",0.077,0.087,0.066,0.063,0.115,0.057,0.022,0.154,0.04,0.044,0.088,0.031,0.131,0.073,0.089,0,0.385,0.057,0.092,0.02,0.097,0.084,0.034,0,0.007,0.015,0.207
