"var","categoria","Tiene Decidido que va a ir a votar","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P07","Mucho",0.482,0.296,0.249
"P07","Bastante",0.252,0.268,0.252
"P07","Poco",0.173,0.161,0.163
"P07","Nada",0.074,0.167,0.265
"P07","No sabe",0.019,0.108,0.071
"P08","Siempre",0.214,0.13,0.143
"P08","Casi siempre",0.284,0.265,0.267
"P08","Casi nunca",0.291,0.293,0.181
"P08","Nunca, pero esta es una excepción",0.211,0.312,0.409
"P13","Unión por la Patria",0.302,0.291,0.25
"P13","Juntos por el Cambio ",0.198,0.061,0.091
"P13","Juntos Somos Río Negro",0.157,0.233,0.133
"P13","Liberales",0.167,0.107,0.242
"P13","Izquierda",0.056,0.062,0
"P13","Otro",0.025,0.049,0.008
"P13","No sabe",0.095,0.197,0.276
"P14","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.333,0.319,0.27
"P14","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.203,0.266,0.099
"P14","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.085,0.044,0.117
"P14","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.274,0.159,0.254
"P14","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.032,0.009,0.009
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.016,0.004,0
"P14","En blanco",0.006,0.011,0
"P14","No sabe",0.051,0.188,0.251
"P18","Totalmente seguro",0.705,0.417,0.111
"P18","Bastante seguro",0.116,0.037,0.725
"P18","Algo seguro",0.087,0.226,0.042
"P18","Para nada seguro",0.092,0.32,0.122
"P22","Sí",0.463,0.634,0.503
"P22","No",0.537,0.366,0.497
"P23","Martín Soria a Diputado Nacional por Unión por la Patria",0.125,0,0
"P23","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.192,0.292,0.149
"P23","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.181,0.196,0
"P23","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.273,0.074,0
"P23","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.013,0,0
"P23","En blanco",0.093,0.129,0
"P23","No sabe",0.123,0.309,0.851
"P27","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.582,0.658,0.423
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.2,0.178,0.235
"P27","En blanco",0.132,0.105,0.342
"P27","No sabe",0.086,0.059,0
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.228,0.467,0.414
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.346,0.196,0.586
"P28","En blanco",0.272,0.14,0
"P28","No sabe",0.154,0.197,0
"P29","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.526,0.455,0.411
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.39,0.148,0.589
"P29","En blanco",0.046,0.297,0
"P29","No sabe",0.038,0.1,0
"P30","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.364,0.261,0.163
"P30","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.144,0.097,0.423
"P30","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.331,0.606,0
