"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero","Comarca Andina","Alto Valle","Valle medio","Valle inferior","Linea sur/meseta","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.528,0.434,0.628,0.449,0.406,0.695,0.735,0.584,0.461,0.573,0.744,0.213,0.591,0.582,0.283,0.936,0.052,0.583,0.493,0.312,0.544,0.81,0.927,0.843,0.119,0.125,0.045
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.382,0.459,0.298,0.452,0.497,0.259,0.136,0.294,0.475,0.331,0.174,0.682,0.347,0.276,0.631,0.035,0.948,0.315,0.429,0.618,0.311,0.122,0.03,0.063,0.494,0.75,0.903
"En blanco",0.058,0.072,0.044,0.059,0.059,0.037,0.086,0.079,0.043,0.057,0.048,0.069,0.026,0.069,0.078,0.023,0,0.088,0.054,0.048,0.047,0,0.017,0.067,0.285,0.11,0.031
"No sabe",0.032,0.035,0.03,0.04,0.038,0.009,0.043,0.043,0.021,0.039,0.034,0.036,0.036,0.073,0.008,0.006,0,0.014,0.024,0.022,0.098,0.068,0.026,0.027,0.102,0.015,0.021
