"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero","Comarca Andina","Alto Valle","Valle medio","Valle inferior","Linea sur/meseta","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","NA","NA"
"Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.411,0.366,0.456,0.403,0.354,0.456,0.508,0.497,0.346,0.415,0.677,0.136,0.247,0.472,0.184,0.904,0.043,0.43,0.383,0.399,0.423,0.51,0.847,0.633,0.038,0.112,0.099,0.612,0.302
"Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.215,0.207,0.223,0.157,0.15,0.289,0.37,0.143,0.216,0.3,0.066,0.41,0.435,0.188,0.425,0.031,0.09,0.223,0.213,0.238,0.213,0.184,0.088,0.135,0.795,0.626,0.032,0.174,0.021
"Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza",0.295,0.367,0.223,0.389,0.386,0.192,0.058,0.3,0.353,0.193,0.189,0.41,0.204,0.263,0.341,0.036,0.858,0.218,0.353,0.325,0.3,0.163,0.037,0.043,0.118,0.161,0.847,0.061,0.328
"Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.038,0.031,0.044,0.015,0.073,0.018,0.01,0.053,0.027,0.038,0.042,0.002,0.039,0.019,0.022,0.011,0,0.059,0.024,0,0.037,0.086,0.013,0.156,0.002,0,0.005,0.021,0.228
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.027,0.016,0.038,0.029,0.024,0.025,0.034,0,0.041,0.037,0.015,0.024,0.069,0.041,0.022,0.01,0.009,0.047,0.017,0.038,0.009,0.036,0.006,0.019,0.019,0.064,0.01,0.124,0.102
"En blanco",0.014,0.013,0.016,0.007,0.013,0.02,0.02,0.007,0.017,0.017,0.011,0.018,0.006,0.017,0.006,0.008,0,0.023,0.01,0,0.018,0.021,0.009,0.014,0.028,0.037,0.007,0.008,0.019
