"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero","Comarca Andina","Alto Valle","Valle medio","Valle inferior","Linea sur/meseta","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.381,0.347,0.414,0.377,0.325,0.418,0.479,0.435,0.34,0.382,0.621,0.135,0.241,0.455,0.177,0.829,0.025,0.415,0.365,0.322,0.394,0.401,0.84,0.578,0.033,0.091,0.082
"Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.202,0.196,0.209,0.114,0.148,0.284,0.363,0.126,0.213,0.275,0.066,0.406,0.434,0.185,0.405,0.031,0.09,0.221,0.198,0.169,0.213,0.184,0.088,0.132,0.794,0.446,0.032
"Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza",0.28,0.347,0.213,0.355,0.376,0.18,0.052,0.274,0.339,0.19,0.185,0.396,0.204,0.261,0.333,0.036,0.632,0.214,0.326,0.318,0.291,0.163,0.037,0.043,0.118,0.161,0.836
"Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.037,0.031,0.043,0.015,0.071,0.018,0.01,0.052,0.027,0.036,0.042,0,0.039,0.019,0.022,0.011,0,0.059,0.024,0,0.037,0.079,0.014,0.157,0.002,0,0.005
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.02,0.013,0.028,0.006,0.024,0.025,0.028,0,0.026,0.036,0.013,0.009,0.069,0.026,0.022,0.01,0.009,0.025,0.015,0.038,0.009,0.036,0.006,0.018,0.019,0.064,0.01
"En blanco",0.013,0.011,0.015,0.007,0.013,0.02,0.012,0.004,0.017,0.017,0.008,0.018,0.006,0.016,0.006,0.008,0,0.019,0.01,0,0.017,0.021,0.005,0.014,0.028,0.037,0.008
"No sabe",0.067,0.055,0.078,0.126,0.043,0.055,0.056,0.109,0.038,0.064,0.065,0.036,0.007,0.038,0.035,0.075,0.244,0.047,0.062,0.153,0.039,0.116,0.01,0.058,0.006,0.201,0.027
