"var","categoria","Con políticas de shock, mano dura y castigando a los corruptos y ladrones","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar","Con políticas de desarrollo que permitan el crecimiento con inclusión social","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares","No sabe"
"P06","Tiene Decidido que va a ir a votar",0.937,0.887,0.876,1,0.645,0.926
"P06","Tiene dudas sobre si va a ir a  votar",0.052,0.046,0.124,0,0,0.074
"P06","Tiene Decidido que no va a ir a votar",0.011,0.067,0,0,0.355,0
"P07","Mucho",0.575,0.416,0.577,0.433,0.439,0.254
"P07","Bastante",0.172,0.27,0.238,0.273,0.377,0.447
"P07","Poco",0.145,0.291,0.131,0.237,0,0.234
"P07","Nada",0.078,0.023,0.051,0.057,0.184,0.065
"P07","No sabe",0.03,0,0.003,0,0,0
"P08","Siempre",0.357,0.18,0.24,0.355,0.069,0.249
"P08","Casi siempre",0.231,0.411,0.329,0.238,0.198,0.506
"P08","Casi nunca",0.299,0.254,0.308,0.335,0.484,0.106
"P08","Nunca, pero esta es una excepción",0.113,0.155,0.123,0.072,0.249,0.139
"P13","Unión por la Patria",0.242,0.413,0.732,0.551,0.263,0.36
"P13","Juntos por el Cambio ",0.175,0.105,0.029,0.184,0,0.011
"P13","Juntos Somos Río Negro",0.068,0.141,0.153,0.116,0.037,0.075
"P13","Liberales",0.399,0.253,0.039,0.045,0.453,0.21
"P13","Izquierda",0.049,0.028,0.013,0.003,0.213,0
"P13","Otro",0.027,0.002,0,0.007,0,0.029
"P13","No sabe",0.04,0.058,0.034,0.094,0.034,0.315
"P14","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.288,0.342,0.778,0.6,0.298,0.399
"P14","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.113,0.092,0.094,0.164,0,0.01
"P14","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.016,0.057,0.062,0.059,0.037,0.122
"P14","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.562,0.483,0.054,0.158,0.513,0.192
"P14","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0,0,0.004,0.004,0.13,0
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.004,0.017,0.008,0,0,0.056
"P14","En blanco",0,0.005,0,0,0,0
"P14","No sabe",0.017,0.004,0,0.015,0.022,0.221
"P18","Totalmente seguro",0.715,0.715,0.804,0.809,0.512,0.525
