"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero","Comarca Andina","Alto Valle","Valle medio","Valle inferior","Linea sur/meseta","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Muy positiva",0.492,0.511,0.47,0.415,0.505,0.549,0.487,0.505,0.46,0.531,0.611,0.397,0.328,0.536,0.342,0.532,0.744,0.548,0.548,0.361,0.322,0.318,0.623,0.472,0.22,0.143,0.474
"Positiva",0.222,0.195,0.252,0.164,0.243,0.222,0.256,0.136,0.308,0.175,0.234,0.192,0.265,0.144,0.212,0.392,0.027,0.169,0.209,0.308,0.365,0.153,0.149,0.331,0.255,0.253,0.256
"Neutral",0.123,0.168,0.071,0.217,0.108,0.042,0.142,0.118,0.093,0.179,0.08,0.168,0.026,0.182,0.119,0.012,0.032,0.142,0.095,0.247,0.147,0.046,0.068,0.138,0.297,0.407,0.081
"Algo negativa",0.058,0.049,0.069,0.06,0.066,0.071,0.012,0.033,0.079,0.053,0.025,0.103,0.051,0.041,0.121,0.064,0.096,0.059,0.055,0.031,0.094,0.047,0.036,0.029,0.16,0.168,0.052
"Negativa",0.071,0.07,0.072,0.089,0.049,0.072,0.1,0.126,0.041,0.056,0.021,0.136,0.275,0.052,0.191,0,0.101,0.021,0.08,0.053,0.072,0.227,0.075,0.023,0.063,0.029,0.121
"No sabe",0.034,0.007,0.066,0.055,0.029,0.044,0.003,0.082,0.019,0.006,0.029,0.004,0.055,0.045,0.015,0,0,0.061,0.013,0,0,0.209,0.049,0.007,0.005,0,0.016
