"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero","Comarca Andina","Alto Valle","Valle medio","Valle inferior","Linea sur/meseta","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","NA","NA"
"Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.37,0.318,0.422,0.353,0.326,0.391,0.486,0.457,0.304,0.375,0.613,0.124,0.248,0.396,0.179,0.839,0.042,0.408,0.344,0.373,0.348,0.433,0.763,0.61,0.031,0.04,0.099,0.484,0.295
"Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.207,0.195,0.218,0.147,0.148,0.283,0.343,0.139,0.204,0.292,0.063,0.386,0.435,0.183,0.406,0.031,0.008,0.218,0.202,0.216,0.21,0.184,0.088,0.114,0.762,0.586,0.032,0.168,0.021
"Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.086,0.08,0.092,0.085,0.085,0.1,0.07,0.082,0.1,0.069,0.094,0.087,0.017,0.145,0.052,0.066,0.082,0.093,0.068,0.153,0.093,0.097,0.096,0.087,0.075,0.18,0.033,0.238,0.082
"Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.286,0.365,0.207,0.389,0.365,0.188,0.057,0.281,0.349,0.189,0.187,0.386,0.204,0.245,0.336,0.036,0.859,0.212,0.351,0.251,0.29,0.164,0.032,0.043,0.116,0.161,0.819,0.059,0.329
"Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.034,0.025,0.044,0.015,0.064,0.017,0.01,0.041,0.027,0.038,0.035,0.002,0.039,0.019,0.008,0.01,0,0.046,0.024,0,0.037,0.086,0.014,0.116,0.002,0,0.005,0.021,0.228
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.012,0.012,0.012,0.006,0.012,0.011,0.024,0,0.012,0.026,0.007,0.009,0.051,0.012,0.014,0.01,0.009,0.019,0.006,0.007,0.009,0.036,0.006,0.018,0.01,0.021,0.008,0.022,0.036
"En blanco",0.005,0.005,0.005,0.005,0,0.01,0.01,0,0.004,0.011,0.001,0.006,0.006,0,0.005,0.008,0,0.004,0.005,0,0.013,0,0.001,0.012,0.004,0.012,0.004,0.008,0.009
