"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero","Comarca Andina","Alto Valle","Valle medio","Valle inferior","Linea sur/meseta","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.342,0.301,0.383,0.326,0.302,0.356,0.457,0.395,0.297,0.353,0.558,0.124,0.241,0.384,0.171,0.764,0.025,0.392,0.327,0.304,0.327,0.332,0.757,0.555,0.031,0.035,0.082
"Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.194,0.185,0.204,0.105,0.146,0.278,0.336,0.122,0.202,0.269,0.063,0.385,0.435,0.18,0.386,0.031,0.008,0.216,0.188,0.152,0.21,0.184,0.088,0.11,0.761,0.404,0.032
"Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.085,0.08,0.089,0.085,0.081,0.1,0.07,0.082,0.1,0.063,0.094,0.082,0.017,0.141,0.052,0.066,0.082,0.094,0.068,0.133,0.093,0.097,0.096,0.087,0.075,0.18,0.033
"Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.271,0.344,0.198,0.355,0.357,0.175,0.052,0.254,0.335,0.186,0.182,0.374,0.204,0.244,0.329,0.036,0.631,0.209,0.324,0.25,0.281,0.164,0.032,0.043,0.116,0.161,0.809
"Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.034,0.025,0.043,0.015,0.063,0.017,0.01,0.042,0.027,0.036,0.035,0,0.039,0.019,0.008,0.01,0,0.046,0.024,0,0.037,0.079,0.014,0.116,0.002,0,0.005
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.011,0.01,0.012,0.006,0.011,0.011,0.018,0,0.01,0.026,0.005,0.009,0.051,0.01,0.014,0.01,0.009,0.018,0.004,0.007,0.009,0.036,0.006,0.018,0.01,0.021,0.008
"En blanco",0.005,0.005,0.005,0.005,0,0.01,0.01,0,0.004,0.011,0.001,0.006,0.006,0,0.005,0.008,0,0.004,0.005,0,0.013,0,0.001,0.012,0.004,0.013,0.004
"No sabe",0.058,0.05,0.066,0.103,0.04,0.053,0.047,0.105,0.025,0.056,0.062,0.02,0.007,0.022,0.035,0.075,0.245,0.021,0.06,0.154,0.03,0.108,0.006,0.059,0.001,0.186,0.027
