"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero","Comarca Andina","Alto Valle","Valle medio","Valle inferior","Linea sur/meseta","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Ha aumentado significativamente",0.149,0.136,0.164,0.193,0.118,0.132,0.189,0.13,0.121,0.221,0.183,0.128,0,0.203,0.099,0.23,0.035,0.17,0.183,0.107,0.048,0.045,0.232,0.32,0.043,0.056,0.041
"Ha aumentado ligeramente",0.206,0.162,0.254,0.114,0.158,0.366,0.238,0.15,0.232,0.229,0.258,0.206,0.045,0.159,0.189,0.472,0.044,0.284,0.158,0.247,0.253,0.119,0.209,0.414,0.265,0.009,0.163
"Se mantiene igual",0.305,0.298,0.312,0.327,0.363,0.199,0.273,0.358,0.327,0.201,0.299,0.28,0.513,0.342,0.248,0.242,0.112,0.301,0.292,0.267,0.274,0.519,0.345,0.102,0.248,0.269,0.347
"Ha disminuido ligeramente",0.168,0.185,0.15,0.12,0.183,0.184,0.183,0.179,0.144,0.198,0.144,0.137,0.154,0.17,0.208,0.043,0.315,0.102,0.151,0.294,0.316,0.143,0.143,0.101,0.127,0.421,0.165
"Ha disminuido significativamente",0.172,0.219,0.12,0.246,0.178,0.119,0.117,0.183,0.176,0.151,0.116,0.249,0.288,0.126,0.256,0.013,0.494,0.143,0.216,0.085,0.109,0.174,0.071,0.063,0.317,0.245,0.284
