"var","categoria","Sí, absolutamente","Sí, en cierta medida","No, en absoluto"
"P06","Tiene Decidido que va a ir a votar",0.917,0.857,0.954
"P06","Tiene dudas sobre si va a ir a  votar",0.05,0.11,0.046
"P06","Tiene Decidido que no va a ir a votar",0.033,0.033,0
"P07","Mucho",0.509,0.539,0.611
"P07","Bastante",0.228,0.26,0.214
"P07","Poco",0.168,0.132,0.175
"P07","Nada",0.071,0.069,0
"P07","No sabe",0.024,0,0
"P08","Siempre",0.295,0.248,0.296
"P08","Casi siempre",0.275,0.324,0.328
"P08","Casi nunca",0.292,0.317,0.293
"P08","Nunca, pero esta es una excepción",0.138,0.111,0.083
"P13","Unión por la Patria",0.591,0.369,0.116
"P13","Juntos por el Cambio ",0.113,0.104,0.05
"P13","Juntos Somos Río Negro",0.079,0.213,0.074
"P13","Liberales",0.112,0.202,0.691
"P13","Izquierda",0.005,0.06,0.052
"P13","Otro",0.016,0,0.01
"P13","No sabe",0.084,0.052,0.007
"P14","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.635,0.409,0.147
"P14","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.101,0.133,0.066
"P14","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.039,0.079,0.028
"P14","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.211,0.307,0.725
"P14","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.002,0.013,0
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.008,0.002,0.021
"P14","En blanco",0.001,0,0.003
"P14","No sabe",0.003,0.057,0.01
"P18","Totalmente seguro",0.753,0.69,0.754
"P18","Bastante seguro",0.121,0.141,0.163
"P18","Algo seguro",0.054,0.112,0.022
"P18","Para nada seguro",0.072,0.057,0.061
"P22","Sí",0.333,0.543,0.862
"P22","No",0.667,0.457,0.138
"P23","Martín Soria a Diputado Nacional por Unión por la Patria",0.184,0.036,0.018
"P23","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.179,0.361,0.188
"P23","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.223,0.135,0.083
"P23","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.242,0.253,0.332
"P23","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.003,0.007,0.012
"P23","En blanco",0.102,0.017,0.196
"P23","No sabe",0.067,0.191,0.171
"P27","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.7,0.525,0.149
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.153,0.335,0.321
"P27","En blanco",0.101,0.071,0.404
"P27","No sabe",0.046,0.069,0.126
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.265,0.274,0.126
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.222,0.298,0.709
"P28","En blanco",0.358,0.189,0.093
"P28","No sabe",0.155,0.239,0.072
"P29","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.665,0.481,0.157
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.245,0.417,0.752
"P29","En blanco",0.043,0.081,0.085
"P29","No sabe",0.047,0.021,0.006
"P30","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.345,0.236,0.549
"P30","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.134,0.1,0.218
"P30","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.349,0.487,0.124
"P30","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.139,0.063,0
"P30","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.014,0.066,0.021
"P30","No sabe",0.019,0.048,0.088
"P31","No estaba enterado del tema",0.176,0.07,0.061
"P31","Un tema de la vida privada de él",0.188,0.068,0.105
"P31","Un hecho vergonzoso de exclusiva responsabilidad de él",0.384,0.32,0.173
"P31","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.091,0.186,0.165
"P31","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.14,0.309,0.496
"P31","No sabe",0.021,0.047,0
"P32","Si",0.786,0.781,0.812
"P32","No",0.214,0.219,0.188
"P33","Sergio Massa",0.624,0.438,0.209
"P33","Patria Bullrich",0.07,0.202,0.044
"P33","Javier Milei",0.207,0.194,0.695
"P33","Myriam Bregman",0.072,0.105,0
"P33","Juan Schiaretti",0.027,0.061,0.052
"P34","Ha aumentado significativamente",0.162,0.13,0.099
"P34","Ha aumentado ligeramente",0.215,0.244,0.092
"P34","Se mantiene igual",0.35,0.224,0.332
"P34","Ha disminuido ligeramente",0.158,0.225,0.086
"P34","Ha disminuido significativamente",0.115,0.177,0.391
"P35","No, ninguna dificultad",0.454,0.383,0.242
"P35","Alguna dificultad ocasional",0.321,0.333,0.334
"P35","Sí, dificultades frecuentes",0.225,0.284,0.424
"P37","Reducir la inflación",0.468,0.355,0.199
"P37","Implementar reformas fiscales",0.072,0.179,0.043
"P37","Establecer políticas de control de precios",0.224,0.16,0.212
"P37","Reducir el gasto público",0.17,0.286,0.357
"P37","Estimular la inversión extranjera",0.038,0.015,0.182
"P37","Aumentar los subsidios a los servicios públicos",0.028,0.005,0.007
"P38","Muy positiva",0.325,0.156,0.047
"P38","Positiva",0.228,0.324,0.063
"P38","Neutral",0.233,0.256,0.485
"P38","Algo negativa",0.021,0.026,0.111
"P38","Negativa",0.032,0.076,0.023
"P38","No sabe",0.161,0.162,0.271
"P39","Muy positiva",0.533,0.335,0.079
"P39","Positiva",0.193,0.308,0.101
"P39","Neutral",0.121,0.202,0.362
"P39","Algo negativa",0.036,0.062,0.184
"P39","Negativa",0.072,0.085,0.205
"P39","No sabe",0.045,0.008,0.069
"P40","Muy positiva",0.408,0.179,0.098
"P40","Positiva",0.215,0.282,0.073
"P40","Neutral",0.134,0.217,0.196
"P40","Algo negativa",0.048,0.107,0.258
"P40","Negativa",0.101,0.136,0.256
"P40","No sabe",0.094,0.079,0.119
"P41","Muy positiva",0.543,0.424,0.437
"P41","Positiva",0.178,0.33,0.161
"P41","Neutral",0.119,0.126,0.131
"P41","Algo negativa",0.063,0.031,0.099
"P41","Negativa",0.094,0.024,0.079
"P41","No sabe",0.003,0.065,0.093
"P42","Muy positiva",0.522,0.423,0.249
"P42","Positiva",0.264,0.187,0.096
"P42","Neutral",0.071,0.233,0.441
"P42","Algo negativa",0.037,0.03,0.114
"P42","Negativa",0.073,0.044,0.095
"P42","No sabe",0.033,0.083,0.005
"P43","Lo votaría",0.616,0.447,0.276
"P43","Puede que lo vote",0.112,0.026,0.014
"P43","Nunca lo votaría",0.213,0.477,0.71
"P43","No sabe",0.059,0.05,0
"P44","Lo votaría",0.136,0.1,0.089
"P44","Puede que lo vote",0.116,0.167,0.151
"P44","Nunca lo votaría",0.657,0.627,0.731
"P44","No sabe",0.091,0.106,0.029
"P45","Lo votaría",0.075,0.07,0.061
"P45","Puede que lo vote",0.169,0.163,0.174
"P45","Nunca lo votaría",0.534,0.65,0.567
"P45","No sabe",0.222,0.117,0.198
"P46","Lo votaría",0.236,0.207,0.72
"P46","Puede que lo vote",0.053,0.169,0.046
"P46","Nunca lo votaría",0.65,0.569,0.22
"P46","No sabe",0.061,0.055,0.014
"P47","Lo votaría",0.076,0.021,0.085
"P47","Puede que lo vote",0.214,0.121,0.031
"P47","Nunca lo votaría",0.514,0.621,0.875
"P47","No sabe",0.196,0.237,0.009
"P48","Si",0.374,0.374,0.679
"P48","No",0.626,0.626,0.321
"PRESIDENTE","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.649,0.474,0.175
"PRESIDENTE","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.108,0.147,0.066
"PRESIDENTE","Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza",0.212,0.307,0.725
"PRESIDENTE","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.002,0.013,0
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.016,0.002,0.021
"PRESIDENTE","En blanco",0.01,0,0.003
"PRESIDENTE","No sabe",0.003,0.057,0.01
"DIPUTADOS","Martín Soria a Diputado Nacional por Unión por la Patria",0.619,0.367,0.106
"DIPUTADOS","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.095,0.215,0.124
"DIPUTADOS","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.092,0.134,0.109
"DIPUTADOS","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.119,0.146,0.261
"DIPUTADOS","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.002,0.016,0.008
"DIPUTADOS","En blanco",0.045,0.009,0.223
"DIPUTADOS","No sabe",0.028,0.113,0.169
"P14_imputada","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.638,0.429,0.147
"P14_imputada","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.101,0.17,0.066
"P14_imputada","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.039,0.079,0.028
"P14_imputada","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.211,0.307,0.736
"P14_imputada","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.002,0.013,0
"P14_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.008,0.002,0.021
"P14_imputada","En blanco",0.001,0,0.002
"PRESIDENTE_imputada","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.652,0.494,0.175
"PRESIDENTE_imputada","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.108,0.184,0.066
"PRESIDENTE_imputada","Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza",0.212,0.307,0.736
"PRESIDENTE_imputada","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.002,0.013,0
"PRESIDENTE_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.016,0.002,0.021
"PRESIDENTE_imputada","En blanco",0.01,0,0.002
"DIPUTADOS_imputada","Martín Soria a Diputado Nacional por Unión por la Patria",0.623,0.412,0.109
"DIPUTADOS_imputada","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.107,0.229,0.126
"DIPUTADOS_imputada","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.092,0.137,0.192
"DIPUTADOS_imputada","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.131,0.195,0.342
"DIPUTADOS_imputada","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.002,0.016,0.008
"DIPUTADOS_imputada","En blanco",0.045,0.011,0.223
