"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad"
"Rolo Figueroa","Positiva",0.529,0.542,0.514,0.572,0.479,0.562,0.574,0.659,0.5,0.45,0.691,0.524,0.386,0.271,0.618,0.442,0.544,0.514
"Rolo Figueroa","Neutra",0.324,0.299,0.351,0.229,0.366,0.333,0.311,0.29,0.31,0.371,0.252,0.315,0.499,0.369,0.317,0.335,0.306,0.34
"Rolo Figueroa","Negativa",0.137,0.158,0.115,0.199,0.136,0.099,0.112,0.032,0.183,0.172,0.053,0.159,0.1,0.36,0.057,0.199,0.142,0.134
"Rolo Figueroa","No sabe",0.01,0.001,0.02,0,0.019,0.006,0.003,0.019,0.007,0.007,0.004,0.002,0.015,0,0.008,0.024,0.008,0.012
"Juan Schiaretti","Positiva",0.281,0.27,0.292,0.38,0.248,0.253,0.289,0.318,0.263,0.272,0.252,0.318,0.196,0.481,0.19,0.292,0.286,0.275
"Juan Schiaretti","Neutra",0.409,0.425,0.392,0.395,0.411,0.438,0.364,0.384,0.451,0.376,0.48,0.445,0.302,0.31,0.334,0.496,0.413,0.405
"Juan Schiaretti","Negativa",0.271,0.274,0.269,0.196,0.3,0.28,0.28,0.237,0.242,0.338,0.225,0.214,0.43,0.209,0.443,0.184,0.261,0.282
"Juan Schiaretti","No sabe",0.039,0.031,0.047,0.029,0.041,0.029,0.067,0.061,0.044,0.014,0.043,0.023,0.072,0,0.033,0.028,0.04,0.038
"Marcos Koopman","Positiva",0.224,0.213,0.235,0.223,0.211,0.234,0.252,0.354,0.186,0.157,0.239,0.423,0.276,0.09,0.32,0.189,0.195,0.25
"Marcos Koopman","Neutra",0.424,0.4,0.451,0.396,0.435,0.426,0.425,0.389,0.423,0.456,0.452,0.393,0.427,0.346,0.423,0.438,0.462,0.388
"Marcos Koopman","Negativa",0.295,0.333,0.254,0.317,0.316,0.27,0.235,0.204,0.318,0.347,0.267,0.175,0.239,0.425,0.214,0.34,0.301,0.29
"Marcos Koopman","No sabe",0.057,0.054,0.06,0.064,0.038,0.07,0.088,0.053,0.073,0.04,0.042,0.009,0.058,0.139,0.043,0.033,0.042,0.072
"Mariano Gaido","Positiva",0.311,0.319,0.303,0.334,0.314,0.276,0.331,0.372,0.292,0.281,0.345,0.484,0.342,0.147,0.505,0.205,0.359,0.266
