"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad"
"El gobierno nacional",0.204,0.203,0.204,0.229,0.191,0.197,0.223,0.213,0.213,0.184,0.209,0.294,0.238,0.09,0.373,0.096,0.229,0.181
"El gobierno provincial anterior del MPN",0.492,0.467,0.52,0.435,0.518,0.499,0.485,0.522,0.465,0.502,0.565,0.399,0.467,0.633,0.385,0.532,0.473,0.51
"El actual gobierno provincial de Rolo Figueroa",0.089,0.112,0.063,0.087,0.069,0.116,0.112,0.044,0.097,0.117,0.07,0.107,0.094,0.098,0.086,0.113,0.097,0.08
"Todos igual",0.151,0.154,0.148,0.158,0.166,0.135,0.112,0.105,0.191,0.139,0.084,0.18,0.102,0.129,0.1,0.169,0.132,0.169
"No sabe",0.064,0.064,0.065,0.091,0.056,0.053,0.068,0.116,0.034,0.058,0.072,0.02,0.099,0.05,0.056,0.09,0.069,0.06
