"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad"
"Rolo Figueroa","Muy buena",0.224,0.229,0.217,0.226,0.216,0.233,0.227,0.342,0.172,0.185,0.352,0.119,0.077,0.079,0.275,0.159,0.241,0.207
"Rolo Figueroa","Buena",0.305,0.313,0.297,0.346,0.263,0.329,0.347,0.317,0.328,0.265,0.339,0.405,0.309,0.192,0.343,0.283,0.303,0.307
"Rolo Figueroa","Ni buena ni mala",0.324,0.299,0.351,0.229,0.366,0.333,0.311,0.29,0.31,0.371,0.252,0.315,0.499,0.369,0.317,0.335,0.306,0.34
"Rolo Figueroa","Mala",0.106,0.132,0.078,0.175,0.093,0.072,0.104,0.032,0.139,0.129,0.039,0.132,0.092,0.257,0.045,0.155,0.104,0.109
"Rolo Figueroa","Muy mala",0.031,0.026,0.037,0.024,0.043,0.027,0.008,0,0.044,0.043,0.014,0.027,0.008,0.103,0.012,0.044,0.038,0.025
"Rolo Figueroa","No sabe",0.01,0.001,0.02,0,0.019,0.006,0.003,0.019,0.007,0.007,0.004,0.002,0.015,0,0.008,0.024,0.008,0.012
"Javier Milei","Muy buena",0.367,0.381,0.351,0.389,0.376,0.332,0.365,0.376,0.397,0.321,0.327,0.37,0.261,0.644,0.133,0.381,0.348,0.385
"Javier Milei","Buena",0.146,0.149,0.143,0.15,0.125,0.16,0.187,0.132,0.148,0.155,0.155,0.165,0.075,0.147,0.089,0.259,0.153,0.139
"Javier Milei","Ni buena ni mala",0.121,0.104,0.141,0.124,0.131,0.1,0.124,0.157,0.13,0.079,0.166,0.092,0.042,0.053,0.1,0.159,0.113,0.13
"Javier Milei","Mala",0.169,0.173,0.164,0.227,0.135,0.202,0.127,0.199,0.177,0.132,0.185,0.179,0.186,0.132,0.28,0.113,0.194,0.145
"Javier Milei","Muy mala",0.188,0.178,0.199,0.11,0.217,0.203,0.185,0.117,0.143,0.308,0.154,0.178,0.436,0.024,0.391,0.061,0.188,0.187
"Javier Milei","No sabe",0.009,0.015,0.002,0,0.016,0.003,0.012,0.019,0.005,0.005,0.013,0.016,0,0,0.007,0.027,0.004,0.014
"Victoria Villarruel","Muy buena",0.355,0.37,0.337,0.367,0.319,0.388,0.398,0.322,0.378,0.352,0.311,0.408,0.235,0.555,0.132,0.456,0.373,0.337
"Victoria Villarruel","Buena",0.141,0.164,0.116,0.168,0.146,0.098,0.165,0.165,0.142,0.121,0.178,0.114,0.055,0.231,0.097,0.21,0.137,0.146
"Victoria Villarruel","Ni buena ni mala",0.168,0.132,0.206,0.164,0.172,0.178,0.134,0.228,0.196,0.08,0.192,0.193,0.092,0.122,0.148,0.176,0.157,0.177
"Victoria Villarruel","Mala",0.114,0.119,0.109,0.151,0.102,0.119,0.087,0.097,0.119,0.122,0.129,0.051,0.174,0.071,0.198,0.061,0.128,0.1
"Victoria Villarruel","Muy mala",0.198,0.191,0.207,0.15,0.239,0.189,0.151,0.135,0.146,0.319,0.17,0.22,0.375,0.021,0.398,0.061,0.191,0.206
"Victoria Villarruel","No sabe",0.024,0.024,0.025,0,0.022,0.028,0.065,0.053,0.019,0.006,0.02,0.014,0.069,0,0.027,0.036,0.014,0.034
"Patricia Bullrich","Muy buena",0.285,0.29,0.281,0.237,0.248,0.336,0.405,0.306,0.28,0.275,0.236,0.398,0.118,0.535,0.081,0.486,0.281,0.29
"Patricia Bullrich","Buena",0.207,0.207,0.206,0.302,0.204,0.162,0.144,0.177,0.232,0.2,0.231,0.159,0.177,0.323,0.136,0.26,0.185,0.228
"Patricia Bullrich","Ni buena ni mala",0.131,0.136,0.125,0.135,0.148,0.109,0.102,0.177,0.144,0.075,0.154,0.135,0.069,0.003,0.083,0.126,0.141,0.121
"Patricia Bullrich","Mala",0.167,0.174,0.159,0.2,0.161,0.167,0.135,0.193,0.187,0.12,0.193,0.119,0.207,0.07,0.281,0.065,0.192,0.143
"Patricia Bullrich","Muy mala",0.209,0.192,0.227,0.126,0.239,0.225,0.206,0.147,0.155,0.329,0.184,0.187,0.429,0.069,0.419,0.059,0.198,0.218
"Patricia Bullrich","No sabe",0.001,0.001,0.002,0,0,0.001,0.008,0,0.002,0.001,0.002,0.002,0,0,0,0.004,0.003,0
"Toto Caputo","Muy buena",0.149,0.135,0.165,0.127,0.144,0.137,0.23,0.176,0.127,0.154,0.133,0.191,0.057,0.246,0.072,0.218,0.181,0.119
"Toto Caputo","Buena",0.188,0.218,0.154,0.204,0.173,0.193,0.206,0.152,0.216,0.183,0.171,0.224,0.092,0.376,0.066,0.236,0.181,0.194
