"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad"
"Javier Milei",0.474,0.502,0.444,0.557,0.45,0.454,0.461,0.474,0.497,0.445,0.416,0.503,0.349,0.796,0.201,0.585,0.458,0.489
"Los gobernadores",0.427,0.411,0.445,0.339,0.452,0.461,0.421,0.431,0.379,0.486,0.466,0.446,0.577,0.199,0.72,0.291,0.446,0.41
"No sabe",0.099,0.087,0.111,0.104,0.098,0.085,0.118,0.095,0.124,0.069,0.118,0.051,0.074,0.005,0.079,0.124,0.096,0.101
