"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda","En blanco","No sabe"
"P44","Lo votaría",0.109,0.068,0.067,0.379,0.163,0.083,0.071
"P44","Puede que lo vote",0.283,0.274,0.246,0.182,0.204,0.122,0.103
"P44","Nunca lo votaría",0.529,0.576,0.628,0.369,0.491,0.549,0.321
"P44","No sabe",0.079,0.082,0.059,0.07,0.142,0.246,0.505
"P53","Sergio Massa y Javier Milei",0.703,0.124,0.4,0.574,0.48,0.421,0.396
"P53","Patricia Bullrich y Javier Milei",0.132,0.715,0.504,0.251,0.314,0.315,0.453
"P53","Sergio Massa y Patricia Bullrich",0.165,0.161,0.096,0.175,0.206,0.264,0.151
"P54","Muy buena",0.1,0.034,0.064,0.107,0.129,0.048,0.019
"P54","Buena",0.154,0.107,0.065,0.064,0.275,0.072,0.074
"P54","Regular",0.412,0.055,0.083,0.167,0.172,0.158,0.135
"P54","Mala",0.231,0.268,0.208,0.283,0.169,0.282,0.364
"P54","Muy mala",0.103,0.536,0.58,0.379,0.255,0.44,0.408
"P55","Muy buena",0.087,0.015,0.022,0.035,0.058,0.004,0.026
"P55","Buena",0.279,0.023,0.037,0.105,0.087,0.049,0.041
"P55","Regular",0.351,0.059,0.076,0.31,0.321,0.097,0.168
"P55","Mala",0.168,0.259,0.244,0.222,0.096,0.41,0.267
"P55","Muy mala",0.115,0.644,0.621,0.328,0.438,0.44,0.498
"P56","Muy buena",0.199,0.031,0.103,0.045,0.098,0.027,0.006
"P56","Buena",0.362,0.149,0.19,0.184,0.116,0.089,0.079
"P56","Regular",0.289,0.402,0.363,0.359,0.4,0.312,0.336
"P56","Mala",0.098,0.25,0.193,0.339,0.159,0.345,0.318
"P56","Muy mala",0.052,0.168,0.151,0.073,0.227,0.227,0.261
"P57","Muy buena",0.077,0.021,0.035,0.068,0.156,0.054,0
"P57","Buena",0.326,0.152,0.123,0.138,0.04,0.145,0.08
"P57","Regular",0.422,0.459,0.429,0.433,0.387,0.378,0.365
"P57","Mala",0.132,0.239,0.252,0.274,0.227,0.24,0.269
"P57","Muy mala",0.043,0.129,0.161,0.087,0.19,0.183,0.286
"P58","Muy buena",0.127,0.022,0.027,0.063,0.091,0.121,0.018
"P58","Buena",0.339,0.109,0.098,0.159,0.056,0.097,0.101
"P58","Regular",0.351,0.294,0.296,0.356,0.508,0.328,0.26
"P58","Mala",0.134,0.342,0.299,0.274,0.244,0.346,0.375
"P58","Muy mala",0.049,0.233,0.28,0.148,0.101,0.108,0.246
"P59","Muy buena",0.17,0.049,0.118,0.076,0.025,0.083,0.009
"P59","Buena",0.429,0.212,0.24,0.253,0.145,0.132,0.137
"P59","Regular",0.295,0.465,0.401,0.4,0.563,0.447,0.36
"P59","Mala",0.075,0.193,0.147,0.228,0.196,0.175,0.273
"P59","Muy mala",0.031,0.081,0.094,0.043,0.071,0.163,0.221
"P60","Ha aumentado significativamente",0.14,0.028,0.056,0.122,0.109,0.069,0.021
"P60","Ha aumentado ligeramente",0.297,0.152,0.16,0.158,0.105,0.149,0.173
"P60","Se mantiene igual",0.314,0.269,0.28,0.311,0.355,0.316,0.235
