"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Centro","Norte","Sur","Buenos Aires"
"Mucho",0.382,0.411,0.356,0.355,0.379,0.4,0.401,0.329,0.334,0.505,0.454,0.398,0.294,0.664,0.732,0.498,0.509,0.517,0.388,0.292,0.409,0.417
"Bastante",0.279,0.269,0.289,0.246,0.265,0.317,0.303,0.222,0.284,0.333,0.281,0.299,0.265,0.229,0.192,0.369,0.332,0.305,0.258,0.195,0.284,0.335
"Poco",0.266,0.261,0.27,0.299,0.289,0.212,0.241,0.348,0.3,0.131,0.214,0.269,0.363,0.087,0.06,0.105,0.127,0.11,0.292,0.441,0.221,0.169
"Nada",0.057,0.05,0.063,0.076,0.054,0.055,0.04,0.079,0.064,0.024,0.037,0.029,0.074,0.008,0.013,0.026,0.032,0.068,0.047,0.057,0.07,0.062
"No sabe",0.016,0.009,0.022,0.024,0.013,0.016,0.015,0.022,0.018,0.007,0.014,0.005,0.004,0.012,0.003,0.002,0,0,0.015,0.015,0.016,0.017
