"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Centro","Norte","Sur","Buenos Aires"
"Muy baja",0.049,0.039,0.059,0.051,0.051,0.046,0.048,0.077,0.052,0.021,0.05,0.045,0.031,0.048,0.07,0.024,0.016,0.047,0.042,0.056,0.074,0.049
"Baja",0.067,0.07,0.064,0.045,0.084,0.053,0.073,0.093,0.08,0.03,0.078,0.064,0.019,0.062,0.105,0.067,0.02,0.035,0.063,0.087,0.057,0.064
"Moderada",0.101,0.096,0.104,0.091,0.094,0.101,0.121,0.14,0.094,0.072,0.155,0.068,0.062,0.109,0.116,0.045,0.049,0.075,0.098,0.119,0.087,0.096
"Alta",0.267,0.275,0.26,0.25,0.268,0.273,0.273,0.291,0.25,0.265,0.38,0.186,0.329,0.423,0.332,0.102,0.281,0.127,0.266,0.26,0.256,0.273
"Muy alta",0.516,0.52,0.513,0.563,0.503,0.527,0.485,0.399,0.524,0.612,0.337,0.637,0.559,0.358,0.377,0.762,0.634,0.716,0.531,0.478,0.526,0.518
