"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Centro","Norte","Sur","Buenos Aires"
"Tiene Decidido que va a ir a votar",0.866,0.877,0.856,0.847,0.865,0.899,0.846,0.826,0.845,0.934,0.861,0.918,0.739,0.911,0.798,0.929,0.943,0.902,0.871,0.817,0.917,0.876
"Tiene dudas sobre si va a ir a  votar",0.095,0.084,0.106,0.105,0.096,0.08,0.103,0.122,0.112,0.046,0.109,0.064,0.091,0.074,0.157,0.045,0.048,0.059,0.088,0.125,0.051,0.094
"Tiene Decidido que no va a ir a votar",0.039,0.039,0.038,0.048,0.039,0.021,0.051,0.052,0.043,0.02,0.03,0.018,0.17,0.015,0.045,0.026,0.009,0.039,0.041,0.058,0.032,0.03
